"You created the order.","Buyurtmani yaratdingiz."
"Order saving error: %1","Buyurtmani saqlash xatosi: %1"
"Please choose a payment method.","Iltimos, to'lov usulini tanlang."
"We can't process your order right now. Please try again later.","We can't process your order right now. Please try again later."
"An error occurred on the server. Please try to place the order again.","An error occurred on the server. Please try to place the order again."
"Credit Card: xxxx-%1","Kredit kartasi: xxxx-%1"
"amount %1","%1 miqdori"
"failed.","xatolik."
"successful.","muvaffaqiyatli."
"Authorize.Net Transaction ID %1.","Authorize.Net operatsiyalari ID %1."
"authorize","avtorizatsiya"
"authorize and capture","avtorizatsiyalash va ro'yxatga olish"
"capture","ro'yxatga olish"
"refund","qaytarib berish"
"void","bekor qilindi"
"Gateway error: %1","Gateway xatosi: %1"
"Something went wrong in the payment gateway.","To'lov daftarida xatolik yuz berdi."
"Invalid amount for capture.","Yozuv hajmi noto'g'ri."
"Payment capturing error.","To'lovni ro'yxatga olishda xatolik yuz berdi."
"Invalid transaction ID.","ID raqami noto'g'ri."
"Payment voiding error.","To'lovni bekor qilishda xatolik yuz berdi."
"Invalid amount for refund.","Qaytariladigan pul miqdori noto'g'ri."
"Payment refunding error.","To'lovni qaytarishda xatolik."
"The transaction was declined because the response hash validation failed.","Jarayon rad etildi, chunki hash tekshiruvi muvaffaqiyatsiz tugadi."
"This payment didn't work out because we can't find this order.","This payment didn't work out because we can't find this order."
"There was a payment authorization error.","To'lovni tasdiqlashda xatolik yuz berdi."
"Please enter a transaction ID to authorize this payment.","Ushbu to'lovni tasdiqlash uchun tranzaksiyaga oid IDni kiriting."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","%1 bitim tasdiqlandi. Miqdori %2. Jurnal holati ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","%1 tranzaktsiyasi bekor qilindi / rad etildi. Jurnal holati ""%2"" dir. Miqdori %3."
"Authorize Only","Faqat avtorizatsiya qiling"
"Authorize and Capture","Ruxsat berish va qabul qilish"
"Unable to get transaction details. Try again later.","Unable to get transaction details. Try again later."
"Electronic payments save the trees.","Elektron to'lovlar daraxtlarni saqlaydi."
"Credit Card Type","Kredit kartasi turi"
"Please Select","Iltimos tanlang"
"Credit Card Number","Kredit karta raqami"
"Expiration Date","Amal qilish muddati"
"Card Verification Number","Karta tasdiqlash kodi"
"Fraud Detection ","Firibgarlikni aniqlash "
"FDS Filter Action","Filtrni bajarish FDS"
"AVS Response","AVS javob"
"Card Code Response","Karta kodi bo'yicha javob"
"CAVV Response","CAVV javob"
"Fraud Filters","Firibgarlik filtrlari"
"Place Order","Buyurtni joylashtirish"
"Sorry, but something went wrong. Please contact the seller.","Kechirasiz, xatolik yuz berdi. Sotuvchi bilan bog'laning."
"Authorize.net Direct Post","To'g'ridan-to'g'ri xabar Authorize.Net"
"Enabled","Yoqish"
"Payment Action","To'lov turi"
"Title","Sarlavha"
"API Login ID","API kirish identifikatori"
"Transaction Key","Jurnal kaliti"
"Merchant MD5","Merchant MD5"
"New Order Status","Yangi buyurtma holati"
"Test Mode","Sinov holati"
"Gateway URL","Gateway URL manzili"
"Transaction Details URL","Jurnal tafsilotlaridagi URL"
"Accepted Currency","Qabul qilingan valyuta"
"Debug","Xatolarni tuzatish"
"Email Customer","Mijozning email manzili"
"Merchant's Email","Sotuvchining email manzili"
"Credit Card Types","Kredit kartasi turlari"
"Credit Card Verification","Kredit kartalarini tekshirish"
"Payment from Applicable Countries","Qo'llaniladigan mamlakatlar to'lovi"
"Payment from Specific Countries","Muayyan mamlakatlardan to'lov"
"Minimum Order Total","Minimal buyurtma miqdori"
"Maximum Order Total","Maksimal Buyurtma miqdori"
"Sort Order","Saralash tartibi"
"Cannot place order.","Cannot place order."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
