"You created the order.","Olet luonut tilauksen."
"Order saving error: %1","Tilauksen tallentamisen virhe: %1"
"Please choose a payment method.","Valitse maksutapa."
"We can't process your order right now. Please try again later.","Emme voi käsitellä tilaustasi juuri nyt. Yritä myöhemmin uudelleen."
"An error occurred on the server. Please try to place the order again.","Virhe palvelimella. Olkaa hyvä ja yrittäkää tilata uudelleen."
"Credit Card: xxxx-%1","Luottokortti: xxxx-%1"
"amount %1","määrä %1"
"failed.","epäonnistui."
"successful.","onnistui."
"Authorize.Net Transaction ID %1.","Authorize.Net-tapahtumatunnus %1."
"authorize","valtuuta"
"authorize and capture","valtuuta ja talteenota"
"capture","talteenota"
"refund","hyvitä"
"void","mitätön"
"Gateway error: %1","Gateway-virhe: %1"
"Something went wrong in the payment gateway.","Maksukäytävässä tapahtui virhe."
"Invalid amount for capture.","Virheellinen hyvityssumma."
"Payment capturing error.","Maksun talteenoton virhe."
"Invalid transaction ID.","Virheellinen tapahtumatunnus."
"Payment voiding error.","Virhe maksun mitätöinnissä."
"Invalid amount for refund.","Virheellinen hyvityssumma."
"Payment refunding error.","Virhe maksun palautuksessa."
"The transaction was declined because the response hash validation failed.","Transaktio on hylätty, koska Response Hash -validointi epäonnistui."
"This payment didn't work out because we can't find this order.","Maksu ei onnistunut, koska emme löydä tätä tilausta."
"There was a payment authorization error.","Maksutavan varmennusongelma."
"Please enter a transaction ID to authorize this payment.","Lisää maksun ID vahvistaaksesi tämä maksu."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Jotain meni pieleen: maksettu summa ei vastaa tilauksen summaa. Korjaa ja yritä uudelleen."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Tapahtuman %1 on hyväksytty. Määrä %2. Tapahtuman tila on ”%3”"
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Tapahtuman %1 on mitätöity. Tapahtuman tila on ”%2”. Summa %3."
"Authorize Only","Varmenna ainoastaan"
"Authorize and Capture","Valtuuta ja talteenota"
"Unable to get transaction details. Try again later.","Unable to get transaction details. Try again later."
"Electronic payments save the trees.","Sähköiset maksut säästää puita."
"Credit Card Type","Luottokorttityyppi"
"Please Select","Valitse"
"Credit Card Number","Luottokortin numero"
"Expiration Date","Viimeinen voimassaolopäivä"
"Card Verification Number","Luottokortin tarkistenumero"
"Fraud Detection ","Petosten paljastaminen "
"FDS Filter Action","FDS suodatustoiminto"
"AVS Response","AVS vastaus"
"Card Code Response","Kortin koodi vastaus"
"CAVV Response","CAVV vastaus"
"Fraud Filters","Maksupetoksien suodattimet"
"Place Order","Tee tilaus"
"Sorry, but something went wrong. Please contact the seller.","Anteeksi, mutta jotain meni pieleen. Ota yhteyttä myyjään."
"Authorize.net Direct Post","Authorize.net suora viesti"
"Enabled","Käytössä"
"Payment Action","Maksutoiminto"
"Title","Otsikko"
"API Login ID","API kirjautumis ID"
"Transaction Key","Maksutapahtuma-avain"
"Merchant MD5","Kauppias MD5"
"New Order Status","Uuden tilauksen tila"
"Test Mode","Testitila"
"Gateway URL","Gateway URL"
"Transaction Details URL","Maksutapahtuman tiedot URL"
"Accepted Currency","Hyväksytty valuutta"
"Debug","Vianselvitys"
"Email Customer","Lähettä asiakalle sähköposti"
"Merchant's Email","Myyjän sähköposti"
"Credit Card Types","Luottokorttityypit"
"Credit Card Verification","Luottokortti varmennus"
"Payment from Applicable Countries","Maksu mahdollisista maista"
"Payment from Specific Countries","Maksu mahdollisista maista"
"Minimum Order Total","Vähimmäistilausmäärä"
"Maximum Order Total","Maksimitilausmäärä"
"Sort Order","Lajittelujärjestys"
"Cannot place order.","Tilausta ei voida tehdä."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","Tilaus ei onnistunut. Yritä myöhemmin uudelleen."
"A server error stopped your order from being placed. Please try to place your order again.","Palvelimen virhe pysäytti tilauksen etenimisen. Yritä tilata tilauksesi uudelleen."
"The transaction details are unavailable. Please try again later.","Tapahtumatiedot eivät ole käytettävissä. Yritä myöhemmin uudelleen."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
