"You created the order.","Anda membuat pesanan."
"Order saving error: %1","Pesan kesalahan pemesanan: %1"
"Please choose a payment method.","Harap pilih metode pembayaran."
"We can't process your order right now. Please try again later.","Kami tidak dapat memproses pesanan Anda sekarang juga. Silakan coba lagi nanti."
"An error occurred on the server. Please try to place the order again.","Kesalahan terjadi pada server. Silakan coba untuk memesan lagi."
"Credit Card: xxxx-%1","Credit Card: xxxx-%1"
"amount %1","amount %1"
"failed.","failed."
"successful.","successful."
"Authorize.Net Transaction ID %1.","Authorize.Net Transaction ID %1."
"authorize","authorize"
"authorize and capture","authorize and capture"
"capture","capture"
"refund","refund"
"void","void"
"Gateway error: %1","Gateway error: %1"
"Something went wrong in the payment gateway.","Something went wrong in the payment gateway."
"Invalid amount for capture.","Invalid amount for capture."
"Payment capturing error.","Payment capturing error."
"Invalid transaction ID.","ID transaksi tidak cocok."
"Payment voiding error.","Payment voiding error."
"Invalid amount for refund.","Invalid amount for refund."
"Payment refunding error.","Payment refunding error."
"The transaction was declined because the response hash validation failed.","The transaction was declined because the response hash validation failed."
"This payment didn't work out because we can't find this order.","Pembayaran ini tidak berhasil karena kami tidak dapat menemukan pesanan ini."
"There was a payment authorization error.","There was a payment authorization error."
"Please enter a transaction ID to authorize this payment.","Please enter a transaction ID to authorize this payment."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","Ada yang tidak beres: jumlah yang dibayarkan tidak sesuai dengan jumlah pesanan. Perbaiki ini dan coba lagi."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","Transaction %1 has been approved. Amount %2. Transaction status is ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","Transaksi %1 telah dibatalkan/ditolak. Status pembayaran adalah "" %2"". Jumlah %3."
"Authorize Only","Hanya yang Berwenang"
"Authorize and Capture","Otorisasi dan Tangkap"
"Unable to get transaction details. Try again later.","Unable to get transaction details. Try again later."
"Electronic payments save the trees.","Electronic payments save the trees."
"Credit Card Type","Tipe kartu kredit"
"Please Select","Silahkan pilih"
"Credit Card Number","Nomor kartu kredit"
"Expiration Date","Tanggal kadaluarsa"
"Card Verification Number","Nomor Verifikasi Kartu"
"Fraud Detection ","Fraud Detection "
"FDS Filter Action","FDS Filter Action"
"AVS Response","AVS Response"
"Card Code Response","Card Code Response"
"CAVV Response","CAVV Response"
"Fraud Filters","Fraud Filters"
"Place Order","Tempat pemesanan"
"Sorry, but something went wrong. Please contact the seller.","Sorry, but something went wrong. Please contact the seller."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Enabled","Diaktifkan"
"Payment Action","Tindakan Pembayaran"
"Title","Judul"
"API Login ID","API Login ID"
"Transaction Key","Kunci transaksi"
"Merchant MD5","Merchant MD5"
"New Order Status","Status Orde Baru"
"Test Mode","Mode Uji"
"Gateway URL","URL Gateway"
"Transaction Details URL","Transaction Details URL"
"Accepted Currency","Accepted Currency"
"Debug","Debugging"
"Email Customer","Email Customer"
"Merchant's Email","Merchant's Email"
"Credit Card Types","Jenis Kartu Kredit"
"Credit Card Verification","Credit Card Verification"
"Payment from Applicable Countries","Pembayaran dari Negara yang Berlaku"
"Payment from Specific Countries","Pembayaran dari Negara Tertentu"
"Minimum Order Total","Minimum Order Total"
"Maximum Order Total","Maksimum Orderan Total"
"Sort Order","Urut pesanan"
"Cannot place order.","Tidak dapat melakukan pemesanan."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","Tidak dapat melakukan pemesanan. Silakan coba lagi nanti."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
