"You created the order.","您建立了訂單。"
"Order saving error: %1","訂單保存錯誤：%1"
"Please choose a payment method.","請選擇您的付款方式。"
"We can't process your order right now. Please try again later.","我們現在無法處理您的訂單。請稍後再試。"
"An error occurred on the server. Please try to place the order again.","伺服器出現錯誤。請再次確認訂單。"
"Credit Card: xxxx-%1","信用卡︰ xxxx-%1"
"amount %1","金額 %1"
"failed.","失敗。"
"successful.","成功。"
"Authorize.Net Transaction ID %1.","Authorize.Net 交易記錄 ID %1。"
"authorize","授權"
"authorize and capture","授權和提取"
"capture","提取"
"refund","退款"
"void","無效"
"Gateway error: %1","閘道錯誤: %1"
"Something went wrong in the payment gateway.","支付閘道錯誤"
"Invalid amount for capture.","提取的金額無效。"
"Payment capturing error.","提取付款時出現錯誤。"
"Invalid transaction ID.","無效的交易號碼"
"Payment voiding error.","支付無效"
"Invalid amount for refund.","退款金額無效。"
"Payment refunding error.","退款錯誤"
"The transaction was declined because the response hash validation failed.","回應的hash認證失敗，拒絕交易"
"This payment didn't work out because we can't find this order.","這筆付款項無效，因為我們找不到此訂單。"
"There was a payment authorization error.","出現了一個付款授權錯誤。"
"Please enter a transaction ID to authorize this payment.","請輸入要授權付款的交易編號。"
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","發生錯誤 ︰ 已付的金額與訂單額不符。請更正此錯誤，然後重試。"
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","交易%1已獲得批准。 金額%2。 交易狀態為“%3”"
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","交易%1無效/被拒絕。 交易狀態為“%2”。 金額%3。"
"Authorize Only","僅授權"
"Authorize and Capture","授權和提取"
"Unable to get transaction details. Try again later.","無法獲取交易記錄詳細資訊。稍後再試。"
"Electronic payments save the trees.","Electronic payments save the trees."
"Credit Card Type","信用卡類型"
"Please Select","請選擇"
"Credit Card Number","信用卡卡號"
"Expiration Date","到期日期"
"Card Verification Number","信用卡驗證號碼"
"Fraud Detection ","欺詐檢測 "
"FDS Filter Action","FDS 篩選器操作"
"AVS Response","AVS地址驗證服務"
"Card Code Response","卡代碼回應"
"CAVV Response","CAVV 回應"
"Fraud Filters","欺詐行為篩檢程式"
"Place Order","確認訂單"
"Sorry, but something went wrong. Please contact the seller.","對不起，出了問題。 請聯繫賣家。"
"Authorize.net Direct Post","Authorize.net 直接付款"
"Enabled","啟用"
"Payment Action","付款操作"
"Title","標題"
"API Login ID","API 的登入識別碼"
"Transaction Key","交易金鑰"
"Merchant MD5","商戶 MD5"
"New Order Status","新訂單狀態"
"Test Mode","測試模式"
"Gateway URL","閘道網址"
"Transaction Details URL","交易明細 URL"
"Accepted Currency","接受的貨幣"
"Debug","除錯"
"Email Customer","電郵客戶"
"Merchant's Email","商戶的電子郵件"
"Credit Card Types","信用卡類型"
"Credit Card Verification","信用卡驗證"
"Payment from Applicable Countries","適用國家的付款"
"Payment from Specific Countries","特定國家的付款"
"Minimum Order Total","最小訂單總數"
"Maximum Order Total","最大訂單總計"
"Sort Order","訂單排序"
"Cannot place order.","不能下訂單。"
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","Unable to place order. Please try again later."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
