"You created the order.","قمت بإنشاء الطلب."
"Order saving error: %1","أمر حفظ الخطأ: %1"
"Please choose a payment method.","الرجاء اختيار طريقة الدفع."
"We can't process your order right now. Please try again later.","لا يمكننا معالجة طلبك الآن. الرجاء المحاولة مرة أخرى لاحقاً."
"An error occurred on the server. Please try to place the order again.","حدث خطأ في الخادوم. الرجاء محاولة وضع الطلب مرة أخرى."
"Credit Card: xxxx-%1","كارت ائتماني: xxxx-%1"
"amount %1","%1 كمية"
"failed.","فشل."
"successful.","تم بنجاح."
"Authorize.Net Transaction ID %1.","رقم معاملة Authorize.Net %1."
"authorize","التصريح"
"authorize and capture","التحقق و القبض"
"capture","التقاط"
"refund","اعادة المبلغ المدفوع"
"void","الفراغ"
"Gateway error: %1","خطأ في البوابة: %1"
"Something went wrong in the payment gateway.","حدث خطأ في بوابة الدفع."
"Invalid amount for capture.","المبلغ غير صالح للقبض."
"Payment capturing error.","خطأ في قبض الدفعة."
"Invalid transaction ID.","رمز تعريف عملية الدفع غير موجود."
"Payment voiding error.","خطأ في الغاء الدفعة."
"Invalid amount for refund.","المبلغ غير قابل لاسترداده."
"Payment refunding error.","خطأ في استرداد المبلغ."
"The transaction was declined because the response hash validation failed.","تم رفض عملية الدفع نظراً لفشل التحقق من تجزئة الاستجابة."
"This payment didn't work out because we can't find this order.","عملية الدفع لم تنجح لاننا لم نستطع ايجاد هذا الطلب."
"There was a payment authorization error.","خطأ في إذن الدفع."
"Please enter a transaction ID to authorize this payment.","الرجاء إدخال رمز التعريف الخاص بعملية الدفع للسماح باتمام العملية."
"Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.","حدث خطأ: المبلغ المدفوع لا يتطابق مع كمية الطلبية. الرجاء تصحيح هذه المشكلة ثم حاول مرة أخرى."
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","تم الموافقة على العملية  %1.القيمة %2. حالة العملية هي ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","تم رفض العملية %1.الحالة هي ""%2"".القيمة هي %3."
"Authorize Only","المصرح فقط"
"Authorize and Capture","التحقق و القبض"
"Unable to get transaction details. Try again later.","غير قادر على الحصول على تفاصيل الصفقة. حاول مرة أخرى لاحقاً."
"Electronic payments save the trees.","المدفوعات الإلكترونية صديقة للبيئة."
"Credit Card Type","نوع بطاقة الائتمان"
"Please Select","أختر من فضلك"
"Credit Card Number","رقم بطاقة الائتمان"
"Expiration Date","تاريخ انتهاء الصلاحية"
"Card Verification Number","رقم التحقق من البطاقة"
"Fraud Detection ","الكشف عن حالات الغش "
"FDS Filter Action","إجراء تصفية FDS"
"AVS Response","رد AVS"
"Card Code Response","استجابة شفرة البطاقة"
"CAVV Response","استجابة CAVV"
"Fraud Filters","مانع الاحتيال."
"Place Order","إنشاء الطلب"
"Sorry, but something went wrong. Please contact the seller.","آسف، ولكن حدث شيء خاطئ خاطئ. الرجاء الاتصال بالبائع."
"Authorize.net Direct Post","نشر مباشر Authorize.net"
"Enabled","تفعيل"
"Payment Action","فعل الدفع"
"Title","العنوان"
"API Login ID","API اسم المستخدم"
"Transaction Key","مفتاح عملية الدفع"
"Merchant MD5","تاجر MD5"
"New Order Status","حالة طلب جديدة"
"Test Mode","وضع الاختبار"
"Gateway URL","رابط البوابة"
"Transaction Details URL","رابط تفاصيل عملية الدفع"
"Accepted Currency","العملات المقبولة"
"Debug","نقح"
"Email Customer","البريد الإلكتروني للعميل"
"Merchant's Email","البريد الإلكتروني للتاجر"
"Credit Card Types","أنواع بطاقة الائتمان"
"Credit Card Verification","التحقق من البطاقة الائتمانية"
"Payment from Applicable Countries","الدفع من البلدان المطبقة"
"Payment from Specific Countries","الدفع من بلدان معينة"
"Minimum Order Total","إجمالي الحد الأدنى للطلب"
"Maximum Order Total","إجمالي الحد الأعلى للطلب"
"Sort Order","الترتيب"
"Cannot place order.","لا يمكن وضع أمر شراء."
"'Gateway error: ' .","'Gateway error: ' ."
"Unable to place order. Please try again later.","غير قادر على انشاء الطلب. من فضلك، حاول مرة أخرى لاحقاً."
"A server error stopped your order from being placed. Please try to place your order again.","A server error stopped your order from being placed. Please try to place your order again."
"The transaction details are unavailable. Please try again later.","The transaction details are unavailable. Please try again later."
"Authorize.Net Direct Post (Deprecated)","Authorize.Net Direct Post (Deprecated)"
"Signature Key","Signature Key"
