"Billing Agreements","Incasso-overeenkomsten"
"ID","ID"
"Email","E-mail"
"First Name","Voornaam"
"Last Name","Achternaam"
"Reference ID","Referentie-ID"
"Status","status"
"Created","Aangemaakt"
"N/A","n.v.t."
"Updated","Bijgewerkt"
"Back","Terug"
"Are you sure you want to do this?","Weet u zeker dat u dit wilt doen?"
"Cancel","Annuleer"
"Billing Agreement #%1","Incasso-overeenkomst #%1"
"General Information","Algemene informatie"
"Related Orders","Gerelateerde bestellingen"
"Order","Bestelling"
"Purchased","Gekocht"
"Bill-to Name","Factuurnaam"
"Ship-to Name","Verzendnaam"
"Order Total","Totaal"
"Purchase Point","Verkooppunt"
"Billing Agreement View","Bekijk incasso-overeenkomst"
"Are you sure you want to authorize full order amount?","Weet u zeker dat u het volledige orderbedrag wilt autoriseren?"
"Authorize","Autoriseer"
"View Transaction Details","Bekijk transactie details"
"Reference Information","Referentie informatie"
"Transaction Information","Transactie informatie"
"PayPal Fee Information","PayPal Fee informatie"
"PayPal Settlement Reports","PayPal Overeenstemmings Rapporten"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","We maken verbinding met de PayPal SFTP server om nieuwe rapporten op te halen. Bent u zeker dat u wilt verdergaan?"
"Fetch Updates","Updates ophalen"
"button_label","button_label"
"sandbox_button_label","sandbox_button_label"
"Help","Help"
"Configure","Configureren"
"Close","Sluiten"
"Learn More","Lees verder"
"View Demo","Bekijk Demo"
"See terms","Zie voorwaarden"
"You will be redirected to the PayPal website.","U wordt doorverwezen naar de PayPal website."
"You will be redirected to the PayPal website when you place an order.","U wordt doorverwezen naar de PayPal website op het moment dat u een bestelling plaatst."
"Incl. Tax","Incl. BTW"
"Billing Information","Factuurinformatie"
"Shipping Information","Bezorg Informatie"
"Invalid block type","Ongeldige bloktype"
"Please specify the correct billing agreement ID and try again.","Geef de juiste Incasso-overeenkomst-ID op en probeer opnieuw."
"You canceled the billing agreement.","U heeft de incasso-overeenkomst geannuleerd."
"We can't cancel the billing agreement.","We kunnen de facturatieovereenkomst niet annuleren."
"You deleted the billing agreement.","U heeft de incasso-overeenkomst verwijderd."
"We can't delete the billing agreement.","We kunnen de facturatieovereenkomst niet verwijderen."
"Payment authorization has been successfully created.","Betalingsautorisatie is succesvol aangemaakt."
"Unable to make payment authorization.","Niet mogelijk om betalingsautorisatie aan te maken."
"Reports","Rapportages"
"Sales","Verkopen"
"View Transaction","Bekijk transactie"
"We found nothing to fetch because of an empty configuration.","Er werd niets gevonden vanwege een lege configuratie."
"We fetched %1 report rows from ""%2@%3.""","We haalden %1 rapport rijen op van ""%2@%3."""
