"Billing Agreements","Acorduri facturare"
"ID","ID"
"Email","Email"
"First Name","Prenume"
"Last Name","Nume"
"Reference ID","ID de referință"
"Status","Status"
"Created","Creat"
"N/A","N/A"
"Updated","Actualizat"
"Back","înapoi"
"Are you sure you want to do this?","Sunteți sigur că doriți să faceți această operațiune?"
"Cancel","anulați"
"Billing Agreement #%1","Acord facturare #%1"
"General Information","Informații generale"
"Related Orders","Comenzi asociate"
"Order","Comandă"
"Purchased","Achiziționat"
"Bill-to Name","Nume facturare"
"Ship-to Name","Nume livrare"
"Order Total","Total comandă"
"Purchase Point","Punct de achiziție"
"Billing Agreement View","Vizualizare acord de facturare"
"Are you sure you want to authorize full order amount?","Are you sure you want to authorize full order amount?"
"Authorize","Permiteți"
"View Transaction Details","Vizualizare detalii tranzacție"
"Reference Information","Informații de referință"
"Transaction Information","Informații tranzacție"
"PayPal Fee Information","Informații taxă PayPal"
"PayPal Settlement Reports","Rapoarte acord PayPal"
"We are connecting to the PayPal SFTP server to retrieve new reports. Are you sure you want to continue?","Vă conectăm la server-ul SFTP PayPal SFTP pentru a vă recupera rapoartele noi. Sunteți sigur că doriți să continuați?"
"Fetch Updates","Accesează actualizări"
"button_label","etichetă_button"
"sandbox_button_label","Etichetă_button_sandbox"
"Help","Ajutor"
"Configure","Configurare"
"Close","închideți"
"Learn More","Mai multe"
"View Demo","Vizualizare demo"
"See terms","Vedeți termeni"
"You will be redirected to the PayPal website.","Veți fi redirecționat la website-ul PayPal."
"You will be redirected to the PayPal website when you place an order.","Veți fi redirecționat la website-ul PayPal atunci când veți plasa o comandă."
"Incl. Tax","Includere taxe"
"Billing Information","Informații facturare"
"Shipping Information","Informații livrare"
"Invalid block type","Tip bloc nevalid"
"Please specify the correct billing agreement ID and try again.","Specificați ID-ul acordului de facturare corect și încercați din nou."
"You canceled the billing agreement.","Ați anulat acordul de facturare."
"We can't cancel the billing agreement.","Acordul de facturare nu poate fi anulat."
"You deleted the billing agreement.","Ați șters acordul de facturare."
"We can't delete the billing agreement.","Acordul de facturare nu poate fi șters."
"Payment authorization has been successfully created.","Payment authorization has been successfully created."
"Unable to make payment authorization.","Unable to make payment authorization."
"Reports","Rapoarte"
"Sales","Vânzări"
"View Transaction","Vizualizare tranzacție"
"We found nothing to fetch because of an empty configuration.","Nu s-a găsit nimic de accesat din cauza unei configurații goale."
"We fetched %1 report rows from ""%2@%3.""","S-au accesat rândurile de raport %1 din ""%2@%3."""
"We can't fetch reports from ""%1@%2.""","Nu se pot accesa rapoartele din ""%1@%2."""
"The billing agreement ""%1"" has been canceled.","Acordul de facturare ""%1"" a fost anulat."
