"Shopping Cart","Savatcha"
"Invalid method: %1","Noto'g'ri usul: %1"
"City","Shahar"
"Country","Mamlakat"
"State/Province","Mamlakat / Viloyat"
"Zip/Postal Code","Pochta indeksi"
"My Cart (1 item)","Mening savatcham (1 dona)"
"My Cart (%1 items)","Mening savatcham (%1 ta)"
"My Cart","Mening savatcham"
"For delivery questions.","Yetkazib berish bo'yicha savollar."
"Customer is already registered","Xaridor allaqachon ro'yxatdan o'tgan"
"Your session has expired","Sizning seansingiz muddati tugadi"
"A letter with further instructions will be sent to your email.","E-pochta manzilingizga qo'shimcha yo'riqnomalar bilan xat yuboriladi."
"You added %1 to your shopping cart.","%1 ta mahsulot savatchaga qo'shildi."
"We can't add this item to your shopping cart right now.","We can't add this item to your shopping cart right now."
"Out of stock","Sotib bo'lingan"
"We can't find the quote item.","We can't find the quote item."
"We cannot configure the product.","Mahsulotni sozlab bo'lmaymiz."
"You used coupon code ""%1"".","Kupon kodini ""%1"" dan foydalangansiz."
"The coupon code ""%1"" is not valid.","""%1"" kupon kodi haqiqiy emas."
"You canceled the coupon code.","Kupon kodini bekor qildingiz."
"We cannot apply the coupon code.","Kupon kodini qo'llashimiz mumkin emas."
"We can't remove the item.","We can't remove the item."
"%1 was updated in your shopping cart.","Savatchada %1 yangilandi."
"We can't update the item right now.","We can't update the item right now."
"We can't update the shopping cart.","We can't update the shopping cart."
"One-page checkout is turned off.","Bitta sahifali to'lov yopiq."
"Guest checkout is disabled.","Mehmon uchun to'lov bekor qilindi."
"Checkout","Tekshirib ko'rmoq"
"Page not found.","Sahifa topilmadi."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Something went wrong while processing your order. Please try again later.","Buyurtmani ko'rib chiqishda xatolik yuz berdi. Iltimos keyinroq qayta urinib ko'ring."
"%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface","%1 doesn't extend \Magento\Checkout\CustomerData\ItemInterface"
"Payment Method","To'lov uslubi"
"Payment Page","To'lov sahifasi"
"We can't find the product.","We can't find the product."
"We found an invalid request for adding product to quote.","Biz mahsulotni taklif qilish uchun noto'g'ri so'rovni topdik."
"The product does not exist.","Mahsulot mavjud emas."
"We don't have some of the products you want.","Siz xohlagan mahsulot yo'q."
"We don't have as many of some products as you want.","Siz xohlagan ko'p mahsulotlar mavjud emas."
"Quantity was recalculated from %1 to %2","Quantity was recalculated from %1 to %2"
"We adjusted product quantities to fit the required increments.","We adjusted product quantities to fit the required increments."
"This quote item does not exist.","This quote item does not exist."
"Display number of items in cart","Display number of items in cart"
"Display item quantities","Display item quantities"
"An error occurred on the server. Please try to place the order again.","An error occurred on the server. Please try to place the order again."
"Shipping address is not set","Shipping address is not set"
"Unable to save shipping information. Please check input data.","Unable to save shipping information. Please check input data."
"Carrier with such method not found: %1, %2","Carrier with such method not found: %1, %2"
"Shipping method is not applicable for empty cart","Shipping method is not applicable for empty cart"
" item"," item"
" items"," items"
"Totals calculation is not applicable to empty cart","Totals calculation is not applicable to empty cart"
"Invalid data","Invalid data"
"The customer address is not valid.","The customer address is not valid."
"Invalid shipping method","Invalid shipping method"
"There are more than one shipping addresses.","There are more than one shipping addresses."
"Sorry, guest checkout is not available.","Sorry, guest checkout is not available."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link."
"Load customer quote error","Load customer quote error"
"Error message!","Error message!"
"Error!","Error!"
"DB exception","DB exception"
"Message","Xabar"
"Print receipt","Print receipt"
"Apply Discount Code","Apply Discount Code"
"Enter discount code","Enter discount code"
"Apply Discount","Apply Discount"
"Cancel Coupon","Cancel Coupon"
"Shopping Cart Items","Mahsulotlar savatchasi"
"Item","Buyum"
"Price","Narx"
"Qty","Soni"
"Subtotal","Jami summ"
"Continue Shopping","Continue Shopping"
