"Country","Land"
"Allowed Credit Card Types","Tillåtna typer av kreditkort"
"Add Rule","Lägg till regel"
"Braintree Settlement Report","Braintree avräkningsrapport"
"Sorry, but something went wrong","Tyvärr, men något gick fel"
"We can't initialize checkout.","We can't initialize checkout."
"No authorization transaction to proceed capture.","Ingen transaktion att godkänna."
"Transaction is successful.","Transaction is successful."
"Braintree error response.","Braintree felmeddelande."
"Payment method nonce can't be retrieved.","Betalningsmetod kan inte hämtas."
"Wrong transaction status","Fel transaktionsstatus"
"Authorize","Auktorisera"
"Authorize and Capture","Auktorisera och debitera"
"--Please Select--","--Vänligen Välj--"
"Credit Card","Kreditkort"
"ending","slutar"
"expires","upphör"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Du måste acceptera villkoren innan du lägger en order."
"Transaction was failed.","Transaction was failed."
"Credit Card Type","Kreditkortstyp"
"Credit Card Number","Kreditkortsnummer"
"Please, enter valid Credit Card Number","Ange ett giltigt kreditkortsnummer"
"Expiration Date","Utgångsdatum"
"Please, enter valid Expiration Date","Vänligen, ange giltig utgångsdatum"
"Card Verification Number","Verifikationsnummer för kort"
"Please, enter valid Card Verification Number","Vänligen, ange giltigt kortkontrollnummer"
"Are you sure you want to delete this PayPal account","Are you sure you want to delete this PayPal account"
"PayPal Account","PayPal-konto"
"PayPal Logo","PayPal logo"
"Actions","Åtgärder"
"Delete","Ta bort"
"Credit Card Information","Kredit- eller betalkortsinformation"
"What is this?","Vad är det här?"
"Save for later use.","Spara för senare användning."
"Place Order","Beställ"
"This payment is not available","Denna betalning är inte tillgänglig"
"MM","MM"
"YY","ÅÅ"
"Please try again with another form of payment.","Vänligen försök igen med en annan betalningsmetod."
"Sorry, but something went wrong.","Tyvärr, men något gick fel."
"Payment ","Betalning "
"Credit card type is not accepted by this merchant account.","Credit card type is not accepted by this merchant account."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Credit transactions cannot be refunded."
"Cannot refund a transaction unless it is settled.","Cannot refund a transaction unless it is settled."
"Cannot submit for settlement unless status is authorized.","Cannot submit for settlement unless status is authorized."
"Customer does not have any credit cards.","Customer does not have any credit cards."
"Transaction has already been completely refunded.","Transaction has already been completely refunded."
"Payment instrument type is not accepted by this merchant account.","Payment instrument type is not accepted by this merchant account."
"Processor authorization code cannot be set unless for a voice authorization.","Processor authorization code cannot be set unless for a voice authorization."
"Refund amount is too large.","Refund amount is too large."
"Settlement amount is too large.","Settlement amount is too large."
"Cannot provide a billing address unless also providing a credit card.","Cannot provide a billing address unless also providing a credit card."
"Cannot refund a transaction with a suspended merchant account.","Cannot refund a transaction with a suspended merchant account."
"Merchant account does not support refunds.","Merchant account does not support refunds."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled."
"PayPal is not enabled for your merchant account.","PayPal is not enabled for your merchant account."
"Partial settlements are not supported by this processor.","Partial settlements are not supported by this processor."
"Cannot submit for partial settlement.","Cannot submit for partial settlement."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Too many concurrent attempts to refund this transaction. Try again later."
"Too many concurrent attempts to void this transaction. Try again later.","Too many concurrent attempts to void this transaction. Try again later."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Acceptera kreditkort och PayPal i din Magento butik. <br/> Inga inställningar eller månatliga avgifter och dina kunder lämna aldrig din butik för att slutföra köpet."
"Enable this Solution","Aktivera denna lösning"
"Enable PayPal through Braintree","Aktivera PayPal via Braintree"
"Vault Enabled","Valv aktiverat"
"Basic Braintree Settings","Grundläggande Braintree-inställningar"
"Title","Titel"
"Environment","Miljö"
"Payment Action","Betalningsåtgärd"
"Merchant ID","Handlar-ID"
"Public Key","Publik nyckel"
"Private Key","Privat nyckel"
"Advanced Braintree Settings","Avancerade Braintree-inställningar"
"Vault Title","Valvnamn"
"Merchant Account ID","Försäljarens konto-ID"
"Advanced Fraud Protection","Avancerat bedrägeriskydd"
"Kount Merchant ID","Kount handlar-ID"
"Debug","Felsök"
"CVV Verification","CVV-verifiering"
"Credit Card Types","Kreditkortstyper"
"Sort Order","Sorteringsordning"
"Country Specific Settings","Land-specifika inställningar"
"Payment from Applicable Countries","Betalning från tillämpliga länder"
"Payment from Specific Countries","Betalning från specifika länder"
"Country Specific Credit Card Types","Typer av land-specifika kreditkort"
"PayPal through Braintree","PayPal via Braintree"
"Override Merchant Name","Åsidosätt handlarnamn"
"Require Customer's Billing Address","Kräv kundens faktureringsadress"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Tillåt att redigera leveransadress hos PayPal"
"Display on Shopping Cart","Visa i kundvagn"
"Skip Order Review","Skip Order Review"
"3D Secure Verification Settings","3D Secure verifieringsinställningar"
"3D Secure Verification","3D Secure verifiering"
"Threshold Amount","Beloppsgräns"
"Verify for Applicable Countries","Kontrollera för tillämpliga länder"
"Verify for Specific Countries","Kontrollera för specifika länder"
