"Country","Riik"
"Allowed Credit Card Types","Lubatud krediitkaarditüübid"
"Add Rule","Lisa reegel"
"Braintree Settlement Report","Braintree Settlement aruanne"
"Sorry, but something went wrong","Vabandage, midagi läks valesti"
"We can't initialize checkout.","We can't initialize checkout."
"No authorization transaction to proceed capture.","Puudulikud õigused."
"Transaction is successful.","Transaction is successful."
"Braintree error response.","Braintree vea vastus."
"Payment method nonce can't be retrieved.","Payment method nonce can't be retrieved."
"Wrong transaction status","Vale tehningu staatus"
"Authorize","Autoriseeri"
"Authorize and Capture","Lubada ja salvesta"
"--Please Select--","--Palun Valige--"
"Credit Card","Krediitkaart"
"ending","ending"
"expires","aegub"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","Palun nõustuge tingimustega enne tellimuse esitamist."
"Transaction was failed.","Transaction was failed."
"Credit Card Type","Krediitkaardi tüüp"
"Credit Card Number","Krediitkaardi number"
"Please, enter valid Credit Card Number","Sisesta korrektne krediitkaardi number"
"Expiration Date","Aegumiskuupäev"
"Please, enter valid Expiration Date","Palun sisestage korrektne aegumiskuupäev"
"Card Verification Number","Kaardi turvakood"
"Please, enter valid Card Verification Number","Palun sisestage korrektne krediitkaardi kontrollkood"
"Are you sure you want to delete this PayPal account","Olete kindel et soovite kustutada seda PayPali kontot"
"PayPal Account","Paypali konto"
"PayPal Logo","Paypali logo"
"Actions","Toimingud"
"Delete","Kustuta"
"Credit Card Information","Krediitkaardi andmed"
"What is this?","Mis see on?"
"Save for later use.","Salvesta hilisemaks kasutamiseks."
"Place Order","Esita tellimus"
"This payment is not available","Makse pole saadaval"
"MM","KK"
"YY","AA"
"Please try again with another form of payment.","Palun proovige uuesti teise makseviisiga."
"Sorry, but something went wrong.","Vabandage, midagi läks valesti."
"Payment ","Makse "
"Credit card type is not accepted by this merchant account.","Credit card type is not accepted by this merchant account."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Credit transactions cannot be refunded."
"Cannot refund a transaction unless it is settled.","Cannot refund a transaction unless it is settled."
"Cannot submit for settlement unless status is authorized.","Cannot submit for settlement unless status is authorized."
"Customer does not have any credit cards.","Customer does not have any credit cards."
"Transaction has already been completely refunded.","Transaction has already been completely refunded."
"Payment instrument type is not accepted by this merchant account.","Payment instrument type is not accepted by this merchant account."
"Processor authorization code cannot be set unless for a voice authorization.","Processor authorization code cannot be set unless for a voice authorization."
"Refund amount is too large.","Refund amount is too large."
"Settlement amount is too large.","Settlement amount is too large."
"Cannot provide a billing address unless also providing a credit card.","Cannot provide a billing address unless also providing a credit card."
"Cannot refund a transaction with a suspended merchant account.","Cannot refund a transaction with a suspended merchant account."
"Merchant account does not support refunds.","Merchant account does not support refunds."
