"Country","국가"
"Allowed Credit Card Types","허용된 신용카드 타입"
"Add Rule","규칙 추가"
"Braintree Settlement Report","브레인트리 정산 리포트"
"Sorry, but something went wrong","죄송합니다, 문제가 발생했습니다"
"We can't initialize checkout.","We can't initialize checkout."
"No authorization transaction to proceed capture.","No authorization transaction to proceed capture."
"Transaction is successful.","Transaction is successful."
"Braintree error response.","브레인트리 에러 응답"
"Payment method nonce can't be retrieved.","Payment method nonce can't be retrieved."
"Wrong transaction status","잘못된 트랜잭션 상태"
"Authorize","인증"
"Authorize and Capture","인증과 캡쳐"
"--Please Select--","--선택해 주십시오--"
"Credit Card","Credit Card"
"ending","ending"
"expires","expires"
"PayPal","PayPal"
"Please agree to all the terms and conditions before placing the order.","이용약관에 동의하신 후 계속해 주십시오."
"Transaction was failed.","Transaction was failed."
"Credit Card Type","신용카드 타입"
"Credit Card Number","신용카드 번호"
"Please, enter valid Credit Card Number","올바른 신용카드 번호를 입력해 주십시오"
"Expiration Date","유효기간"
"Please, enter valid Expiration Date","올바른 유효기간을 입력해 주십시오"
"Card Verification Number","카드 인증 번호"
"Please, enter valid Card Verification Number","유효한 카드 인증 번호를 입력해 주십시오."
"Are you sure you want to delete this PayPal account","Are you sure you want to delete this PayPal account"
"PayPal Account","PayPal Account"
"PayPal Logo","PayPal Logo"
"Actions","동작"
"Delete","삭제"
"Credit Card Information","신용카드 정보"
"What is this?","이게 뭐죠?"
"Save for later use.","Save for later use."
"Place Order","주문하기"
"This payment is not available","This payment is not available"
"MM","MM"
"YY","YY"
"Please try again with another form of payment.","Please try again with another form of payment."
"Sorry, but something went wrong.","죄송합니다, 문제가 발생했습니다."
"Payment ","Payment "
"Credit card type is not accepted by this merchant account.","Credit card type is not accepted by this merchant account."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Credit transactions cannot be refunded."
"Cannot refund a transaction unless it is settled.","Cannot refund a transaction unless it is settled."
"Cannot submit for settlement unless status is authorized.","Cannot submit for settlement unless status is authorized."
"Customer does not have any credit cards.","Customer does not have any credit cards."
"Transaction has already been completely refunded.","Transaction has already been completely refunded."
"Payment instrument type is not accepted by this merchant account.","Payment instrument type is not accepted by this merchant account."
"Processor authorization code cannot be set unless for a voice authorization.","Processor authorization code cannot be set unless for a voice authorization."
"Refund amount is too large.","Refund amount is too large."
"Settlement amount is too large.","Settlement amount is too large."
"Cannot provide a billing address unless also providing a credit card.","Cannot provide a billing address unless also providing a credit card."
"Cannot refund a transaction with a suspended merchant account.","Cannot refund a transaction with a suspended merchant account."
"Merchant account does not support refunds.","Merchant account does not support refunds."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled."
"PayPal is not enabled for your merchant account.","PayPal is not enabled for your merchant account."
"Partial settlements are not supported by this processor.","Partial settlements are not supported by this processor."
"Cannot submit for partial settlement.","Cannot submit for partial settlement."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Too many concurrent attempts to refund this transaction. Try again later."
"Too many concurrent attempts to void this transaction. Try again later.","Too many concurrent attempts to void this transaction. Try again later."
"Braintree","Braintree"
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase."
"Enable this Solution","Enable this Solution"
"Enable PayPal through Braintree","브레인트리를 통한 페이팔 사용 활성화"
"Vault Enabled","Vault Enabled"
"Basic Braintree Settings","Basic Braintree Settings"
"Title","타이틀"
"Environment","환경"
"Payment Action","결제 방법"
"Merchant ID","Merchant ID"
"Public Key","Public Key"
"Private Key","Private Key"
"Advanced Braintree Settings","브레인트리 고급 설정"
"Vault Title","Vault Title"
"Merchant Account ID","Merchant Account ID"
"Advanced Fraud Protection","고급 사기 보호"
"Kount Merchant ID","Kount Merchant ID"
"Debug","디버그"
"CVV Verification","CVV 인증"
"Credit Card Types","신용카드 타입"
"Sort Order","정렬 순서"
"Country Specific Settings","국가 지정 설정"
"Payment from Applicable Countries","해당 국가에서 지불"
"Payment from Specific Countries","특정 국가에서 지불"
"Country Specific Credit Card Types","Country Specific Credit Card Types"
"PayPal through Braintree","브레인트리를 통한 페이팔"
"Override Merchant Name","Merchant 이름 덮어쓰기"
"Require Customer's Billing Address","Require Customer's Billing Address"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Allow to Edit Shipping Address Entered During Checkout on PayPal Side"
"Display on Shopping Cart","Display on Shopping Cart"
"Skip Order Review","Skip Order Review"
"3D Secure Verification Settings","3D 보안 확인 설정"
"3D Secure Verification","3D Secure Verification"
"Threshold Amount","임계 금액"
"Verify for Applicable Countries","Verify for Applicable Countries"
"Verify for Specific Countries","Verify for Specific Countries"
"Dynamic Descriptors","Dynamic Descriptors"
"Name","이름 "
"Phone","전화"
"URL","URL"
"CVV is required.","CVV is required."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV must be 4 digits for American Express and 3 digits for other card types."
"Expiration date is required.","Expiration date is required."
"Expiration date is invalid.","Expiration date is invalid."
"Expiration year is invalid. It must be between 1975 and 2201.","Expiration year is invalid. It must be between 1975 and 2201."
"Expiration month is invalid.","Expiration month is invalid."
"Expiration year is invalid.","Expiration year is invalid."
"Credit card number is required.","Credit card number is required."
"Credit card number is invalid.","Credit card number is invalid."
"Credit card number must be 12-19 digits.","Credit card number must be 12-19 digits."
"Cardholder name is too long.","Cardholder name is too long."
