"Reward Points","Баллы вознаграждения"
"Reward Points History","История бонусных баллов"
"Expired reward","Expired reward"
"Unlimited","Неограничено"
"No Data","Нет данных"
"Website","Веб-сайт"
"Balance","Баланс"
"Currency Amount","Currency Amount"
"Reward Points Threshold","Reward Points Threshold"
"Reward Points Cap","Reward Points Cap"
"Delete Orphan Points","Delete Orphan Points"
"Update Reward Points Balance","Update Reward Points Balance"
"Store","Магазин"
"Update Points","Обновить баллы"
"Enter a negative number to subtract from the balance.","Enter a negative number to subtract from the balance."
"Comment","Комментарий"
"Reward Points Notifications","Reward Points Notifications"
"Subscribe for Balance Updates","Subscribe for Balance Updates"
"Subscribe for Points Expiration Notifications","Subscribe for Points Expiration Notifications"
"Reward Exchange Rates","Reward Exchange Rates"
"Add New Rate","Add New Rate"
"Edit Reward Exchange Rate","Edit Reward Exchange Rate"
"New Reward Exchange Rate","New Reward Exchange Rate"
"Reward Exchange Rate Information","Reward Exchange Rate Information"
"Customer Group","Группы клиентов"
"Direction","Направление"
"Rate","Rate"
"Use your reward points; %1 are available.","Use your reward points; %1 are available."
"Learn more","Подробнее"
"This applies only to registered users and may vary when a user is logged in.","This applies only to registered users and may vary when a user is logged in."
"You removed the orphan points.","You removed the orphan points."
"Customers","Покупатели"
"Manage Reward Exchange Rates","Manage Reward Exchange Rates"
"You deleted the rate.","You deleted the rate."
"You saved the rate.","You saved the rate."
"We can't save this rate right now.","We can't save this rate right now."
"Please enter all rate information.","Please enter all rate information."
"Please enter a positive integer number in the left rate field.","Please enter a positive integer number in the left rate field."
"Please enter a positive number in the right-side rate field.","Please enter a positive number in the right-side rate field."
"Please enter a positive integer number in the right-side rate field.","Please enter a positive integer number in the right-side rate field."
"Please enter a positive number in the left-side rate field.","Please enter a positive number in the left-side rate field."
"Sorry, but a rate for the same website, customer group and direction or covering rate already exists.","Sorry, but a rate for the same website, customer group and direction or covering rate already exists."
"You removed the reward points from this order.","You removed the reward points from this order."
"Reward points will not be used in this order.","Reward points will not be used in this order."
"Page not found.","Страница не найдена."
"You saved the settings.","Вы сохранили настройки."
"You unsubscribed.","Вы отписались."
"You can't unsubscribed right now.","Вы не можете отписаться сейчас."
"%1 Reward points (%2)","%1 Reward points (%2)"
"%1 Reward points","%1 Reward points"
"Updated by moderator","Обновлено модератором"
"Refunded from order #%1","Refunded from order #%1"
"Points voided at order #%1 refund.","Points voided at order #%1 refund."
"The invitation to %1 converted into a customer.","The invitation to %1 converted into a customer."
"The invitation to %1 converted into an order.","The invitation to %1 converted into an order."
"Signed up for newsletter with email %1","Signed up for newsletter with email %1"
"Redeemed for order #%1","Redeemed for order #%1"
"Earned points for order #%1","Earned points for order #%1"
"Reverted from incomplete order #%1","Reverted from incomplete order #%1"
"Registered as customer","Registered as customer"
"For submitting a product review","Для отправки отзыва о товаре"
"Earned promotion extra points from order #%1","Earned promotion extra points from order #%1"
"%1 store reward points available (%2)","%1 store reward points available (%2)"
"%1 store reward points available","%1 store reward points available"
"%1 was deducted because of refund.","%1 was deducted because of refund."
"The action ID you enter must be a number.","The action ID you enter must be a number."
