"Reward Points","ಕೊಡುಗೆ ಅಂಕಗಳು"
"Reward Points History","ಕೊಡುಗೆ ಅಂಕಗಳ ಇತಿಹಾಸ"
"Expired reward","ಅವಧಿ ಮೀರಿದ ಕೊಡುಗೆಗಳು"
"Unlimited","ಅಪರಿಮಿತ"
"No Data","ದತ್ತಾಂಶವಿಲ್ಲ"
"Website","ಜಾಲ ತಾಣ"
"Balance","ಬಾಕಿ"
"Currency Amount","ಕರೆನ್ಸಿ ಮೊತ್ತ"
"Reward Points Threshold","ಕೊಡುಗೆ ಅಂಕಗಳ ಮಿತಿ"
"Reward Points Cap","Reward Points Cap"
"Delete Orphan Points","ಅನಾಥ ಅಂಕಗಳನ್ನು ಅಳಿಸಿ"
"Update Reward Points Balance","Update Reward Points Balance"
"Store","ಮಳಿಗೆ"
"Update Points","ಅಂಕಗಳನ್ನು ಪರಿಷ್ಕರಿಸಿ"
"Enter a negative number to subtract from the balance.","Enter a negative number to subtract from the balance."
"Comment","ಅಭಿಪ್ರಾಯ"
"Reward Points Notifications","ಕೊಡುಗೆ ಅಂಕಗಳ ಅಧಿಸೂಚನೆಗಳು"
"Subscribe for Balance Updates","Subscribe for Balance Updates"
"Subscribe for Points Expiration Notifications","Subscribe for Points Expiration Notifications"
"Reward Exchange Rates","Reward Exchange Rates"
"Add New Rate","ಹೊಸ ದರವನ್ನು ಸೇರಿಸಿ"
"Edit Reward Exchange Rate","Edit Reward Exchange Rate"
"New Reward Exchange Rate","New Reward Exchange Rate"
"Reward Exchange Rate Information","Reward Exchange Rate Information"
"Customer Group","ಗ್ರಾಹಕರ ಗುಂಪು"
"Direction","ದಿಕ್ಕು"
"Rate","ದರ"
"Use your reward points; %1 are available.","ಕೊಡುಗೆ ಅಂಕಗಳನ್ನು ಬಳಸಿ; %1 ಲಭ್ಯವಿವೆ."
"Learn more","ಇನ್ನಷ್ಟು ತಿಳಿಯಿರಿ"
"This applies only to registered users and may vary when a user is logged in.","This applies only to registered users and may vary when a user is logged in."
"You removed the orphan points.","ನೀವು ಅನಾಥ ಅಂಕಗಳನ್ನು ತೆಗೆದುಹಾಕಿದ್ದೀರಿ."
"Customers","ಗ್ರಾಹಕರು"
"Manage Reward Exchange Rates","Manage Reward Exchange Rates"
"You deleted the rate.","ನೀವು ದರವನ್ನು ಅಳಿಸಿದ್ದೀರಿ."
"You saved the rate.","ನೀವು ದರವನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"We can't save this rate right now.","ನಾವು ಸಧ್ಯಕ್ಕೆ ದರವನ್ನು ಪರಿಷ್ಕರಿಸಲಾಗಲಿಲ್ಲ."
"Please enter all rate information.","ದಯವಿಟ್ಟು ಎಲ್ಲಾ ದರದ ಮಾಹಿತಿಯನ್ನು ನಮೂದಿಸಿ."
"Please enter a positive integer number in the left rate field.","Please enter a positive integer number in the left rate field."
"Please enter a positive number in the right-side rate field.","Please enter a positive number in the right-side rate field."
"Please enter a positive integer number in the right-side rate field.","Please enter a positive integer number in the right-side rate field."
"Please enter a positive number in the left-side rate field.","Please enter a positive number in the left-side rate field."
"Sorry, but a rate for the same website, customer group and direction or covering rate already exists.","Sorry, but a rate for the same website, customer group and direction or covering rate already exists."
"You removed the reward points from this order.","You removed the reward points from this order."
"Reward points will not be used in this order.","Reward points will not be used in this order."
"Page not found.","ಪುಟವು ಕಂಡುಬಂದಿಲ್ಲ."
"You saved the settings.","ನೀವು ಸಂಯೋಜನೆಯನ್ನು ಉಳಿಸಿದ್ದೀರಿ."
"You unsubscribed.","You unsubscribed."
"You can't unsubscribed right now.","You can't unsubscribed right now."
"%1 Reward points (%2)","%1 ಕೊಡುಗೆ ಅಂಕಗಳು(%2)"
"%1 Reward points","%1 ಕೊಡುಗೆ ಅಂಕಗಳು"
"Updated by moderator","Updated by moderator"
"Refunded from order #%1","Refunded from order #%1"
"Points voided at order #%1 refund.","Points voided at order #%1 refund."
"The invitation to %1 converted into a customer.","The invitation to %1 converted into a customer."
"The invitation to %1 converted into an order.","The invitation to %1 converted into an order."
"Signed up for newsletter with email %1","Signed up for newsletter with email %1"
"Redeemed for order #%1","Redeemed for order #%1"
"Earned points for order #%1","ವ್ಯಾಪಾರಾದೇಶ #%1 ಕ್ಕೆ ಗಳಿಸಿದ ಅಂಕಗಳು"
"Reverted from incomplete order #%1","Reverted from incomplete order #%1"
"Registered as customer","ಗ್ರಾಹಕರಂತೆ ನೋಂದಾಯಿಸಲಾಗಿದೆ"
"For submitting a product review","ಉತ್ಪನ್ನದ ವಿಮರ್ಶೆ ಸಲ್ಲಿಕೆಗಾಗಿ"
"Earned promotion extra points from order #%1","Earned promotion extra points from order #%1"
"%1 store reward points available (%2)","%1 store reward points available (%2)"
"%1 store reward points available","%1 store reward points available"
"%1 was deducted because of refund.","%1 was deducted because of refund."
"The action ID you enter must be a number.","The action ID you enter must be a number."
"You don't have enough reward points to pay for this purchase.","You don't have enough reward points to pay for this purchase."
"Points to Currency","ಅಂಕಗಳಿಂದ ಕರೆನ್ಸಿಗೆ"
"Currency to Points","ಕರೆನ್ಸಿಯಿಂದ ಅಂಕಗಳಿಗೆ"
"All Customer Groups","ಎಲ್ಲಾ ಗ್ರಾಹಕರ ಗುಂಪುಗಳು"
"Static","ಸ್ಥಿರ"
"Dynamic","ಕ್ರಿಯಾಶೀಲ"
"Each","ಪ್ರತಿ"
"First","ಮೊದಲ"
"All Websites","ಎಲ್ಲಾ ಜಾಲತಾಣಗಳು"
"""Minimum Reward Points Balance"" should be either a positive number or left empty.","""Minimum Reward Points Balance"" should be either a positive number or left empty."
"""Cap Reward Points Balance"" should be either a positive number or left empty.","""Cap Reward Points Balance"" should be either a positive number or left empty."
"""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance"".","""Minimum Reward Points Balance"" should be less or equal to ""Cap Reward Points Balance""."
"Customer earned promotion extra %1.","Customer earned promotion extra %1."
"The customer earned %1 for this order.","The customer earned %1 for this order."
"Reward Points Balance","ಕೊಡುಗೆ ಅಂಕಗಳ ಬಾಕಿ"
"upper boundary","upper boundary"
"Refund Reward Points","Refund Reward Points"
"Reward Points refunded to customer","Reward Points refunded to customer"
"Remove","ತೆಗೆದುಹಾಕಿ"
"Back","ಹಿಂದೆ"
"Balance History","ಬಾಕಿ ಚರಿತ್ರೆ"
"Amount","ಮೊತ್ತ"
"Points","ಅಂಕಗಳು"
"Reason","ಕಾರಣ"
"Date","ದಿನಾಂಕ"
"Expires on %1","Expires on %1"
"There is no balance history.","ಬಾಕಿ ಇತಿಹಾಸ ಇಲ್ಲ."
"Reward points balance Information","ಕೊಡುಗೆ ಅಂಕಗಳ ಬಾಕಿಯ ಮಾಹಿತಿ"
"Your balance is %1.","ನಿಮ್ಮ ಬಾಕಿ %1."
"Current exchange rates:","Current exchange rates:"
"%1 = %2","%1 = %2"
"%1 spent = %2 earned","%1 ಖರ್ಚುಮಾಡಿದ್ದು = %2 ಗಳಿಸಿದ್ದು"
"None","ಯಾವುದೂ ಇಲ್ಲ"
"Balance limit is %1.","ಬಾಕಿ ಮಿತಿ %1."
"Maximum balance is reached","Maximum balance is reached"
"Minimum Balance in order to redeem: %1.","Minimum Balance in order to redeem: %1."
"You need a higher balance to use your rewards points.","You need a higher balance to use your rewards points."
"Each earned reward points award expires in %1 days.","Each earned reward points award expires in %1 days."
"Refer to reward points history to see when a specific record expires.","Refer to reward points history to see when a specific record expires."
"Email Notification Settings","ಮಿಂಚೆ ಅಧಿಸೂಚನೆ ಸಂಯೋಜನೆಗಳು"
"Save Subscription Settings","Save Subscription Settings"
"Reward Points Balance Updated at %store_name","Reward Points Balance Updated at %store_name"
"%name,","%name,"
"You have %points_balance points that may be used in our store:","You have %points_balance points that may be used in our store:"
"<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications.","<a href=""%unsubscription_url"">Unsubscribe</a> from these notifications."
"Reward Points Expiry Warning at %store_name","Reward Points Expiry Warning at %store_name"
"There are %remaining_days day(s) remaining to use %points_expiring of your reward points.","There are %remaining_days day(s) remaining to use %points_expiring of your reward points."
"After %remaining_days day(s) these points will expire.","After %remaining_days day(s) these points will expire."
"You have a total of %points_balance points that may be used in our store:","You have a total of %points_balance points that may be used in our store:"
"Reward points","ಕೊಡುಗೆ ಅಂಕಗಳು"
"Use reward points","ಕೊಡುಗೆ ಅಂಕಗಳನ್ನು ಬಳಸಿ"
"Your reward point was successfully applied","ನಿಮ್ಮ ಕೊಡುಗೆ ಅಂಕವನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಅನ್ವಯಿಸಲಾಗಿದೆ"
"Manage Reward Points Balances","ಕೊಡುಗೆ ಅಂಕಗಳ ಬಾಕಿಯನ್ನು ನಿರ್ವಹಿಸಿ"
"Can Spend Reward Points","Can Spend Reward Points"
"Enable Reward Points Functionality","Enable Reward Points Functionality"
"Enable Reward Points Functionality on Storefront","Enable Reward Points Functionality on Storefront"
"Customers May See Reward Points History","Customers May See Reward Points History"
"Rewards Points Balance Redemption Threshold","Rewards Points Balance Redemption Threshold"
"An empty value disables this limitation.","An empty value disables this limitation."
"Cap Reward Points Balance At","Cap Reward Points Balance At"
"Reward Points Expire in (days)","Reward Points Expire in (days)"
"Reward Points Expiry Calculation","Reward Points Expiry Calculation"
"""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry.","""Static"" defines the expiration date as precisely when the balance increases. ""Dynamic"" does not have an expiration date, but calculates one when the balance is checked for expiry."
"Refund Reward Points Automatically","Refund Reward Points Automatically"
"Deduct Reward Points from Refund Amount Automatically","Deduct Reward Points from Refund Amount Automatically"
"Landing Page","ನೆಲೆದಾಣ ಪುಟ"
"Actions for Acquiring Reward Points by Customers","Actions for Acquiring Reward Points by Customers"
"Purchase","ಖರೀದಿ"
"Added for spent money according to reward exchange rates.","Added for spent money according to reward exchange rates."
"Registration","ನೋಂದಣಿ"
"Newsletter Signup","Newsletter Signup"
