"Search Term","Hledaný výraz"
"Results","Výsledky"
"Uses","Použití"
"Search Terms","Hledané výrazy"
"Search Synonyms","Hledat synonyma"
"New Synonym Group","Nová skupina synonym"
"Back","Zpět"
"Delete Synonym Group","Odstranit skupinu synonym"
"Are you sure you want to delete this synonym group?","Skutečně chcete tuto skupinu synonym odstranit?"
"Reset","Obnovit"
"Save and Continue Edit","Použít"
"Save Synonym Group","Uložit skupinu synonym"
"Search","Hledat"
"Add New Search Term","Přidat nový hledaný výraz"
"Save Search","Uložit hledání"
"Delete Search","Smazat hledání"
"Edit Search '%1'","Upravit hledání '%1'"
"New Search","Nové hledání"
"Search Information","Nastavení hledání"
"General Information","Všeobecné informace"
"No","Ne"
"Yes","Ano"
"Search Query","Vyhledávací dotaz"
"Store","Obchod"
"Number of results","Počet výsledků"
"Number of results (For the last time placed)","Počet výsledků (umístěno v poslední době)"
"For the last time placed.","Umístěno v poslední době."
"Number of Uses","Počet použití"
"Redirect URL","Přesměrování URL"
"ex. http://domain.com","např. http://domena.cz"
"Display in Suggested Terms","Zobrazit v doporučených výrazech"
"The synonym group has been deleted.","Skupina synonym byla odstraněna."
"An error was encountered while performing delete operation.","An error was encountered while performing delete operation."
"We can't find a synonym group to delete.","We can't find a synonym group to delete."
"This synonyms group no longer exists.","Tato skupina synonym již neexistuje."
"Edit Synonym Group","Upravit skupinu synonym"
"Synonym Group","Skupina synonym"
"Failed to delete %1 synonym group(s).","Skupinu synonym %1 se nepodařilo odstranit."
"A total of %1 synonym group(s) have been deleted.","Bylo odstraněno celkem %1 skupin synonym."
"Marketing","Marketing"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used."
"This synonym group no longer exists.","Tato skupina synonym již neexistuje."
"You saved the synonym group.","Skupina synonym byla uložena."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Zadané termíny (%1), patří do 1 skupiny synonym, %2. Termíny mohou být sloučeny, proto zvolte výběr ""Sloučit existující synonyma""."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Zadané termíny (%1), patří do %2 skupin synonym, %3 a %4. Termíny mohou být sloučeny, proto zvolte výběr ""Sloučit existující synonyma""."
"You deleted the search.","Hledání bylo odstraněno."
"We can't find a search term to delete.","Hledaný výraz k odstranění nelze najít."
"This search no longer exists.","Toto hledání již neexistuje."
"Edit Search","Upravit hledání"
"Please select searches.","Zvolte hledání prosím."
"Total of %1 record(s) were deleted.","Bylo odstraněno celkem %1 záznamů."
"Reports","Přehledy"
"Search Terms Report","Přehled hledaných termínů"
"You saved the search term.","Hledaný výraz byl uložen."
"Something went wrong while saving the search query.","Při ukládání hledaného výrazu nastala chyba."
"You already have an identical search term query.","Identický hledaný výraz již existuje."
"Your search query can't be longer than %1, so we shortened your query.","Hledaný výraz nemůže být delší než %1, tak byl váš dotaz zkrácen."
"Synonym group with id %1 cannot be deleted. %2","Synonym group with id %1 cannot be deleted. %2"
"Merge conflict with existing synonym group(s): %1","Sloučit konflikty s existujícími skupinami synonym: %1"
"All Websites","Všechny weby"
"    All Store Views","    Všechna zobrazení obchodu"
"All Store Views","Všechna zobrazení obchodu"
"Delete","Smazat"
"Are you sure you want to delete synonym group with id: %1?","Skutečně chcete odstranit skupinu synonym s ID: %1?"
"View/Edit","Zobrazit / upravit"
"Search entire store here...","Zadejte hledaný výraz..."
"There are no search terms available.","K dispozici nejsou žádné hledané termíny."
"Search Engine","Vyhledávač"
"CSV","CSV"
"Excel XML","Excel XML"
"ID","ID"
"Hits","Počet"
"Are you sure?","Skutečně chcete provést tuto akci?"
"Suggested Terms","Navrhované termíny"
"yes","yes"
"no","no"
"Action","Akce"
"Edit","Upravit"
"You can adjust the scope of this synonym group by selecting an option from the list.","Výběrem možnosti ze seznamu nastavíte rozsah této skupiny synonym."
"Scope","Rozsah"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Čárkou oddělený seznam synonym. Zadané termíny (oddělené čárkami) budou použity k hledání logikou ""OR"" v celém obchodě. Například, pokud zadáte ""boty, obuv"" a uživatel hledá výraz ""boty"", výsledky hledání budou obsahovat produkt odpovídající termínu ""boty"" nebo ""obuv""."
"Synonyms","Synonyma"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Automaticky sloučí synonyma ve skupinách, které sdílejí stejný rozsah. Zaškrtnete-li tento údaj a přidáte jeden nebo více termínů do různých skupin synonym ve stejném rozsahu, všechny termíny budou automaticky sloučeny do jedné skupiny. Pokud nechcete, zrušte zaškrtnutí políčka a zobrazí se chyba, pokud se pokusíte přidat stejné termíny."
"Store View","Zobrazení obchodu"
"Website","Webová stránka"
"Are you sure you want to delete the selected synonym groups?","Skutečně chcete zvolenou skupinu synonym odstranit?"
"Delete items","Odstranit položky"
"Synonym For","Synonym For"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Synonym","Synonym"
"Merge existing synonyms","Merge existing synonyms"
"The synonym group with the ""%1"" ID can't be deleted. %2","The synonym group with the ""%1"" ID can't be deleted. %2"
