"Search Term","البحث في المصطلحات"
"Results","نتائج"
"Uses","استخدام"
"Search Terms","البحث عن كلمات"
"Search Synonyms","البحث عن مرادفات"
"New Synonym Group","مجموعة مرادف جديدة"
"Back","رجوع"
"Delete Synonym Group","حذف مجموعة مرادف"
"Are you sure you want to delete this synonym group?","هل أنت متأكد من أنك تريد حذف مرادفات هذه المجموعة ؟"
"Reset","اعادة ضبط"
"Save and Continue Edit","حفظ ومواصلة التعديل"
"Save Synonym Group","حفظ مرادفات المجموعة"
"Search","بحث"
"Add New Search Term","اضف كلمة بحث جديدة"
"Save Search","حفظ البحث"
"Delete Search","حذف بحث"
"Edit Search '%1'","تعديل بحث '%1'"
"New Search","بحث جديد"
"Search Information","حفظ المعلومات"
"General Information","المعلومات العامة"
"No","لا"
"Yes","نعم"
"Search Query","استفسار البحث"
"Store","متجر"
"Number of results","عدد النتائج"
"Number of results (For the last time placed)","عدد النتائج (التي وضعت في المرة الأخيرة)"
"For the last time placed.","التي وضعت في المرة الأخيرة."
"Number of Uses","عدد من الاستخدامات"
"Redirect URL","اعادة توجيه الموقع"
"ex. http://domain.com","http://domain.com مثال"
"Display in Suggested Terms","العرض في العناصر المقترحة"
"The synonym group has been deleted.","تم حذف مرادفات المجموعة."
"An error was encountered while performing delete operation.","تمت مصادفة خطأ أثناء إجراء عملية الحذف."
"We can't find a synonym group to delete.","لا يمكن أن نجد مرادفات المجموعة لحذفها."
"This synonyms group no longer exists.","هذه المرادفات للمجموعة لم تعد موجودة."
"Edit Synonym Group","تعديل مرادفات مجموعة"
"Synonym Group","مرادفات مجموعة"
"Failed to delete %1 synonym group(s).","فشل في حذف %1 مرادفات مجموعة."
"A total of %1 synonym group(s) have been deleted.","A total of %1 synonym group(s) have been deleted."
"Marketing","التسويق"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","البحث عن مرادفات غير معتمدة من قبل محرك البحث %1. لن يتم استخدام اي مرادفات تقوم بإدخالها."
