"Search Term","תנאי חיפוש"
"Results","תוצאות"
"Uses","שימושים"
"Search Terms","מילות חיפוש"
"Search Synonyms","חיפוש מילים נרדפות"
"New Synonym Group","קבוצה חדשה לביטויים נרדפים"
"Back","חזור"
"Delete Synonym Group","מחיקת קבוצת ביטויים נרדפים"
"Are you sure you want to delete this synonym group?","האם ברצונך למחוק את קבוצת הביטויים הנרדפים?"
"Reset","איפוס"
"Save and Continue Edit","שמור והמשך בעריכה"
"Save Synonym Group","שמירת קבוצת ביטויים נרדפים"
"Search","חפש"
"Add New Search Term","הוסף מונח חיפוש חדש"
"Save Search","שמירת חיפוש"
"Delete Search","מחיקת חיפוש"
"Edit Search '%1'","עריכת חיפוש '%1'"
"New Search","חיפוש חדש"
"Search Information","מידע על החיפוש"
"General Information","מידע כללי"
"No","לא"
"Yes","כן"
"Search Query","שאילתת החיפוש"
"Store","חנות"
"Number of results","מספר תוצאות"
"Number of results (For the last time placed)","מספר תוצאות (מהפעם האחרונה)"
"For the last time placed.","בפעם האחרונה."
"Number of Uses","מספר השימושים"
"Redirect URL","ניתוב מחדש של כתובת URL"
"ex. http://domain.com","לדוגמא http://domain.com"
"Display in Suggested Terms","הצגה במונחים המוצעים"
"The synonym group has been deleted.","קבוצת הביטויים הנרדפים נמחקה."
"An error was encountered while performing delete operation.","נתגלתה שגיאה בעת ביצוע פעולת המחיקה."
"We can't find a synonym group to delete.","לא ניתן למצוא קבוצת ביטויים נרדפים למחיקה."
"This synonyms group no longer exists.","קבוצת ביטויים נרדפים זו לא קיימת."
"Edit Synonym Group","עריכת קבוצת ביטויים נרדפים"
"Synonym Group","קבוצת ביטויים נרדפים"
"Failed to delete %1 synonym group(s).","מחיקת קבוצת/קבוצות ביטויים נרדפים %1 נכשלה."
"A total of %1 synonym group(s) have been deleted.","%1 קבוצות ביטויים נרדפים נמחקו."
"Marketing","שיווק"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","חיפוש ביטויים נרדפים אינו נתמך במנוע החיפוש %1. בביטויים הנרדפים שהוזנו לא ייעשה שימוש."
"This synonym group no longer exists.","קבוצת ביטויים נרדפים זו לא קיימת."
"You saved the synonym group.","קבוצת ביטויים נרדפים נשמרה."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","הערכים שהוזנו, (%1), שייכים לקבוצת ביטויים נרדפים אחרת, %2. יש לבחור בתיבת הסימון ""מיזוג ביטויים נרדפים"" כדי למזג את הערכים."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","הערכים שהוזנו, (%1), שייכים ל %2 קבוצות ביטויים נרדפים אחרות, %3 ו %4. יש לבחור בתיבת הסימון ""מיזוג ביטויים נרדפים"" כדי למזג את הערכים."
"You deleted the search.","החיפוש נמחק."
"We can't find a search term to delete.","לא נמצאו חיפושים למחיקה."
"This search no longer exists.","החיפוש לא קיים."
"Edit Search","עריכת חיפוש"
"Please select searches.","יש לבחור חיפושים."
"Total of %1 record(s) were deleted.","%1 רשומות נמחקו."
"Reports","דו""חות"
"Search Terms Report","דו""ח ביטויי חיפוש"
"You saved the search term.","ביטוי החיפוש נשמר."
