"Search Term","عبارت جستجو"
"Results","نتایج"
"Uses","استفاده شده"
"Search Terms","عبارات جستجو"
"Search Synonyms","جستجوی مترادف"
"New Synonym Group","گروه جدید مترادف"
"Back","بازگشت"
"Delete Synonym Group","حذف گروه مترادف"
"Are you sure you want to delete this synonym group?","آیا مطمئن هستید که می خواهید این گروه مترادف را حذف کنید?"
"Reset","بازنشانی"
"Save and Continue Edit","ذخيره و ادامه ويرايش"
"Save Synonym Group","ذخیره گروه مترادف"
"Search","جستجو"
"Add New Search Term","عبارت جدیدی برای جستجو وارد کنید"
"Save Search","ذخیره‌ی جستجو"
"Delete Search","حذف جستجو"
"Edit Search '%1'","جستجو %1 را ویرایش کنید"
"New Search","جستجوی جدید"
"Search Information","اطلاعات جستجو"
"General Information","اطلاعات عمومی"
"No","خیر"
"Yes","بله"
"Search Query","لیست جستجو"
"Store","فروشگاه"
"Number of results","تعداد نتایج"
"Number of results (For the last time placed)","تعداد نتایج (برای آخرین بار قرار داده شده)"
"For the last time placed.","برای آخرین بار قرار می گیرد."
"Number of Uses","تعداد استفاده‌ها"
"Redirect URL","ریدایرکت URL"
"ex. http://domain.com","مثال http://domain.com"
"Display in Suggested Terms","نمایش در عبارات پیشنهادی"
"The synonym group has been deleted.","گروه مترادف حذف شده است."
"An error was encountered while performing delete operation.","خطایی در حین انجام عملیات حذف مواجه شده."
"We can't find a synonym group to delete.","مابرای حذف نمیتوانیم یک گروه مترادف را پیدا کنیم."
"This synonyms group no longer exists.","این گروه مترادف دیگر وجود ندارد."
"Edit Synonym Group","ویرایش گروه مترادف"
"Synonym Group","گروه مترادف"
"Failed to delete %1 synonym group(s).","گروه (های) مترادف %1 حذف نشده است."
"A total of %1 synonym group(s) have been deleted.","در مجموع %1 گروه مترادف (ها) حذف شده است."
"Marketing","بازاریابی"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","مترادف ها جستجو توسط موتور جستجوی %1 پشتیبانی نمی شوند. هر مترادفی که وارد می کنید استفاده نمی شود."
"This synonym group no longer exists.","این گروه مترادف دیگر وجود دارد."
"You saved the synonym group.","گروه مترادف را ذخیره کردید."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","عبارت هایی که وارد کردید، (%1)، متعلق به 1 گروه همگام موجود،%2 است. علامت ""ترکیب مترادف های موجود"" را انتخاب کنید تا اصطلاحات را می توان ادغام کرد."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","عبارتی که وارد کردید (%1) متعلق به %2 گروه های همگام موجود، %3 و %4 است. علامت ""ترکیب مترادف های موجود"" را انتخاب کنید تا اصطلاحات را می توان ادغام کرد."
"You deleted the search.","جستجو را حذف کردید."
"We can't find a search term to delete.","ما نمی توانیم یک عبارت جستجو برای حذف پیدا کنیم."
"This search no longer exists.","این جستجو دیگر وجود ندارد."
"Edit Search","ویرایش جستجو"
"Please select searches.","لطفا جستجو را انتخاب کنید."
"Total of %1 record(s) were deleted.","مجموعا %1 رکورد حذف شد."
"Reports","گزارش‌ ها"
"Search Terms Report","گزارش واژه های جستجو"
"You saved the search term.","شما عبارت جستجو را ذخیره کردید."
"Something went wrong while saving the search query.","هنگام ذخیره کردن در جستجو، اشتباهی رخ داده."
"You already have an identical search term query.","شما در حال حاضر یک عبارت جستجوی یکسان را دارید."
"Your search query can't be longer than %1, so we shortened your query.","پرس و جو جستجو شما نمی تواند بیش از %1 باشد، بنابراین پرس و جو را کوتاه کردیم."
"Synonym group with id %1 cannot be deleted. %2","Synonym group with id %1 cannot be deleted. %2"
"Merge conflict with existing synonym group(s): %1","ادغام درگیری با گروه های مترادف (های) %1 موجود"
"All Websites","همه‌ی وب‌سایت‌ها"
"    All Store Views","    همه‌ی نماهای فروشگاه"
"All Store Views","همه‌ی نماهای فروشگاه"
"Delete","حذف"
"Are you sure you want to delete synonym group with id: %1?","آیا مطمئن هستید که می خواهید گروه مترادف را با شناسه: %1 حذف کنید?"
"View/Edit","نمایش/ویرایش"
"Search entire store here...","تمام فروشگاه را اینجا جستجو کنید..."
"There are no search terms available.","عبارات جستجویی موجود نیست."
"Search Engine","موتور جستجو"
"CSV","CSV"
"Excel XML","اکسل XML"
"ID","شناسه"
"Hits","بازدید"
"Are you sure?","شما اطمینان دارید؟"
"Suggested Terms","شرایط پیشنهادی"
"yes","yes"
"no","no"
"Action","اقدام"
"Edit","ويرايش"
"You can adjust the scope of this synonym group by selecting an option from the list.","شما می توانید دامنه این گروه مترادف را با انتخاب یک گزینه از لیست تنظیم کنید."
"Scope","محدوده"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","فهرست مترادف از جدا کننده علامت اصطلاحات وارد شده (جدا از کاما) به عنوان یک عبارت جستجوی ""OR"" برای جستجوی کل فروشگاه شما استفاده می شود. به عنوان مثال، اگر شما کفش، کفش و کاربر برای جستجوی ""کفش"" وارد کنید ، نتایج جستجو شامل هر محصول یا محتوای با اصطلاح ""کفش"" یا ""کفش"" است"
"Synonyms","مترادف"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","مترادفها به طور خودکار در گروههایی که دامنه یکسان دارند، ادغام می شود. اگر شما این جعبه را علامت بزنید و یا یک یا چند عبارتی مشابه را برای گروه های هم گرایی مشابه در همان دامنه اضافه کنید، تمام شرایط را به طور خودکار به یک گروه ادغام می کنید. اگر این چیزی نیست که بخواهید، علامت کادر را بردارید و یک خطا نمایش داده شود، اگر سعی کنید همان عبارات را اضافه کنید."
"Store View","نمای فروشگاه"
"Website","وب سایت"
"Are you sure you want to delete the selected synonym groups?","می خواهید گروه انتخاب شده مترادف حذف شود?"
"Delete items","حذف موارد"
"Synonym For","Synonym For"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Synonym","Synonym"
"Merge existing synonyms","Merge existing synonyms"
"The synonym group with the ""%1"" ID can't be deleted. %2","The synonym group with the ""%1"" ID can't be deleted. %2"
