"Search Term","Όρος Αναζήτησης"
"Results","Αποτελέσματα"
"Uses","Χρησιμοποιεί"
"Search Terms","Όροι Αναζήτησης"
"Search Synonyms","Αναζήτηση Συνώνυμων"
"New Synonym Group","Νέα Ομάδα Συνώνυμων"
"Back","Πίσω"
"Delete Synonym Group","Διαγραφή ομάδας συνώνυμου"
"Are you sure you want to delete this synonym group?","Είστε βέβαιοι ότι θέλετε να διαγράψετε αυτήν την ομάδα συνώνυμου;"
"Reset","Επαναφορά"
"Save and Continue Edit","Αποθήκευση και συνεχίση επεξεργασίας"
"Save Synonym Group","Αποθήκευση Ομάδας Συνώνυμων"
"Search","Αναζήτηση"
"Add New Search Term","Προσθέστε νέο όρο αναζήτησης"
"Save Search","Αποθήκευση Αναζήτησης"
"Delete Search","Διαγραφή Αναζήτησης"
"Edit Search '%1'","Επεξεργαστείτε την αναζήτηση '%1'"
"New Search","Νέα αναζήτηση"
"Search Information","Πληροφορίες Αναζήτησης"
"General Information","Γενικές Πληροφορίες"
"No","Όχι"
"Yes","Ναί"
"Search Query","Ερώτημα αναζήτησης"
"Store","Κατάστημα"
"Number of results","Αριθμός αποτελεσμάτων"
"Number of results (For the last time placed)","Αριθμός των αποτελεσμάτων (για τελευταία φορά τοποθετήθηκαν)"
"For the last time placed.","Για την τελευταία φορά που τοποθετούνται."
"Number of Uses","Αριθμός Χρήσεων"
"Redirect URL","Διεύθυνση URL ανακατεύθυνσης"
"ex. http://domain.com","π.χ. http://domain.com"
"Display in Suggested Terms","Οθόνη σε Προτεινόμενους Όρους"
"The synonym group has been deleted.","Η ομάδα συνώνυμου έχει διαγραφεί."
"An error was encountered while performing delete operation.","Παρουσιάστηκε σφάλμα κατά την εκτέλεση της λειτουργίας διαγραφής."
"We can't find a synonym group to delete.","Δεν βρέθηκε ομάδα συνώνυμου για διαγραφή."
"This synonyms group no longer exists.","Αυτή η ομάδα συνώνυμων δεν υπάρχει πλέον."
"Edit Synonym Group","Επεξεργασία ομάδας συνώνυμου"
"Synonym Group","Ομάδα Συνώνυμων"
"Failed to delete %1 synonym group(s).","Απέτυχε η διαγραφή %1 ομάδας(ων) συνώνυμου."
"A total of %1 synonym group(s) have been deleted.","Συνολικά %1 ομάδα(ες) συνώνυμου έχουν διαγραφεί."
"Marketing","Μάρκετινγκ"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Αναζήτηση συνωνύμων δεν υποστηρίζονται από τη μηχανή αναζήτησης %1. Οποιαδήποτε συνώνυμα που εισάγετε δεν θα χρησιμοποιηθεί."
"This synonym group no longer exists.","Αυτή η ομάδα συνώνυμου δεν υπάρχει πλέον."
"You saved the synonym group.","Αποθηκεύσατε την ομάδα συνώνυμου."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Οι όροι που εισαγάγατε, (%1), ανήκουν σε 1 υπάρχουσα ομάδα συνώνυμου, %2. Επιλέξτε το πλαίσιο ελέγχου «Συγχώνευση για υπάρχοντα συνώνυμα» έτσι ώστε οι όροι να μπορούν να συγχωνευθούν."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Οι όροι που εισαγάγατε, (%1), ανήκουν σε %2 υπάρχουσες ομάδες συνώνυμου, %3 και %4. Επιλέξτε το πλαίσιο ελέγχου «Συγχώνευση για υπάρχοντα συνώνυμα» έτσι ώστε οι όροι να μπορούν να συγχωνευθούν."
"You deleted the search.","Διαγράψατε την αναζήτηση."
"We can't find a search term to delete.","Δεν βρέθηκε κάποιος όρος αναζήτησης για διαγραφή."
"This search no longer exists.","Η αναζήτηση αυτή δεν υπάρχει πλέον."
"Edit Search","Επεξεργασία αναζήτησης"
"Please select searches.","Παρακαλώ επιλέξτε αναζητήσεις."
"Total of %1 record(s) were deleted.","Συνολικά %1 εγγραφη(ές) διαγράφηκαν."
"Reports","Αναφορές"
"Search Terms Report","Αναφορά όρων αναζήτησης"
"You saved the search term.","Αποθηκεύσατε τον όρο αναζήτησης."
"Something went wrong while saving the search query.","Κάτι πήγε στραβά κατά την αποθήκευση του ερωτήματος αναζήτησης."
"You already have an identical search term query.","Έχετε ήδη ένα πανομοιότυπο όρο αναζήτησης ερωτήματος."
