"Search Term","Keresőkifejezés"
"Results","Eredmények"
"Uses","Felhasználók"
"Search Terms","Keresőkifejezések"
"Search Synonyms","Szinonimák keresése"
"New Synonym Group","Új szinonima csoport"
"Back","Vissza"
"Delete Synonym Group","Szinonima csoport törlése"
"Are you sure you want to delete this synonym group?","Biztosan törli a szinonima csoportot?"
"Reset","Alaphelyzet"
"Save and Continue Edit","Mentés és szerkesztés folytatása"
"Save Synonym Group","Szinonima csoport mentése"
"Search","Keresés"
"Add New Search Term","Új keresési kifejezés hozzáadása"
"Save Search","Keresés mentése"
"Delete Search","Keresés törlése"
"Edit Search '%1'","'%1' keresés szerkesztése"
"New Search","Új keresés"
"Search Information","Keresési információ"
"General Information","Általános információ"
"No","Nem "
"Yes","Igen"
"Search Query","Keresési lekérdezés"
"Store","Bolt"
"Number of results","Találatok száma"
"Number of results (For the last time placed)","Number of results (For the last time placed)"
"For the last time placed.","For the last time placed."
"Number of Uses","Használatok száma"
"Redirect URL","URL átirányítás"
"ex. http://domain.com","pl. http://domain.com"
"Display in Suggested Terms","Megjelenítés a Javasolt kifejezések között"
"The synonym group has been deleted.","A szinonima csoport törölve lett."
"An error was encountered while performing delete operation.","Hiba történt egy törlési művelet közben."
"We can't find a synonym group to delete.","A törlendő szinonima csoport nem található."
"This synonyms group no longer exists.","Ez a szinonima csoport már nem létezik."
"Edit Synonym Group","Szinonima csoport szerkesztése"
"Synonym Group","Szinonima csoport"
"Failed to delete %1 synonym group(s).","Nem sikerült törölni a szinonima csoportokat (%1)."
"A total of %1 synonym group(s) have been deleted.","Összesen %1 szinonima csoport törölve lett."
"Marketing","Marketing"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","A keresési szinonimák nem támogatottak a %1 keresőmotor által. Egyetlen megadott szinonima sem lesz használva."
"This synonym group no longer exists.","Ez a szinonima csoport már nem létezik."
"You saved the synonym group.","Elmentette a szinonima csoportot."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged."
"You deleted the search.","Törölte a keresést."
"We can't find a search term to delete.","We can't find a search term to delete."
"This search no longer exists.","Ez a keresés többé nem létezik."
"Edit Search","Keresés szerkesztése"
"Please select searches.","Kérem válassza ki a kereséseket."
"Total of %1 record(s) were deleted.","Összesen %1 sor törölve."
"Reports","Jelentések"
"Search Terms Report","Keresési kifejezések jelentése"
"You saved the search term.","Elmentette a keresési kifejezést."
"Something went wrong while saving the search query.","Valami nem sikerült a kereső lekérdezés mentése közben."
"You already have an identical search term query.","Már van egy azonos kereső kifejezés lekérdezés."
"Your search query can't be longer than %1, so we shortened your query.","Your search query can't be longer than %1, so we shortened your query."
"Synonym group with id %1 cannot be deleted. %2","Synonym group with id %1 cannot be deleted. %2"
"Merge conflict with existing synonym group(s): %1","Merge conflict with existing synonym group(s): %1"
"All Websites","Minden honlap"
"    All Store Views","    Minden Boltnézet"
"All Store Views","Minden webáruház nézet"
"Delete","Törlés"
"Are you sure you want to delete synonym group with id: %1?","Are you sure you want to delete synonym group with id: %1?"
"View/Edit","Megtekintés/Szerkesztés"
"Search entire store here...","Keresés..."
"There are no search terms available.","Nincs elérhető keresési kifejezés."
"Search Engine","Keresőmotor"
"CSV","CSV"
"Excel XML","Excel XML"
"ID","Azonosító"
"Hits","Találatok"
"Are you sure?","Biztos benne?"
"Suggested Terms","Javasolt kifejezések"
"yes","yes"
"no","no"
"Action","Akció"
"Edit","Szerkesztés"
"You can adjust the scope of this synonym group by selecting an option from the list.","You can adjust the scope of this synonym group by selecting an option from the list."
"Scope","Hatókör"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”"
"Synonyms","Szinonimák"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms."
"Store View","Bolt nézet"
"Website","Honlap"
"Are you sure you want to delete the selected synonym groups?","Biztosan törli a kijelölt szinonima csoportokat?"
"Delete items","Elemek törlése"
"Synonym For","Synonym For"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Synonym","Synonym"
"Merge existing synonyms","Merge existing synonyms"
"The synonym group with the ""%1"" ID can't be deleted. %2","The synonym group with the ""%1"" ID can't be deleted. %2"
