"Search Term","Sökord"
"Results","Resultat"
"Uses","Användningar"
"Search Terms","Söktermer"
"Search Synonyms","Synonymer"
"New Synonym Group","Ny synonymgrupp"
"Back","Tillbaka"
"Delete Synonym Group","Radera synonymgrupp"
"Are you sure you want to delete this synonym group?","Är du säker på att du vill radera den här synonoymgruppen?"
"Reset","Återställ"
"Save and Continue Edit","Spara och Fortsätt Redigera"
"Save Synonym Group","Spara synonymgrupp"
"Search","Sök"
"Add New Search Term","Lägg till nya sökterm"
"Save Search","Spara sökning"
"Delete Search","Radera sökning"
"Edit Search '%1'","Redigera sökningen '%1'"
"New Search","Ny sökning"
"Search Information","Sökinformation"
"General Information","Allmän Information"
"No","Nej"
"Yes","Ja"
"Search Query","Sökterm"
"Store","Butik"
"Number of results","Antal träffar"
"Number of results (For the last time placed)","Antal resultat (För senaste placeringen)"
"For the last time placed.","För sista gången placerades."
"Number of Uses","Antal användningar"
"Redirect URL","Omdirigerings-URL"
"ex. http://domain.com","ex. http://domain.com"
"Display in Suggested Terms","Display in Suggested Terms"
"The synonym group has been deleted.","The synonym group has been deleted."
"An error was encountered while performing delete operation.","An error was encountered while performing delete operation."
"We can't find a synonym group to delete.","We can't find a synonym group to delete."
"This synonyms group no longer exists.","This synonyms group no longer exists."
"Edit Synonym Group","Redigera synonymgrupp"
"Synonym Group","Synonym Group"
"Failed to delete %1 synonym group(s).","Failed to delete %1 synonym group(s)."
"A total of %1 synonym group(s) have been deleted.","A total of %1 synonym group(s) have been deleted."
"Marketing","Marknadsföring"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used."
"This synonym group no longer exists.","This synonym group no longer exists."
"You saved the synonym group.","You saved the synonym group."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged."
"You deleted the search.","You deleted the search."
"We can't find a search term to delete.","We can't find a search term to delete."
"This search no longer exists.","Denna sökning finns inte längre."
"Edit Search","Edit Search"
"Please select searches.","Please select searches."
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted."
"Reports","Rapporter"
"Search Terms Report","Search Terms Report"
"You saved the search term.","You saved the search term."
"Something went wrong while saving the search query.","Something went wrong while saving the search query."
"You already have an identical search term query.","You already have an identical search term query."
"Your search query can't be longer than %1, so we shortened your query.","Your search query can't be longer than %1, so we shortened your query."
"Synonym group with id %1 cannot be deleted. %2","Synonym group with id %1 cannot be deleted. %2"
"Merge conflict with existing synonym group(s): %1","Merge conflict with existing synonym group(s): %1"
"All Websites","Alla webbplatser"
"    All Store Views","    All Store Views"
"All Store Views","Alla butiksvyer"
"Delete","Ta bort"
"Are you sure you want to delete synonym group with id: %1?","Are you sure you want to delete synonym group with id: %1?"
"View/Edit","Visa/redigera"
"Search entire store here...","Sök i hela butiken här..."
"There are no search terms available.","There are no search terms available."
"Search Engine","Sökmotor"
"CSV","CSV"
"Excel XML","Excel XML"
"ID","ID"
"Hits","Hits"
"Are you sure?","Är du säker?"
"Suggested Terms","Förslag på sökningar"
"yes","yes"
"no","no"
"Action","Åtgärd"
"Edit","Redigera"
"You can adjust the scope of this synonym group by selecting an option from the list.","You can adjust the scope of this synonym group by selecting an option from the list."
"Scope","Omfattning"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”"
"Synonyms","Synonymer"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms."
"Store View","Butiksvy"
"Website","Webbplats"
"Are you sure you want to delete the selected synonym groups?","Are you sure you want to delete the selected synonym groups?"
"Delete items","Ta bort objekt"
"Synonym For","Synonym For"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Synonym","Synonym"
"Merge existing synonyms","Merge existing synonyms"
"The synonym group with the ""%1"" ID can't be deleted. %2","The synonym group with the ""%1"" ID can't be deleted. %2"
