"Search Term","Hakusana"
"Results","Tulokset"
"Uses","Käyttökerrat"
"Search Terms","Hakusanat"
"Search Synonyms","Hakutulosten synonyymit"
"New Synonym Group","Uusi synonyymiryhmä"
"Back","Takaisin"
"Delete Synonym Group","Poista synonyymiryhmä"
"Are you sure you want to delete this synonym group?","Oletko varma, että haluat poistaa tämän synonyymiryhmän?"
"Reset","Tyhjennä"
"Save and Continue Edit","Tallenna ja jatka muokkaamista"
"Save Synonym Group","Tallenna synonyymiryhmä"
"Search","Haku"
"Add New Search Term","Lisää uusi hakutermi"
"Save Search","Tallenna haku"
"Delete Search","Poista haku"
"Edit Search '%1'","Muokkaa hakua '%1'"
"New Search","Uusi haku"
"Search Information","Tietoja hausta"
"General Information","Yleistä"
"No","Ei"
"Yes","Kyllä"
"Search Query","Hakulauseke"
"Store","Kauppa"
"Number of results","Hakutulosten määrä"
"Number of results (For the last time placed)","Viimekertaisen haun tulosten määrä"
"For the last time placed.","Viimekertainen."
"Number of Uses","Käyttökertojen määrä"
"Redirect URL","Uudelleenohjausosoite"
"ex. http://domain.com","esim. http://domain.com"
"Display in Suggested Terms","Display in Suggested Terms"
"The synonym group has been deleted.","Synonyymiryhmä on poistettu."
"An error was encountered while performing delete operation.","Poisto-operaation aikana tapahtui virhe."
"We can't find a synonym group to delete.","Poistettavaa synonyymiryhmää ei löydy."
"This synonyms group no longer exists.","Synonyymiryhmää ei enää ole olemassa."
"Edit Synonym Group","Muokkaa synonyymiryhmää"
"Synonym Group","Synonyymiryhmä"
"Failed to delete %1 synonym group(s).","%1 synonyymiryhmän poisto epäonnistui."
"A total of %1 synonym group(s) have been deleted.","Yhteensä %1 synonyymiryhmää poistettiin."
"Marketing","Markkinointi"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","%1 hakukone ei tue hakusanojen synonyymeja. Lisäämiäsi synonyymeja ei tulla käyttämään."
"This synonym group no longer exists.","Synonyymiryhmää ei enää ole olemassa."
"You saved the synonym group.","Synonyymiryhmä on tallennettu."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Syöttämäsi termit, (%1) kuuluvat olemassaolevaan synonyymiryhmään %2. Valitse ""Yhdistä olemassaolevat synonyymit"" yhdistääksesi termit."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Syöttämäsi termit (%1) kuuluvat %2 olemassaoleviin synonyymiryhmiin %3 ja %4. Valitse ""Yhdistä olemassaolevat synonyymit"" yhdistääksesi termit."
"You deleted the search.","Poistit haun."
"We can't find a search term to delete.","We can't find a search term to delete."
"This search no longer exists.","Tätä hakua ei enää ole."
"Edit Search","Muokkaa hakua"
"Please select searches.","Valitse haut."
"Total of %1 record(s) were deleted.","Yhteensä %1 tietuetta päivitettiin."
"Reports","Raportit"
"Search Terms Report","Hakusanaraportti"
"You saved the search term.","Hakutermi on tallennettu."
"Something went wrong while saving the search query.","Hakukyselyn tallentaminen ei onnistunut."
"You already have an identical search term query.","Identtinen hakukysely on jo olemassa."
"Your search query can't be longer than %1, so we shortened your query.","Your search query can't be longer than %1, so we shortened your query."
"Synonym group with id %1 cannot be deleted. %2","Synonym group with id %1 cannot be deleted. %2"
"Merge conflict with existing synonym group(s): %1","Olemassaolevien synonyymiryhmien yhdistämisessä tapahtui virhe %1"
"All Websites","Kaikki sivustot"
"    All Store Views","    Kaikki kauppanäkymät"
"All Store Views","Kaikki kauppanäkymät"
"Delete","Poista"
"Are you sure you want to delete synonym group with id: %1?","Haluatko varmasti poistaa synonyymiryhmän, jonka id on %1?"
"View/Edit","Näytä/Muokkaa"
"Search entire store here...","Hae koko sivustosta..."
"There are no search terms available.","Hakutermejä ei ole saatavilla."
"Search Engine","Hakukone"
"CSV","CSV"
"Excel XML","Excel XML"
"ID","Tunnus"
"Hits","Käynnit"
"Are you sure?","Oletko varma?"
"Suggested Terms","Suositellut termit"
"yes","yes"
"no","no"
"Action","Toiminto"
"Edit","Muokkaa"
"You can adjust the scope of this synonym group by selecting an option from the list.","Voit muokata synonyymiryhmän kohdealuetta valitsemalla vaihtoehdon listasta."
"Scope","Kohde"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Pilkuilla erotettu luettelo synonyymeista. Syötettyjä ehtoja (pilkuilla eroteltu) käytetään ""OR"" hakulausekkeena koko kaupasta. Jos esimerkiksi kirjoitat ""kengät,jalkineet"" ja käyttäjä etsii ""kengät"", hakutuloksiin sisällytetään tuotteet tai sisällöt termillä ""kengät"" tai ""jalkineet."""
"Synonyms","Synonyymit"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Yhdistää automaattisesti synonyymit ryhmiin jotka jakavat saman alueen. Jos valitset tämän valintaruudun ja lisäät yhden tai useamman termin eri synonyymiryhmiin samassa alueessa, yhdistetään automaattisesti kaikki ehdot yhteen ryhmään. Jos tämä ei ole mitä haluat, älä valitse tätä valintaruutua ja saat virheen, jos yrität lisätä samoja termejä."
"Store View","Kauppanäkymä"
"Website","Sivusto"
"Are you sure you want to delete the selected synonym groups?","Haluatko varmasti poistaa valitut synonyymiryhmät?"
"Delete items","Poista kohteet"
"Synonym For","Synonym For"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Synonym","Synonym"
"Merge existing synonyms","Merge existing synonyms"
"The synonym group with the ""%1"" ID can't be deleted. %2","The synonym group with the ""%1"" ID can't be deleted. %2"
