"Search Term","Suchbegriff"
"Results","Ergebnisse"
"Uses","Verwendungen"
"Search Terms","Suchbegriffe"
"Search Synonyms","Synonyme suchen"
"New Synonym Group","Neue Synonymgruppe"
"Back","Zurück"
"Delete Synonym Group","Synonymgruppe löschen"
"Are you sure you want to delete this synonym group?","Sind Sie sicher, dass Sie diese Synonymgruppe löschen möchten?"
"Reset","Zurücksetzen"
"Save and Continue Edit","Speichern und weiter bearbeiten"
"Save Synonym Group","Synonymgruppe speichern"
"Search","Suche"
"Add New Search Term","Neuen Suchbegriff hinzufügen"
"Save Search","Suche speichern"
"Delete Search","Suche löschen"
"Edit Search '%1'","Suche '%1' bearbeiten"
"New Search","Neue Suche"
"Search Information","Suchinformationen"
"General Information","Allgemeine Information"
"No","Nein"
"Yes","Ja"
"Search Query","Weiterleitungs-URL"
"Store","Shop"
"Number of results","Anzahl der Ergebnisse"
"Number of results (For the last time placed)","Anzahl der Ergebnisse (bei der letzten Abfrage)"
"For the last time placed.","Bei der letzten Abfrage."
"Number of Uses","Anzahl der Verwendungen"
"Redirect URL","Umleitungs-URL"
"ex. http://domain.com","z. B. http://domain.com"
"Display in Suggested Terms","Anzeigen in Vorgeschlagene Begriffe"
"The synonym group has been deleted.","Die Synonymgruppe wurde gelöscht."
"An error was encountered while performing delete operation.","Ein Fehler trat auf beim Ausführen der Löschoperation auf."
"We can't find a synonym group to delete.","Es konnte keine Synonymgruppe zum Löschen gefunden werden."
"This synonyms group no longer exists.","Diese Synonymgruppe existiert nicht mehr."
"Edit Synonym Group","Synonymgruppe bearbeiten"
"Synonym Group","Synonymgruppe"
"Failed to delete %1 synonym group(s).","Fehler beim Löschen von %1 Synonymgruppe(n)."
"A total of %1 synonym group(s) have been deleted.","Insgesamt wurden %1 Synonymgruppe(n) gelöscht."
"Marketing","Marketing"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Suchsynonyme werden von der %1 Suchmaschine nicht unterstützt. Jedes Synonym, das Sie eingeben, wird nicht benutzt."
"This synonym group no longer exists.","Diese Synonymgruppe existiert nicht mehr."
"You saved the synonym group.","Sie haben die Synonymgruppe gespeichert."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Die von Ihnen eingegebenen Begriffe, (%1), gehören zu 1 bestehenden Synonymgruppe, %2. Bitte wählen Sie das ""Bestehende Synonyme zusammenfügen"" Auswahlfeld, sodass die Begriffe zusammengefügt werden können."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Die von Ihnen eingegebenen Begriffe, (%1), gehören zu %2 bestehenden Synonymgruppen, %3 and %4. Bitte wählen Sie das ""Bestehende Synonyme zusammenfügen"" Auswahlfeld, sodass die Begriffe zusammengefügt werden können.
"
"You deleted the search.","Sie haben die Suche gelöscht."
"We can't find a search term to delete.","Wir können keinen Suchbegriff zum Löschen finden."
"This search no longer exists.","Diese Suche existiert nicht mehr."
"Edit Search","Suche bearbeiten"
"Please select searches.","Wählen Sie bitte die Suchanfragen aus."
"Total of %1 record(s) were deleted.","Insgesamt wurden %1 Einträge gelöscht."
"Reports","Berichte"
"Search Terms Report","Bericht der Suchbegriffe"
"You saved the search term.","Sie haben den Suchbegriff gespeichert."
"Something went wrong while saving the search query.","Beim Speichern der Suchanfrage ging etwas schief."
"You already have an identical search term query.","Sie haben bereits eine identische Suchbegriffsanfrage."
"Your search query can't be longer than %1, so we shortened your query.","Ihr Suchbegriff darf nicht länger als %1 sein, deshalb habenw wir Ihre Anfrage verkürzt."
"Synonym group with id %1 cannot be deleted. %2","Synonymgruppe mit der ID %1 kann nicht gelöscht werden. %2"
"Merge conflict with existing synonym group(s): %1","Konflikt beim Zusammenführen mit vorhandener/n Synonymgruppe(n): %1"
"All Websites","Alle Webseiten"
"    All Store Views","    Alle Store Views"
"All Store Views","Alle Store Views"
"Delete","Löschen"
"Are you sure you want to delete synonym group with id: %1?","Sind Sie sicher, dass Sie die Synonymgruppe mit der folgenden ID löschen möchten: %1?"
"View/Edit","Anzeigen/bearbeiten"
"Search entire store here...","Gesamten Shop hier durchsuchen..."
"There are no search terms available.","Es sind keine Suchbegriffe verfügbar."
"Search Engine","Suchmaschine"
"CSV","CSV"
"Excel XML","Excel XML"
"ID","Id"
"Hits","Treffer"
"Are you sure?","Sind Sie sicher?"
"Suggested Terms","Vorgeschlagene Begriffe"
"yes","ja"
"no","nein"
"Action","Aktion"
"Edit","Bearbeiten"
"You can adjust the scope of this synonym group by selecting an option from the list.","Sie können den Geltungsbereich dieser Synonymgruppe anpassen, indem Sie eine Option aus der Liste auswählen."
"Scope","Geltungsbereich"
