"Search Term","Cătare termen"
"Results","Rezultate"
"Uses","Utilizatori"
"Search Terms","Termeni de căutare"
"Search Synonyms","Căutare sinonime"
"New Synonym Group","Grup nou de sinonime"
"Back","Înapoi"
"Delete Synonym Group","Șterge grup de sinonime"
"Are you sure you want to delete this synonym group?","Sunteți sigur că doriți să ștergeți acest grup sinonim?"
"Reset","Resetați"
"Save and Continue Edit","Salvați și continuați editarea"
"Save Synonym Group","Salvează Grupul de Sinonim"
"Search","Căutare"
"Add New Search Term","Adăugare termen de căutare nou"
"Save Search","Salvare căutare"
"Delete Search","Șterge Căutare"
"Edit Search '%1'","Editare căutare '%1'"
"New Search","Căutare nouă"
"Search Information","Informații căutare"
"General Information","Informații generale"
"No","Nu"
"Yes","Da"
"Search Query","Interogare de căutare"
"Store","Magazin"
"Number of results","Număr de rezultate"
"Number of results (For the last time placed)","Număr de rezultate (Pentru ultima dată plasată)"
"For the last time placed.","Pentru ultima dată plasată."
"Number of Uses","Număr de utilizări"
"Redirect URL","Redirecționează URL"
"ex. http://domain.com","ex. http://domain.com"
"Display in Suggested Terms","Afișează în Termeni Recomandați"
"The synonym group has been deleted.","Grupul de sinonim a fost șters."
"An error was encountered while performing delete operation.","A apărut o eroare la efectuarea operațiunii de ștergere."
"We can't find a synonym group to delete.","Nu găsim un grup sinonim pentru ștergere."
"This synonyms group no longer exists.","Acest grup de sinonime nu mai există."
"Edit Synonym Group","Editare grup de sinonime"
"Synonym Group","Grup de sinonime"
"Failed to delete %1 synonym group(s).","Eroare la ștergerea grupului(grupurilor) %1 sinonimă."
"A total of %1 synonym group(s) have been deleted.","Au fost șterse în total %1 grup(uri) de sinonime."
"Marketing","Marketing"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Sinonimele de căutare nu sunt suportate de motorul de căutare %1. Orice sinonime introduse nu vor fi folosite."
"This synonym group no longer exists.","Acest grup sinonim nu mai există."
"You saved the synonym group.","Ai salvat grupul de sinonime."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Termenii introduși, (%1), aparțin unui grup de sinonim existent, %2. Selectați caseta de selectare ""Îmbinare sinonime existente"" astfel încât termenii să poată fi fuzionați."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Termenii pe care i-ați introdus, (%1), fac parte din %2 grupuri de sinonime existente, %3 și %4. Bifați caseta de selectare „Combinați sinonimele existente” pentru ca termenii să poată fi combinați."
