"Search Term","Meklēšanas termins"
"Results","Rezultāti"
"Uses","Lieto"
"Search Terms","Meklētie atslēgvārdi"
"Search Synonyms","Search Synonyms"
"New Synonym Group","New Synonym Group"
"Back","Atpakaļ"
"Delete Synonym Group","Delete Synonym Group"
"Are you sure you want to delete this synonym group?","Are you sure you want to delete this synonym group?"
"Reset","Notīrīt"
"Save and Continue Edit","Saglabāt un turpināt labot"
"Save Synonym Group","Save Synonym Group"
"Search","Meklēt"
"Add New Search Term","Pievienot jaunu meklēšanas terminu"
"Save Search","Saglabāt meklēšanu"
"Delete Search","Dzēst meklēšanu"
"Edit Search '%1'","Edit Search '%1'"
"New Search","Jauna meklēšana"
"Search Information","Meklēšanas informācija"
"General Information","Vispārīga informācija"
"No","Nē"
"Yes","Jā"
"Search Query","Meklēšanas pieprasījums"
"Store","Veikals"
"Number of results","Rezultātu skaits"
"Number of results (For the last time placed)","Rezultātu skaits (pēdējo reizi ievietojot)"
"For the last time placed.","Pēdējo reizi ievietots."
"Number of Uses","Lietojumu skaits"
"Redirect URL","Novirzīšanas URL"
"ex. http://domain.com","ex. http://domain.com"
"Display in Suggested Terms","Display in Suggested Terms"
"The synonym group has been deleted.","The synonym group has been deleted."
"An error was encountered while performing delete operation.","An error was encountered while performing delete operation."
"We can't find a synonym group to delete.","We can't find a synonym group to delete."
"This synonyms group no longer exists.","This synonyms group no longer exists."
"Edit Synonym Group","Edit Synonym Group"
"Synonym Group","Synonym Group"
"Failed to delete %1 synonym group(s).","Failed to delete %1 synonym group(s)."
"A total of %1 synonym group(s) have been deleted.","A total of %1 synonym group(s) have been deleted."
"Marketing","Mārketings"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used."
"This synonym group no longer exists.","This synonym group no longer exists."
"You saved the synonym group.","You saved the synonym group."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged."
"You deleted the search.","You deleted the search."
"We can't find a search term to delete.","We can't find a search term to delete."
"This search no longer exists.","Šī meklēšana vairs nepastāv."
"Edit Search","Edit Search"
"Please select searches.","Please select searches."
"Total of %1 record(s) were deleted.","Total of %1 record(s) were deleted."
"Reports","Atskaites"
"Search Terms Report","Meklēto atslēgvārdu pārskats"
"You saved the search term.","You saved the search term."
"Something went wrong while saving the search query.","Something went wrong while saving the search query."
"You already have an identical search term query.","You already have an identical search term query."
"Your search query can't be longer than %1, so we shortened your query.","Your search query can't be longer than %1, so we shortened your query."
"Synonym group with id %1 cannot be deleted. %2","Synonym group with id %1 cannot be deleted. %2"
"Merge conflict with existing synonym group(s): %1","Merge conflict with existing synonym group(s): %1"
"All Websites","Visas lapas"
"    All Store Views","    All Store Views"
"All Store Views","Visi veikala skati"
"Delete","Dzēst"
"Are you sure you want to delete synonym group with id: %1?","Are you sure you want to delete synonym group with id: %1?"
"View/Edit","Skatīt/Labot"
"Search entire store here...","Meklēt visā veikalā..."
"There are no search terms available.","Nav pieejami meklēšanas termini."
"Search Engine","Search Engine"
"CSV","CSV"
"Excel XML","Excel XML"
"ID","ID"
"Hits","Klikšķi"
"Are you sure?","Vai esat pārliecināts?"
"Suggested Terms","Suggested Terms"
"yes","yes"
"no","no"
"Action","Darbība"
"Edit","Labot"
"You can adjust the scope of this synonym group by selecting an option from the list.","You can adjust the scope of this synonym group by selecting an option from the list."
"Scope","Apgabals"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”"
"Synonyms","Synonyms"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms."
"Store View","Veikala skats"
"Website","Mājas lapa"
"Are you sure you want to delete the selected synonym groups?","Are you sure you want to delete the selected synonym groups?"
"Delete items","Dzēst produktus"
"Synonym For","Synonym For"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Synonym","Synonym"
"Merge existing synonyms","Merge existing synonyms"
"The synonym group with the ""%1"" ID can't be deleted. %2","The synonym group with the ""%1"" ID can't be deleted. %2"
