"Search Term","Termine di ricerca"
"Results","Risultati"
"Uses","Utilizzi"
"Search Terms","Termini di ricerca"
"Search Synonyms","Cerca sinonimi"
"New Synonym Group","Nuovo gruppo sinonimi"
"Back","Indietro"
"Delete Synonym Group","Elimina gruppo sinonimi"
"Are you sure you want to delete this synonym group?","Sei sicuro di voler eliminare questo gruppo di sinonimi?"
"Reset","Reimposta"
"Save and Continue Edit","Salva e continua modifica"
"Save Synonym Group","Salva il gruppo di sinonimi"
"Search","Cerca"
"Add New Search Term","Aggiungi nuovo termine di ricerca"
"Save Search","Salva ricerca"
"Delete Search","Elimina ricerca"
"Edit Search '%1'","Modifica ricerca '%1'"
"New Search","Nuova ricerca"
"Search Information","Ricerca informazioni"
"General Information","Informazioni Generali"
"No","No"
"Yes","Sì"
"Search Query","Query di ricerca"
"Store","Negozio"
"Number of results","Numero di risultati"
"Number of results (For the last time placed)","Numero di risultati (per ultimo inserito)"
"For the last time placed.","Per l'ultimo eseguito."
"Number of Uses","Numero di utilizzi"
"Redirect URL","URL di Reindirizzamento"
"ex. http://domain.com","es. http://dominio.com"
"Display in Suggested Terms","Mostra nei termini suggeriti"
"The synonym group has been deleted.","Il gruppo di sinonimi è stato eliminato."
"An error was encountered while performing delete operation.","Si è verificato un errore durante l'eliminazione."
"We can't find a synonym group to delete.","Non è possibile trovare un gruppo di sinonimi da eliminare."
"This synonyms group no longer exists.","Questo gruppo di sinonimi non esiste più."
"Edit Synonym Group","Modifica gruppo sinonimi"
"Synonym Group","Gruppo di sinonimi"
"Failed to delete %1 synonym group(s).","Impossibile eliminare %1 gruppo sinonimo(i)."
"A total of %1 synonym group(s) have been deleted.","Il totale di %1 sinonimo gruppo(i) cancellato(i)."
"Marketing","Marketing"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Cerca sinonimi non sono supportati dal motore di ricerca %1. Qualsiasi sinonimo inserirai non sarà usato."
"This synonym group no longer exists.","Questo gruppo sinonimo non esiste più."
"You saved the synonym group.","Hai salvato il gruppo sinonimo."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","I termini inseriti, (%1), appartengono a un gruppo di sinonimi esistenti, %2. Selezionare l'opzione ""Unisci i sinonimi esistenti"" in modo che i termini possono essere uniti."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","I termini inseriti, (%1), appartengono a %2 gruppi di sinonimi esistenti, %3 e %4. Selezionare l'opzione ""Unisci i sinonimi esistenti"" per unire i termini."
"You deleted the search.","Hai eliminato la ricerca."
"We can't find a search term to delete.","Non è possibile trovare un termine di ricerca da eliminare."
"This search no longer exists.","Questa ricerca non esiste più."
"Edit Search","Modifica ricerca"
"Please select searches.","Seleziona ricerche."
"Total of %1 record(s) were deleted.","Un totale di %1 record sono stati eliminati."
"Reports","Reports"
"Search Terms Report","Report termini di ricerca"
"You saved the search term.","Hai salvato il termine di ricerca."
"Something went wrong while saving the search query.","Qualcosa è andato storto durante il salvataggio della query di ricerca."
"You already have an identical search term query.","Hai già una query di ricerca identica."
"Your search query can't be longer than %1, so we shortened your query.","La tua query di ricerca non può essere più lunga di %1, così è stata accorciata la query."
"Synonym group with id %1 cannot be deleted. %2","Synonym group with id %1 cannot be deleted. %2"
"Merge conflict with existing synonym group(s): %1","Conflitto di unione con esistente sinonimo groppo(i): %1"
"All Websites","Tutti i Website"
"    All Store Views","    Tutte le viste negozio"
"All Store Views","Tutte le Viste Negozio"
"Delete","Elimina"
"Are you sure you want to delete synonym group with id: %1?","Sei sicuro di voler cancellare sinonimi groppo con id: %1?"
"View/Edit","Visualizza/modifica"
"Search entire store here...","Cerca nell'intero negozio..."
"There are no search terms available.","Non ci sono termini di ricerca disponibili."
"Search Engine","Motore di ricerca"
"CSV","CSV"
"Excel XML","Excel XML"
"ID","ID"
"Hits","Utilizzi"
"Are you sure?","Sei sicuro?"
"Suggested Terms","Termini suggeriti"
"yes","yes"
"no","no"
"Action","Azione"
"Edit","Modifica"
"You can adjust the scope of this synonym group by selecting an option from the list.","È possibile regolare lo scopo di questo gruppo sinonimo selezionando un'opzione dall'elenco."
"Scope","Ambito di applicazione"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Elenco dei sinonimi separato da virgole. I termini inseriti (separati da virgole) saranno utilizzati come ""OR"" nella query di ricerca per cercare nell'intero negozio. Ad esempio, se si immette ""Scarpe, calzature"", e l'utente vuole ricercare ""scarpe"", i risultati della ricerca includerà qualsiasi prodotto o contenuti con termine ""scarpe"" o ""calzature"""
"Synonyms","Sinonimi"
