"Search Term","Arama terimi"
"Results","Sonuçlar"
"Uses","Kullanım"
"Search Terms","Arama terimleri"
"Search Synonyms","Eş anlamlıları ara"
"New Synonym Group","Yeni eş anlamlı grubu"
"Back","Geri"
"Delete Synonym Group","Eş anlamlı grubu sil"
"Are you sure you want to delete this synonym group?","Bu eş anlamlı grubu silmek istediğinizden emin misiniz?"
"Reset","Sıfırla"
"Save and Continue Edit","Kaydet ve Devam Et"
"Save Synonym Group","Eşanlamlı Grubu Kaydet"
"Search","Arama"
"Add New Search Term","Yeni Arama Kelimesi Ekle"
"Save Search","Aramayı Kaydet"
"Delete Search","Aramayı Sil"
"Edit Search '%1'","Aramayı Düzenle '%1'"
"New Search","Yeni Arama"
"Search Information","Arama Bilgisi"
"General Information","Genel Bilgi"
"No","Hayır"
"Yes","Evet"
"Search Query","Aranan Sorgu"
"Store","Mağaza"
"Number of results","Sonuç numarası"
"Number of results (For the last time placed)","Sonuç sayısı (Son eklendiğinde)"
"For the last time placed.","Son eklendiğinde."
"Number of Uses","Kullanım Sayısı"
"Redirect URL","Yönlendirilen URL"
"ex. http://domain.com","ör. http://domain.com"
"Display in Suggested Terms","Tavsiye edilen kelimelerde göster"
"The synonym group has been deleted.","Eş anlamlı grup silindi."
"An error was encountered while performing delete operation.","Silme işlemi gerçekleştirilirken bir hata ile karşılaşıldı."
"We can't find a synonym group to delete.","Silmek için bir sayfa bulamadık."
"This synonyms group no longer exists.","Bu eş anlamlı grup artık yok."
"Edit Synonym Group","Eş Anlamlı Grubu Düzenle"
"Synonym Group","Eş grubu"
"Failed to delete %1 synonym group(s).","%1 eşanlamlı grup (lar) silinemedi."
"A total of %1 synonym group(s) have been deleted.","Toplam%1 eşanlamlı grup (lar) silindi."
"Marketing","Pazarlama"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Arama eş anlamlıları%1 arama motoru tarafından desteklenmiyor. Girdiğiniz tüm eş anlamlı kelimeler kullanılmayacak."
"This synonym group no longer exists.","Bu eş anlamlı grup artık mevcut değil."
"You saved the synonym group.","Müşteri grubunu kaydettiniz."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Girdiğiniz terimler (%1), 1 mevcut eş anlamlı grubuna %2 ait. Şartların birleştirilebilmesi için ""Mevcut eş anlamlıları birleştir"" onay kutusunu seçin."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Girdiğiniz terimler (%1),%2 mevcut eşanlamlı gruplara,%3 ve%4'e ait. Şartların birleştirilebilmesi için ""Mevcut eş anlamlıları birleştir"" onay kutusunu seçin."
"You deleted the search.","Aramayı sildiniz."
"We can't find a search term to delete.","Silmek için bir öznitelik bulunamıyor."
"This search no longer exists.","Arama kaydına ulaşılamıyor."
"Edit Search","Aramayı Düzenle"
"Please select searches.","Lütfen adres seçiniz."
"Total of %1 record(s) were deleted.","Toplam %1 kayıt(lar) silindi."
"Reports","Raporlar"
"Search Terms Report","Arama terimleri raporu"
"You saved the search term.","Arama terimini kaydettiniz."
"Something went wrong while saving the search query.","Kategoriyi kaydetme işlemi sırasında bir şeyler ters gitti."
"You already have an identical search term query.","Bir özdeş arama terimi sorguya zaten sahip."
"Your search query can't be longer than %1, so we shortened your query.","Sorgunuzu kısaltılmış böylece arama sorgunuzu %1 uzun olamaz."
"Synonym group with id %1 cannot be deleted. %2","Synonym group with id %1 cannot be deleted. %2"
"Merge conflict with existing synonym group(s): %1","Mevcut eşanlam grup(larıyla) çakışmayı birleştirme:%1"
"All Websites","Tüm Web siteleri"
"    All Store Views","    Tüm Mağaza Görünümleri"
"All Store Views","Tüm Mağaza Görünümleri"
"Delete","Sil"
"Are you sure you want to delete synonym group with id: %1?","Kimlik grubunu kimliği olan%1 ile silmek istediğinizden emin misiniz?"
"View/Edit","Gör/Düzenle"
"Search entire store here...","Aranan kelimeyi buraya yazınız..."
"There are no search terms available.","Uygun arama koşulları bulunamadı."
"Search Engine","Arama motorları"
"CSV","Csv"
"Excel XML","Excel XML"
"ID","No"
"Hits","Görülme Sayısı"
"Are you sure?","Emin misiniz?"
"Suggested Terms","Önerilen Terimler"
"yes","yes"
"no","no"
"Action","Eylem"
"Edit","Düzenle"
"You can adjust the scope of this synonym group by selecting an option from the list.","Listeden bir seçenek belirleyerek bu eşanlamlı grubun kapsamını ayarlayabilirsiniz."
"Scope","Kapsam"
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Eşanlamlı sözcükleri virgülle ayrılmış listesi. Şartlar girilen (virgülle ayrılmış) ""Veya"" arama sorgusu tüm mağaza arama için kullanılacak. Örneğin, ""ayakkabı, Ayakkabı"" girin ve kullanıcı edildi ""ayakkabılar için"" aramak için arama sonuçları herhangi bir ürün veya terim ""ayakkabılar"" veya ""ayakkabı."" ile içerik içerir"
"Synonyms","Eş anlamlılar"
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.","Eş anlamlıları, aynı kapsamı paylaşan gruplar halinde otomatik olarak birleştirir. Bu kutuyu işaretlerseniz ve aynı kapsamdaki farklı sinonim gruplarına aynı terimlerin birini veya daha fazlasını eklerseniz, tüm terimleri bir gruba otomatik olarak birleştirir. İstediğiniz gibi değilse kutunun işaretini kaldırın ve aynı terimleri eklemeye çalışırsanız bir hata görüntülenir."
"Store View","Mağaza Görünümü"
"Website","Web sitesi"
"Are you sure you want to delete the selected synonym groups?","Seçili eş anlamlı grupları silmek istediğinizden emin misiniz?"
"Delete items","Öğeleri sil"
"Synonym For","Synonym For"
"Will make search for the query above return results for this search","Will make search for the query above return results for this search"
"Synonym","Synonym"
"Merge existing synonyms","Varolan Eş anlamlıları birleştir"
"The synonym group with the ""%1"" ID can't be deleted. %2","%1 kimliği olan eşanlam grubu silinemiyor. %2"
