"Search Term","Penelusuran Istilah"
"Results","Hasil"
"Uses","Kegunaan"
"Search Terms","Istilah Pencarian"
"Search Synonyms","Penelusuran Sinonim"
"New Synonym Group","Grup Sinonim Baru"
"Back","Kembali"
"Delete Synonym Group","Hapus Sinonim Grup"
"Are you sure you want to delete this synonym group?","Apakah Anda Yakin Ingin Menghapus Sinonim Ini dari Grup?"
"Reset","Set ulang"
"Save and Continue Edit","Simpan dan Lanjutkan Edit"
"Save Synonym Group","Simpan Sinonim Group"
"Search","Pencarian"
"Add New Search Term","Tambahkan Istilah Pencarian Baru"
"Save Search","Simpan Pencarian"
"Delete Search","Hapus Penelusuran"
"Edit Search '%1'","Edit Pencarian %1"
"New Search","Penelusuran Baru"
"Search Information","Informasi Penelusuran"
"General Information","Informasi Umum"
"No","Tidak"
"Yes","Ya"
"Search Query","Kueri penelusuran"
"Store","Toko"
"Number of results","Jumlah Hasil"
"Number of results (For the last time placed)","Jumlah Hasil (untuk yang terakhir kali ditempatkan)"
"For the last time placed.","Untuk Terakhir kalinya ditempatkan."
"Number of Uses","Jumlah Penggunaan"
"Redirect URL","Alihkan URL"
"ex. http://domain.com","contoh. http://domain.com"
"Display in Suggested Terms","Tampilkan dalam persyaratan yang disarankan"
"The synonym group has been deleted.","Sinonim Grup telah dihapus."
"An error was encountered while performing delete operation.","Kesalahan ditemukan saat menghapus operasi."
"We can't find a synonym group to delete.","Kami Tidak Menemukan Sinonim Grup Untuk Dihapus."
"This synonyms group no longer exists.","Sinonim Grup ini telah lama tidak aktif."
"Edit Synonym Group","Edit Sinonim Grup"
"Synonym Group","Sinonim Grup"
"Failed to delete %1 synonym group(s).","Gagal Menghapus %1 sinonim grup."
"A total of %1 synonym group(s) have been deleted.","Total %1 sinonim sinonim grup telah dihapus."
"Marketing","Pemasaran"
"Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.","Pencarian Sinonim Tidak didukung %1 Oleh Mesin Penulusuran. Sinonim yang anda masukkan tidak bisa digunakan."
"This synonym group no longer exists.","Grup Sinonim Ini telah lama tidak aktif."
"You saved the synonym group.","Anda telah Menyimpan Grup sinonim."
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Istilah yang Anda masukkan, %1, 1 merupakan milik grup sinonim, %2. Pilih Kotak Centang ""Menggabungkan Sinonim Yang ada"" sehingga persyaratan bisa digabungkan."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","Istilah yang Anda masukkan, (% 1), termasuk dalam% 2 grup sinonim yang ada,% 3 dan% 4. Pilih kotak centang ""Menggabungkan sinonim yang ada"" sehingga persyaratan dapat digabungkan."
"You deleted the search.","Anda Menghapus Penelurusan."
"We can't find a search term to delete.","Kami tidak dapat menemukan istilah penelusuran yang akan dihapus."
"This search no longer exists.","Penelusuran Ini sudah lama tidak aktif."
"Edit Search","Edit Penelusuran"
"Please select searches.","Silahkan Pilih Penelusuran."
"Total of %1 record(s) were deleted.","Total dari %1 record(s) telah dihapus."
"Reports","Laporan"
"Search Terms Report","Laporan Istilah Pencarian"
"You saved the search term.","Anda menyimpan istilah pencarian."
"Something went wrong while saving the search query.","Ada yang salah ketika menyimpan pencarian queri."
"You already have an identical search term query.","Anda sudah memiliki queri istilah pencarian yang identik."
"Your search query can't be longer than %1, so we shortened your query.","Kueri penelusuran Anda tidak boleh lebih lama dari %1, jadi kami mempersingkat kueri Anda."
