"Shopping cart error: %message","Помилка кошика: %message"
"Could not find a product with SKU ""%sku""","Не вдалося знайти продукт з кодом товару ""%sku"""
"Could not add the product with SKU %sku to the shopping cart: %message","Не вдалося додати продукт з кодом товару ""%sku"" до кошика: %message"
"Missing key ""sku"" in cart item data","Відсутній ключ ""sku"" у даних одиниці кошика"
"Missing key ""qty"" in cart item data","Відсутній ключ ""qty"" у даних одиниці кошика"
"Could not find a cart with ID ""%masked_cart_id""","Не вдалося знайти кошик з ідентифікатором ""%masked_cart_id"""
"Current user does not have an active cart.","Поточний користувач не має активного кошику."
"The current user cannot perform operations on cart ""%masked_cart_id""","Поточний користувач не може виконувати операції з кошиком ""%masked_cart_id"""
"Could not find a cart address with ID ""%cart_address_id""","Не вдалося знайти адресу з ідентифікатором ""%cart_address_id"""
"The current user cannot use cart address with ID ""%cart_address_id""","Поточний користувач не може використовувати купівельну адресу з ідентифікатором ""%cart_address_id"""
"The billing address must contain either ""customer_address_id"" or ""address"".","Серед данних платіжної адреси має бути ""customer_address_id"" або ""address""."
"The billing address cannot contain ""customer_address_id"" and ""address"" at the same time.","Данні платіжної адреси не можуть містити ""customer_address_id"" і ""address"" одночасно."
"Using the ""use_for_shipping"" option with multishipping is not possible.","Використання параметра ""use_for_shipping"" не можливо для доставки на замовлення на кілька адресс (мультишипінг)."
"You cannot specify multiple shipping addresses.","Не можна вказати кілька адрес доставки."
"The shipping address must contain either ""customer_address_id"" or ""address"".","Серед данних адреси доставки має бути ""customer_address_id"" або ""address""."
"The shipping address cannot contain ""customer_address_id"" and ""address"" at the same time.","Данні адреси доставки не можуть містити ""customer_address_id"" і ""address"" одночасно."
"You cannot specify multiple shipping methods.","Не можна вказати кілька адрес доставки."
"Required parameter ""cart_address_id"" is missing.","Відсутній обов'язковий параметр ""cart_address_id""."
"Required parameter ""carrier_code"" is missing.","Відсутній обов'язковий параметр ""carrier_code""."
"Required parameter ""method_code"" is missing.","Відсутній обов'язковий параметр ""method_code""."
"Option type ""%1"" is not supported","Опція типу ""%1"" не підтримується"
"%1 doesn't implement CustomizableOptionValueInterface","%1 мусить імплементувати CustomizableOptionValueInterface"
"Required parameter ""cart_id"" is missing","Відсутній обов'язковий параметр ""cart_id"""
"Required parameter ""cartItems"" is missing","Відсутній обов'язковий параметр ""cartItems"""
"""model"" value should be specified","Значення ""model"" повиненне бути вказане"
"Required parameter ""coupon_code"" is missing","Відсутній обов'язковий параметр ""coupon_code"""
"A coupon is already applied to the cart. Please remove it to apply another","До кошика вже застовоно купон. Будь ласка, видаліть його, щоб застосувати інший"
"Missing key ""product"" in cart data","Бракує ключа """"product"" в даних кошика"
"Missing key ""type_id"" in product data","Відсутній ключ ""type_id"" в данних продукту"
"Product ""%product_type"" type is not supported","Тип продукту ""%product_type"" не підтримується"
"Required parameter ""cart_id"" is missing.","Required parameter ""cart_id"" is missing."
"Required parameter ""cart_item_id"" is missing.","Required parameter ""cart_item_id"" is missing."
"Required parameter ""billing_address"" is missing","Required parameter ""billing_address"" is missing"
"Required parameter ""payment_method"" is missing","Required parameter ""payment_method"" is missing"
"Required parameter ""shipping_addresses"" is missing","Required parameter ""shipping_addresses"" is missing"
"Required parameter ""shipping_methods"" is missing","Required parameter ""shipping_methods"" is missing"
"""model"" values should be specified","""model"" values should be specified"
"Required parameter ""cart_items"" is missing.","Required parameter ""cart_items"" is missing."
"Required parameter ""cart_item_id"" for ""cart_items"" is missing.","Required parameter ""cart_item_id"" for ""cart_items"" is missing."
"Required parameter ""quantity"" for ""cart_items"" is missing.","Required parameter ""quantity"" for ""cart_items"" is missing."
"Could not find cart item with id: %1.","Не вдалося знайти одиницю кошика з ідентифікатором: %1."
