"Shopping cart error: %message","Warenkorb Fehler: %message"
"Could not find a product with SKU ""%sku""","Konnte kein Produkt mit SKU ""%sku"" finden"
"Could not add the product with SKU %sku to the shopping cart: %message","Konnte das Produkt mit SKU %sku nicht in den Warenkorb legen: %message"
"Missing key ""sku"" in cart item data","Fehlende Taste ""sku"" in Warenkorb-Artikeldaten"
"Missing key ""qty"" in cart item data","Fehlende Taste ""sku"" in Warenkorb-Artikeldaten"
"Could not find a cart with ID ""%masked_cart_id""","Kann keinen Warenkorb mit der ID ""%masked_cart_id"" finden"
"Current user does not have an active cart.","Aktueller Kunde hat keinen aktiven Warenkorb."
"The current user cannot perform operations on cart ""%masked_cart_id""","Der aktuelle Benutzer kann keine Operationen auf dem Warenkorb ""%masked_cart_id"" ausführen"
"Could not find a cart address with ID ""%cart_address_id""","Konnte keine Adresse mit der ID ""%address_id"" finden"
"The current user cannot use cart address with ID ""%cart_address_id""","Der aktuelle Benutzer kann keine Warenkorb-Adresse mit ID ""%cart_address_id"" verwenden"
"The billing address must contain either ""customer_address_id"" or ""address"".","Die Rechnungsadresse muss entweder ""customer_address_id"" oder ""address"" enthalten."
"The billing address cannot contain ""customer_address_id"" and ""address"" at the same time.","Die Rechnungsadresse darf nicht gleichzeitig ""customer_address_id"" und ""address"" enthalten."
"Using the ""use_for_shipping"" option with multishipping is not possible.","Die Verwendung der Option ""use_for_shipping"" mit Multishipping ist nicht möglich."
"You cannot specify multiple shipping addresses.","Sie können keine mehreren Lieferadressen angeben."
"The shipping address must contain either ""customer_address_id"" or ""address"".","Die Lieferadresse muss entweder ""customer_address_id"" oder ""address"" enthalten."
"The shipping address cannot contain ""customer_address_id"" and ""address"" at the same time.","Die Rechnungsadresse darf nicht gleichzeitig ""customer_address_id"" und ""address"" enthalten."
"You cannot specify multiple shipping methods.","Sie können nicht mehrere Lieferadressen angeben."
"Required parameter ""cart_address_id"" is missing.","Erforderlicher Parameter ""cart_address_id"" fehlt."
"Required parameter ""carrier_code"" is missing.","Erforderlicher Parameter ""shipping_carrier_code"" fehlt."
"Required parameter ""method_code"" is missing.","Benötigter Parameter ""method_code"" fehlt."
"Option type ""%1"" is not supported","Optionstyp ""%1"" wird nicht unterstützt"
"%1 doesn't implement CustomizableOptionValueInterface","%1 implementiert keine CustomizableOptionValueInterface"
"Required parameter ""cart_id"" is missing","Erforderlicher Parameter ""cart_id"" fehlt"
"Required parameter ""cartItems"" is missing","Erforderlicher Parameter ""cart_id"" fehlt"
"""model"" value should be specified","""Modell"" Wert sollte angegeben werden"
"Required parameter ""coupon_code"" is missing","Benötigter Parameter ""coupon_code"" fehlt"
"A coupon is already applied to the cart. Please remove it to apply another","Ein Gutschein ist bereits auf den Warenkorb angewendet. Bitte entfernen Sie ihn, um einen anderen zu verwenden"
"Missing key ""product"" in cart data","Fehlender Schlüssel ""Produkt"" in Warenkorb-Daten"
"Missing key ""type_id"" in product data","Fehlender Schlüssel ""type_id"" in Produktdaten"
"Product ""%product_type"" type is not supported","Product ""%product_type"" type is not supported"
"Required parameter ""cart_id"" is missing.","Required parameter ""cart_id"" is missing."
"Required parameter ""cart_item_id"" is missing.","Required parameter ""cart_item_id"" is missing."
"Required parameter ""billing_address"" is missing","Required parameter ""billing_address"" is missing"
"Required parameter ""payment_method"" is missing","Required parameter ""payment_method"" is missing"
"Required parameter ""shipping_addresses"" is missing","Erforderlicher Parameter ""shipping_address"" fehlt"
"Required parameter ""shipping_methods"" is missing","Erforderlicher Parameter ""shipping_methods"" fehlt"
"""model"" values should be specified","""model"" values should be specified"
"Required parameter ""cart_items"" is missing.","Required parameter ""cart_items"" is missing."
"Required parameter ""cart_item_id"" for ""cart_items"" is missing.","Required parameter ""cart_item_id"" for ""cart_items"" is missing."
"Required parameter ""quantity"" for ""cart_items"" is missing.","Required parameter ""quantity"" for ""cart_items"" is missing."
"Could not find cart item with id: %1.","Could not find cart item with id: %1."
