"Shopping cart error: %message","Σφάλμα καλαθιού αγορών: %message"
"Could not find a product with SKU ""%sku""","Δεν βρέθηκε προϊόν με SKU ""%sku"""
"Could not add the product with SKU %sku to the shopping cart: %message","Δεν ήταν δυνατή η προσθήκη του προϊόντος με SKU %sku στο καλάθι αγορών: %message"
"Missing key ""sku"" in cart item data","Λείπει το κλειδί ""sku"" στα δεδομένα του στοιχείου καλαθιού"
"Missing key ""qty"" in cart item data","Λείπει το κλειδί ""qty"" στα δεδομένα του στοιχείου καλαθιού"
"Could not find a cart with ID ""%masked_cart_id""","Δεν ήταν δυνατή η εύρεση καλαθιού με ID ""%masked_cart_id"""
"Current user does not have an active cart.","Ο τρέχων χρήστης δεν διαθέτει ενεργό καλάθι."
"The current user cannot perform operations on cart ""%masked_cart_id""","The current user cannot perform operations on cart ""%masked_cart_id"""
"Could not find a cart address with ID ""%cart_address_id""","Δεν βρέθηκε η διεύθυνση καλαθιού με ID ""%cart_address_id"""
"The current user cannot use cart address with ID ""%cart_address_id""","The current user cannot use cart address with ID ""%cart_address_id"""
"The billing address must contain either ""customer_address_id"" or ""address"".","The billing address must contain either ""customer_address_id"" or ""address""."
"The billing address cannot contain ""customer_address_id"" and ""address"" at the same time.","The billing address cannot contain ""customer_address_id"" and ""address"" at the same time."
"Using the ""use_for_shipping"" option with multishipping is not possible.","Using the ""use_for_shipping"" option with multishipping is not possible."
"You cannot specify multiple shipping addresses.","Δεν μπορείτε να ορίσετε πολλαπλές διευθύνσεις αποστολής."
"The shipping address must contain either ""customer_address_id"" or ""address"".","Η διεύθυνση αποστολής πρέπει να περιέχει είτε ""customer_address_id"" ή ""address""."
"The shipping address cannot contain ""customer_address_id"" and ""address"" at the same time.","Η διεύθυνση αποστολής δεν μπορεί να περιέχει ""customer_address_id"" και ""address"" ταυτόχρονα."
"You cannot specify multiple shipping methods.","Δεν μπορείτε να ορίσετε πολλαπλές μεθόδους αποστολής."
"Required parameter ""cart_address_id"" is missing.","Η απαιτούμενη παράμετρος ""cart_address_id"" λείπει."
"Required parameter ""carrier_code"" is missing.","Η απαιτούμενη παράμετρος ""carrier_code"" λείπει."
"Required parameter ""method_code"" is missing.","Η απαιτούμενη παράμετρος ""method_code"" λείπει."
"Option type ""%1"" is not supported","Ο τύπος επιλογής ""%1"" δεν υποστηρίζεται"
"%1 doesn't implement CustomizableOptionValueInterface","%1 doesn't implement CustomizableOptionValueInterface"
"Required parameter ""cart_id"" is missing","Η απαιτούμενη παράμετρος ""cart_id"" λείπει"
"Required parameter ""cartItems"" is missing","Η απαιτούμενη παράμετρος ""cartItems"" λείπει"
"""model"" value should be specified","η τιμή ""model"" πρέπει να οριστεί"
"Required parameter ""coupon_code"" is missing","Η απαιτούμενη παράμετρος ""coupon_code"" λείπει"
"A coupon is already applied to the cart. Please remove it to apply another","Ένα κουπόνι εφαρμόζεται ήδη στο καλάθι. Καταργήστε το για να εφαρμόσετε ένα άλλο"
"Missing key ""product"" in cart data","Λείπει το κλειδί ""product"" στα δεδομένα καλαθιού"
"Missing key ""type_id"" in product data","Λείπει το κλειδί ""type_id"" στα δεδομένα προϊόντος"
"Product ""%product_type"" type is not supported","Ο τύπος προϊόντος ""%product_type"" δεν υποστηρίζεται"
"Required parameter ""cart_id"" is missing.","Η απαιτούμενη παράμετρος ""cart_id"" λείπει."
"Required parameter ""cart_item_id"" is missing.","Η απαιτούμενη παράμετρος ""cart_item_id"" λείπει."
"Required parameter ""billing_address"" is missing","Η απαιτούμενη παράμετρος ""billing_address"" λείπει"
"Required parameter ""payment_method"" is missing","Η απαιτούμενη παράμετρος ""payment_method"" λείπει"
"Required parameter ""shipping_addresses"" is missing","Η απαιτούμενη παράμετρος ""shipping_addresses"" λείπει"
"Required parameter ""shipping_methods"" is missing","Η απαιτούμενη παράμετρος ""shipping_methods"" λείπει"
"""model"" values should be specified","οι τιμές ""model"" πρέπει να οριστούν"
"Required parameter ""cart_items"" is missing.","Η απαιτούμενη παράμετρος ""cart_items"" λείπει."
"Required parameter ""cart_item_id"" for ""cart_items"" is missing.","Η απαιτούμενη παράμετρος ""cart_item_id"" για ""cart_items"" λείπει."
"Required parameter ""quantity"" for ""cart_items"" is missing.","Η απαιτούμενη παράμετρος ""quantity"" για ""cart_items"" λείπει."
"Could not find cart item with id: %1.","Δεν ήταν δυνατή η εύρεση στοιχείου καλαθιού με id: %1."
