"Segments","Segmenty"
"Add Segment","Přidat Segment"
"Are you sure you want to do this?","Opravdu to chcete udělat?"
"Refresh Segment Data","Refresh Segment Data"
"Save and Continue Edit","Použít"
"Edit Segment '%1'","Edit Segment '%1'"
"New Segment","Nový segment"
"Segment Information","Segment Information"
"Conditions","Podmínky"
"* applicable to visitors and registered customers","* applicable to visitors and registered customers"
"General Properties","Obecné vlastnosti"
"Segment Name","Název segmentu"
"Description","Popis"
"Assigned to Website","Přiřazené k webu"
"Status","Stav"
"Active","Aktivní"
"Inactive","Neaktivní"
"Apply To","Platí pro"
"Visitors and Registered Customers","Visitors and Registered Customers"
"Registered Customers","Registrovaní zákazníci"
"Visitors","Návštěvníci"
"Please save this information to specify segmentation conditions.","Please save this information to specify segmentation conditions."
"Matched Customers (%1)","Matched Customers (%1)"
"ID","ID"
"Segment","Segment"
"Website","Webová stránka"
"Customer Segment Report","Customer Segment Report"
"Customer Segment Report '%1'","Přehled segmentů zákazníků '%1'"
"Customer Segments Report","Customer Segments Report"
"Back","Zpět"
"From","Od"
"To","Pro"
"Please request the correct customer segment.","Please request the correct customer segment."
"You deleted the segment.","You deleted the segment."
"Unable to delete the segment.","Unable to delete the segment."
"Customer Segments","Segmenty zákazníků"
"Edit Segment","Upravit segment"
"Segment Customers matching error","Segment Customers matching error"
"You saved the segment.","You saved the segment."
"We can't save the segment right now.","Segment nelze uložit."
"Reports","Přehledy"
"Customers","Zákazníci"
"Viewing combined ""%1"" report from segments: %2.","Viewing combined ""%1"" report from segments: %2."
"Details","Podrobnosti"
"The Customer Segment data has been refreshed.","The Customer Segment data has been refreshed."
"Union","Union"
"Intersection","Průnik"
"All","Vše"
"Specified","Zadáno"
"Applies to All of the Specified Customer Segments","Applies to All of the Specified Customer Segments"
"Apply to the Selected Customer Segments","Apply to the Selected Customer Segments"
"contains","obsahuje"
"does not contains","does not contains"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Unknown operator specified.","Zadán neznámý operátor."
"Conditions Combination","Kombinace podmínek"
"Customer Address","Adresa zákazníka"
"Product List","Seznam produktů"
"Product History","Historie produktu"
"Products","Produkty"
"Wrong ""ApplyTo"" type","Wrong ""ApplyTo"" type"
"Customer","Zákazník"
"If Customer Addresses match %1 of these Conditions:","If Customer Addresses match %1 of these Conditions:"
"Address Attributes","Address Attributes"
"Customer Address %1","Customer Address %1"
"Default Address","Výchozí adresa"
"Billing","Fakturace"
"Shipping","Přepravné"
"Customer Address %1 Default %2 Address","Customer Address %1 Default %2 Address"
"Has State/Province","Má kraj / region"
"If Customer Address %1 State/Province specified","Pokud adresa zákazníka %1 má kraj / region"
"has","has"
"does not have","does not have"
"exists","existuje"
"does not exist","neexistuje"
"Customer %1","Zákazník %1"
"Newsletter Subscription","Odběr newsletteru"
"Customer is %1 to newsletter.","Customer is %1 to newsletter."
"subscribed","subscribed"
"not subscribed","not subscribed"
"Store Credit","Uložený kredit"
"Customer Store Credit Amount %1 %2:","Customer Store Credit Amount %1 %2:"
"Date Range","Časové období"
"Open Chooser","Otevřít výběr"
"Date Range %1 within %2","Date Range %1 within %2"
"If Order Addresses match %1 of these Conditions:","If Order Addresses match %1 of these Conditions:"
"Order Address Attributes","Order Address Attributes"
"Order Address %1","Order Address %1"
"Address Type","Typ adresy"
"Order Address %1 a %2 Address","Order Address %1 a %2 Address"
"Order Status","Stav objednávky"
"Any","Jakýkoliv"
"Order Status %1 %2:","Order Status %1 %2:"
"Product Attributes","Atributy produktu"
"Product %1","Produkt %1"
"Date Ranges","Časová období"
"viewed","viewed"
"ordered","ordered"
"was","was"
"was not","was not"
"If Product %1 %2 and matches %3 of these Conditions:","If Product %1 %2 and matches %3 of these Conditions:"
"Shopping Cart","Nákupní košík"
"Wish List","Oblíbené"
"found","nalezeno"
"not found","nenalezeno"
"If Product is %1 in the %2 with %3 of these Conditions match:","If Product is %1 in the %2 with %3 of these Conditions match:"
"Order Address","Order Address"
"Sales Amount","Sales Amount"
"Number of Orders","Počet objednávek"
"Purchased Quantity","Zakoupené množství"
"Sales","Prodej"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4 while %5 of these Conditions match:"
"Total","Celkem"
"Average","Průměr"
"If Customer Segment %1 %2","If Customer Segment %1 %2"
"matches","matches"
"does not match","does not match"
"is one of","je jedním z"
"is not one of","není jedním z"
"Shopping Cart Total","Celkem v nákupním košíku"
"Subtotal","Mezisoučet"
"Grand Total","Celkový součet"
"Tax","DPH"
"Gift Card","Dárkový poukaz"
"Shopping Cart %1 Amount %2 %3:","Shopping Cart %1 Amount %2 %3:"
"Unknown quote total specified.","Unknown quote total specified."
"Number of Cart Line Items","Number of Cart Line Items"
"Number of Shopping Cart Line Items %1 %2:","Number of Shopping Cart Line Items %1 %2:"
"Products Quantity","Množství produktů"
"Shopping Cart Products Qty %1 %2:","Shopping Cart Products Qty %1 %2:"
"equals or greater than","je rovno nebo větší než"
"equals or less than","je rovno nebo menší než"
"greater than","je větší než"
"less than","je menší než"
"Up To Date","Up To Date"
"Period %1 %2 Days Up To Date","Period %1 %2 Days Up To Date"
"Customer Segment","Segment zákazníků"
"Use in Customer Segment","Use in Customer Segment"
"Please choose a condition to add.","Zvolte podmínku prosím."
"Enable Customer Segment Functionality","Enable Customer Segment Functionality"
"Refresh Data","Obnovit data"
"Manage Segments","Správa segmentů"
"All Websites","Všechny weby"
"CSV","CSV"
"Excel XML","Excel XML"
"Name","Jméno"
"Email","E-mail"
"Group","Skupina"
"Phone","Telefon"
"ZIP","PSČ"
"Country","Země"
"State/Province","Kraj / region"
"Customer Since","Zákazníkem od"
"View Combined Report","View Combined Report"
"Set","Nastavit"
"We're unable to delete the segement.","We're unable to delete the segement."
"Custom Condition","Custom Condition"
"The quote total specified is unknown. Verify the total and try again.","The quote total specified is unknown. Verify the total and try again."
