"Segments","Segmenten"
"Add Segment","Voeg segment toe"
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
"Refresh Segment Data","Verversen Segment Data"
"Save and Continue Edit","Toepassen"
"Edit Segment '%1'","Segment '%1' bewerken"
"New Segment","Nieuw Segment"
"Segment Information","Segment Informatie"
"Conditions","Voorwaarden"
"* applicable to visitors and registered customers","* van toepassing op bezoekers en geregistreerde klanten"
"General Properties","Algemene Kenmerken"
"Segment Name","Segment Naam"
"Description","Omschrijving"
"Assigned to Website","Toegewezen aan de Website"
"Status","status"
"Active","Actief"
"Inactive","Inactief"
"Apply To","Pas Toe Op"
"Visitors and Registered Customers","Bezoekers en Geregistreerde Klanten"
"Registered Customers","Geregistreerde klanten"
"Visitors","Bezoekers"
"Please save this information to specify segmentation conditions.","Sla deze informatie op om segmentatie condities op te geven."
"Matched Customers (%1)","Overeenkomende Klanten (%1)"
"ID","ID"
"Segment","Segment"
"Website","Website"
"Customer Segment Report","Klantsegment Rapport"
"Customer Segment Report '%1'","Klantsegmenten Rapport '%1'"
"Customer Segments Report","Klantsegmenten Rapport"
"Back","Terug"
"From","Van"
"To","Aan"
"Please request the correct customer segment.","Vraag de juiste klantensegment."
"You deleted the segment.","Je hebt het segment verwijderd."
"Unable to delete the segment.","Verwijderen segment niet mogelijk"
"Customer Segments","klanten segmenten"
"Edit Segment","Bewerk Segment"
"Segment Customers matching error","Segment Klanten overeenkomsten fout"
"You saved the segment.","Je hebt het segment opgeslagen."
"We can't save the segment right now.","We kunnen het segment niet opslaan op dit moment."
"Reports","Rapportages"
"Customers","Klanten"
"Viewing combined ""%1"" report from segments: %2.","Bekijk gecombineerde ""%1"" rapport van segmenten: %2."
"Details","Gegevens"
"The Customer Segment data has been refreshed.","Klantsegment gegevens zijn geactualiseerd."
"Union","Organisatie"
"Intersection","Intersectie"
"All","Alle"
"Specified","Gespecificeerd"
"Applies to All of the Specified Customer Segments","Is van toepassing op Alle Gespecificeerde Klant Segmenten"
"Apply to the Selected Customer Segments","Toepassen op de Geselecteerde Klant Segmenten"
"contains","bevat"
"does not contains","bevat niet"
"Matched %1 Customers of Segment %2","%d Overeenkomende Klanten van het Segment %s"
"Unknown operator specified.","Opgegeven operator onbekend."
"Conditions Combination","Voorwaardencombinatie"
"Customer Address","Klantadres"
"Product List","Product Lijst"
"Product History","Productgeschiedenis"
"Products","Producten"
"Wrong ""ApplyTo"" type","Verkeerd ""ToepassenOp"" type"
"Customer","Klant"
"If Customer Addresses match %1 of these Conditions:","Als klantenadressen overeenkomen met %1 van deze voorwaarden:"
"Address Attributes","Adres eigenschappen"
"Customer Address %1","Klantadres %1"
"Default Address","Standaard Adres"
"Billing","Facturatie"
"Shipping","Aflevering"
"Customer Address %1 Default %2 Address","Adres Klant %1 Standaard %2 Adres"
"Has State/Province","Heeft Staat/Provincie"
"If Customer Address %1 State/Province specified","Als Klantadres %1 Staat/Provincie opgegeven"
"has","heeft (in andere context: bevat)"
"does not have","bevat geen"
"exists","bestaat"
"does not exist","bestaat niet"
"Customer %1","Klant %1"
"Newsletter Subscription","Nieuwsbriefabonnement"
"Customer is %1 to newsletter.","Klant is %1 voor nieuwsbrief."
"subscribed","geabonneerd"
"not subscribed","niet geabonneerd"
"Store Credit","Winkeltegoed"
"Customer Store Credit Amount %1 %2:","Winkelkrediet Klant bedrag %1 %2:"
"Date Range","Datum Reeks"
"Open Chooser","Kiezer openen"
"Date Range %1 within %2","Datumbereik %1 binnen %2"
"If Order Addresses match %1 of these Conditions:","Als adres van de bestelling overeenkomt met %1 van deze voorwaarden:"
"Order Address Attributes","Kenmerken van het Bestellingsadres"
"Order Address %1","Besteladres %1"
"Address Type","Adrestype"
"Order Address %1 a %2 Address","Besteladres %1 a %2 Adres"
"Order Status","Bestelling Status"
"Any","Elke"
"Order Status %1 %2:","Bestelling status %1 %2:"
"Product Attributes","Productkenmerken"
"Product %1","Product %1"
"Date Ranges","Datum Reeksen"
"viewed","bekeken"
"ordered","besteld"
"was","was"
"was not","was niet"
"If Product %1 %2 and matches %3 of these Conditions:","Als product %1 %2 en overeenkomt met %3 van deze voorwaarden:"
"Shopping Cart","Winkelwagen"
"Wish List","Verlanglijst"
"found","gevonden"
"not found","niet gevonden"
"If Product is %1 in the %2 with %3 of these Conditions match:","Als Product is %1 in de %2 met %3 overeenkomende Voorwaarden:"
"Order Address","Bestellingsadres"
"Sales Amount","Verkocht Bedrag"
"Number of Orders","Aantal Bestellingen"
"Purchased Quantity","Aangeschaft aantal"
"Sales","Verkopen"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4 waarbij %5 van deze voorwaarden overeenkomen met:"
"Total","Totaal"
"Average","Gemiddeld"
"If Customer Segment %1 %2","Als klantsegment %1 %2"
"matches","komt overeen"
"does not match","komt niet overeen"
"is one of","behoort tot"
"is not one of","behoort niet tot"
"Shopping Cart Total","Winkelwagen Totaal"
"Subtotal","Subtotaal"
"Grand Total","Eindtotaal"
"Tax","BTW"
"Gift Card","Cadeaubon"
"Shopping Cart %1 Amount %2 %3:","Winkelenwagen %1 bedrag %2 %3:"
"Unknown quote total specified.","Opgegeven totaal prijsopgave onbekend"
"Number of Cart Line Items","Aantal productregels in de Winkelwagen"
"Number of Shopping Cart Line Items %1 %2:","Aantal producten in de winkelwagen %1 %2:"
"Products Quantity","Producten Aantal"
"Shopping Cart Products Qty %1 %2:","Aantal producten in winkelwagen %1 %2:"
"equals or greater than","gelijk aan of groter dan"
"equals or less than","gelijk aan of minder dan"
"greater than","groter dan"
"less than","kleiner dan"
"Up To Date","Actueel"
"Period %1 %2 Days Up To Date","Periode %1 %2 Aantal Dagen Tot Aan Datum"
"Customer Segment","Klantsegment"
"Use in Customer Segment","In Klanten Segment Gebruiken"
"Please choose a condition to add.","Kies een voorwaarde om toe te voegen."
"Enable Customer Segment Functionality","Activeer Klantsegment Functionaliteit"
"Refresh Data","Ververs Gegevens"
"Manage Segments","Beheer Segmenten"
"All Websites","Alle Websites"
"CSV","CSV"
"Excel XML","Excel XML"
"Name","Naam"
"Email","E-mail"
"Group","Groep"
"Phone","Telefoonnummer"
"ZIP","Postcode"
"Country","Land"
"State/Province","Staat/Provincie"
"Customer Since","Klant Sinds"
"View Combined Report","Gecombineerd Rapport Inzien"
"Set","Stel (noun) / Bevestigd / Vastgelegd"
"We're unable to delete the segement.","We kunnen het segment niet verwijderen."
"Custom Condition","Aangepaste Voorwaarde"
"The quote total specified is unknown. Verify the total and try again.","Het gespecificeerde offerte totaal is onbekend. Controleer het totaal en probeer het opnieuw."
