"Segments","Segmenter"
"Add Segment","Legg til segment"
"Are you sure you want to do this?","Er du sikker på at du vil gjøre dette?"
"Refresh Segment Data","Oppdatere Segmentdata"
"Save and Continue Edit","Lagre og fortsett redigering"
"Edit Segment '%1'","Redigere segmentet '%1'"
"New Segment","Nytt Segment"
"Segment Information","Segmentinformasjon"
"Conditions","Betingelser"
"* applicable to visitors and registered customers","* gjelder for besøkende og registrerte kunder"
"General Properties","General Properties"
"Segment Name","Segmentnavn"
"Description","Beskrivelse"
"Assigned to Website","Assigned to Website"
"Status","Status"
"Active","Aktiv"
"Inactive","Inaktiv"
"Apply To","Søk på"
"Visitors and Registered Customers","Besøkende og registrerte kunder"
"Registered Customers","Registrerte kunder"
"Visitors","Besøkende"
"Please save this information to specify segmentation conditions.","Please save this information to specify segmentation conditions."
"Matched Customers (%1)","Matched Customers (%1)"
"ID","ID"
"Segment","Segment"
"Website","Nettsted"
"Customer Segment Report","Customer Segment Report"
"Customer Segment Report '%1'","Customer Segment Report '%1'"
"Customer Segments Report","Customer Segments Report"
"Back","Tilbake"
"From","Fra"
"To","Til"
"Please request the correct customer segment.","Please request the correct customer segment."
"You deleted the segment.","You deleted the segment."
"Unable to delete the segment.","Unable to delete the segment."
"Customer Segments","Customer Segments"
"Edit Segment","Edit Segment"
"Segment Customers matching error","Segment Customers matching error"
"You saved the segment.","You saved the segment."
"We can't save the segment right now.","We can't save the segment right now."
"Reports","Rapporter"
"Customers","Kunder"
"Viewing combined ""%1"" report from segments: %2.","Viewing combined ""%1"" report from segments: %2."
"Details","Detaljer"
"The Customer Segment data has been refreshed.","The Customer Segment data has been refreshed."
"Union","Union"
"Intersection","Intersection"
"All","Alle"
"Specified","Spesifisert"
"Applies to All of the Specified Customer Segments","Applies to All of the Specified Customer Segments"
"Apply to the Selected Customer Segments","Apply to the Selected Customer Segments"
"contains","inneholder"
"does not contains","inneholder ikke"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Unknown operator specified.","Unknown operator specified."
"Conditions Combination","Betingelsekombinasjon"
"Customer Address","Customer Address"
"Product List","Product List"
"Product History","Product History"
"Products","Produkter"
"Wrong ""ApplyTo"" type","Wrong ""ApplyTo"" type"
"Customer","Kunde"
"If Customer Addresses match %1 of these Conditions:","If Customer Addresses match %1 of these Conditions:"
"Address Attributes","Address Attributes"
"Customer Address %1","Customer Address %1"
"Default Address","Default Address"
"Billing","Fakturering"
"Shipping","Frakt"
"Customer Address %1 Default %2 Address","Customer Address %1 Default %2 Address"
"Has State/Province","Has State/Province"
"If Customer Address %1 State/Province specified","If Customer Address %1 State/Province specified"
"has","har"
"does not have","har ikke"
"exists","exists"
"does not exist","does not exist"
"Customer %1","Customer %1"
"Newsletter Subscription","Nyhetsbrev-abonnement"
"Customer is %1 to newsletter.","Customer is %1 to newsletter."
"subscribed","subscribed"
"not subscribed","not subscribed"
"Store Credit","Kreditt"
"Customer Store Credit Amount %1 %2:","Customer Store Credit Amount %1 %2:"
"Date Range","Date Range"
"Open Chooser","Åpne Velger"
"Date Range %1 within %2","Date Range %1 within %2"
"If Order Addresses match %1 of these Conditions:","If Order Addresses match %1 of these Conditions:"
"Order Address Attributes","Order Address Attributes"
"Order Address %1","Order Address %1"
"Address Type","Address Type"
"Order Address %1 a %2 Address","Order Address %1 a %2 Address"
"Order Status","Bestillingsstatus"
"Any","Hvilket som helst"
"Order Status %1 %2:","Ordrestatus %1 %2:"
"Product Attributes","Produkt-attributter"
"Product %1","Produkt %1"
"Date Ranges","Date Ranges"
"viewed","sett"
"ordered","bestilt"
"was","was"
"was not","var ikke"
"If Product %1 %2 and matches %3 of these Conditions:","If Product %1 %2 and matches %3 of these Conditions:"
"Shopping Cart","Handlekurv"
"Wish List","Ønskeliste"
"found","found"
"not found","not found"
"If Product is %1 in the %2 with %3 of these Conditions match:","If Product is %1 in the %2 with %3 of these Conditions match:"
"Order Address","Order Address"
"Sales Amount","Salgsbeløp"
"Number of Orders","Number of Orders"
"Purchased Quantity","Purchased Quantity"
"Sales","Salg"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4 while %5 of these Conditions match:"
"Total","Totalt"
"Average","Gjennomsnitt"
"If Customer Segment %1 %2","If Customer Segment %1 %2"
"matches","matches"
"does not match","does not match"
"is one of","er en av"
"is not one of","er ikke en av"
"Shopping Cart Total","Handlekurv total"
"Subtotal","Delsum"
"Grand Total","Totalsum"
"Tax","Avgift"
"Gift Card","Gavekort"
"Shopping Cart %1 Amount %2 %3:","Shopping Cart %1 Amount %2 %3:"
"Unknown quote total specified.","Unknown quote total specified."
"Number of Cart Line Items","Number of Cart Line Items"
"Number of Shopping Cart Line Items %1 %2:","Number of Shopping Cart Line Items %1 %2:"
"Products Quantity","Products Quantity"
"Shopping Cart Products Qty %1 %2:","Shopping Cart Products Qty %1 %2:"
"equals or greater than","lik eller større enn"
"equals or less than","er lik eller mindre enn"
"greater than","større enn"
"less than","mindre enn"
"Up To Date","Up To Date"
"Period %1 %2 Days Up To Date","Period %1 %2 Days Up To Date"
"Customer Segment","Kundesegment"
"Use in Customer Segment","Use in Customer Segment"
"Please choose a condition to add.","Velg en betingelse å legge til."
"Enable Customer Segment Functionality","Enable Customer Segment Functionality"
"Refresh Data","Refresh Data"
"Manage Segments","Manage Segments"
"All Websites","Alle nettsteder"
"CSV","CSV"
"Excel XML","Excel XML"
"Name","Navn"
"Email","E-post"
"Group","Gruppe"
"Phone","Telefon"
"ZIP","ZIP"
"Country","Land"
"State/Province","Stat/provins"
"Customer Since","Kunde siden"
"View Combined Report","View Combined Report"
"Set","Sett"
"We're unable to delete the segement.","We're unable to delete the segement."
"Custom Condition","Custom Condition"
"The quote total specified is unknown. Verify the total and try again.","The quote total specified is unknown. Verify the total and try again."
