"Segments","Segmendid"
"Add Segment","Lisa segment"
"Are you sure you want to do this?","Olete kinde, et soovite seda teha?"
"Refresh Segment Data","Segmendi andmete värskendamine"
"Save and Continue Edit","Salvesta ja jätka muutmist"
"Edit Segment '%1'","Edit Segment '%1'"
"New Segment","Uus segment"
"Segment Information","Segment Information"
"Conditions","Tingimused"
"* applicable to visitors and registered customers","* applicable to visitors and registered customers"
"General Properties","Üldseaded"
"Segment Name","Segmendi nimi"
"Description","Kirjeldus"
"Assigned to Website","Assigned to Website"
"Status","Staatus"
"Active","Aktiivne"
"Inactive","Mitteaktiivne"
"Apply To","Apply To"
"Visitors and Registered Customers","Külastajad ja Registreeritud kliendid"
"Registered Customers","Registreerunud kliendid"
"Visitors","Visitors"
"Please save this information to specify segmentation conditions.","Please save this information to specify segmentation conditions."
"Matched Customers (%1)","Matched Customers (%1)"
"ID","ID"
"Segment","Segment"
"Website","Koduleht"
"Customer Segment Report","Customer Segment Report"
"Customer Segment Report '%1'","Customer Segment Report '%1'"
"Customer Segments Report","Customer Segments Report"
"Back","Tagasi"
"From","Kellelt"
"To","Kellele"
"Please request the correct customer segment.","Please request the correct customer segment."
"You deleted the segment.","You deleted the segment."
"Unable to delete the segment.","Segmendi kustutamine ebaõnnestus."
"Customer Segments","Kliendisegmendid"
"Edit Segment","Muuda segmenti"
"Segment Customers matching error","Segment Customers matching error"
"You saved the segment.","You saved the segment."
"We can't save the segment right now.","We can't save the segment right now."
"Reports","Reports"
"Customers","Kliendid"
"Viewing combined ""%1"" report from segments: %2.","Viewing combined ""%1"" report from segments: %2."
"Details","Üksikasjad"
"The Customer Segment data has been refreshed.","The Customer Segment data has been refreshed."
"Union","Union"
"Intersection","Intersection"
"All","Kõik"
"Specified","Spetsiifiline"
"Applies to All of the Specified Customer Segments","Applies to All of the Specified Customer Segments"
"Apply to the Selected Customer Segments","Rakenda valitud kliendisegmentidele"
"contains","contains"
"does not contains","does not contains"
"Matched %1 Customers of Segment %2","Matched %1 Customers of Segment %2"
"Unknown operator specified.","Unknown operator specified."
"Conditions Combination","Tingimuste kombinatsioon"
"Customer Address","Kliendi aadress"
"Product List","Tootenimekiri"
"Product History","Tooteajalugu"
"Products","Tooted"
"Wrong ""ApplyTo"" type","Wrong ""ApplyTo"" type"
"Customer","Klient"
"If Customer Addresses match %1 of these Conditions:","If Customer Addresses match %1 of these Conditions:"
"Address Attributes","Aadressi atribuudid"
"Customer Address %1","Kliendi aadress %1"
"Default Address","Default Address"
"Billing","Arveldamine"
"Shipping","Tarne"
"Customer Address %1 Default %2 Address","Kliendi aadress %1 Vaikimisi aadress %2"
"Has State/Province","Has State/Province"
"If Customer Address %1 State/Province specified","If Customer Address %1 State/Province specified"
"has","has"
"does not have","does not have"
"exists","exists"
"does not exist","does not exist"
"Customer %1","Klient %1"
"Newsletter Subscription","Uudiskirja tellimine"
"Customer is %1 to newsletter.","Customer is %1 to newsletter."
"subscribed","subscribed"
"not subscribed","not subscribed"
"Store Credit","Poe krediit"
"Customer Store Credit Amount %1 %2:","Customer Store Credit Amount %1 %2:"
"Date Range","Date Range"
"Open Chooser","Open Chooser"
"Date Range %1 within %2","Date Range %1 within %2"
"If Order Addresses match %1 of these Conditions:","If Order Addresses match %1 of these Conditions:"
"Order Address Attributes","Order Address Attributes"
"Order Address %1","Order Address %1"
"Address Type","Aadressi tüüp"
"Order Address %1 a %2 Address","Order Address %1 a %2 Address"
"Order Status","Tellimuse staatus"
"Any","Kõik"
"Order Status %1 %2:","Order Status %1 %2:"
"Product Attributes","Tooteatribuudid"
"Product %1","Product %1"
"Date Ranges","Date Ranges"
"viewed","viewed"
"ordered","ordered"
"was","was"
"was not","was not"
"If Product %1 %2 and matches %3 of these Conditions:","If Product %1 %2 and matches %3 of these Conditions:"
"Shopping Cart","Ostukorv"
"Wish List","Soovinimekiri"
"found","found"
"not found","not found"
"If Product is %1 in the %2 with %3 of these Conditions match:","If Product is %1 in the %2 with %3 of these Conditions match:"
"Order Address","Order Address"
"Sales Amount","Sales Amount"
"Number of Orders","Number of Orders"
"Purchased Quantity","Purchased Quantity"
"Sales","Müük"
"%1 %2 %3 %4 while %5 of these Conditions match:","%1 %2 %3 %4 while %5 of these Conditions match:"
"Total","Kokku"
"Average","Keskmine"
"If Customer Segment %1 %2","If Customer Segment %1 %2"
"matches","matches"
"does not match","does not match"
"is one of","kuulub"
"is not one of","ei kuulu"
"Shopping Cart Total","Ostukorvi kogumaksumus"
"Subtotal","Vahesumma"
"Grand Total","Kõik kokku"
"Tax","Maks"
"Gift Card","Kinkekaart"
"Shopping Cart %1 Amount %2 %3:","Shopping Cart %1 Amount %2 %3:"
"Unknown quote total specified.","Unknown quote total specified."
"Number of Cart Line Items","Number of Cart Line Items"
"Number of Shopping Cart Line Items %1 %2:","Number of Shopping Cart Line Items %1 %2:"
"Products Quantity","Products Quantity"
"Shopping Cart Products Qty %1 %2:","Shopping Cart Products Qty %1 %2:"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","suurem kui"
"less than","väiksem kui"
"Up To Date","Up To Date"
"Period %1 %2 Days Up To Date","Period %1 %2 Days Up To Date"
"Customer Segment","Kliendisegment"
"Use in Customer Segment","Use in Customer Segment"
"Please choose a condition to add.","Palun valige lisatav tingimus."
"Enable Customer Segment Functionality","Enable Customer Segment Functionality"
"Refresh Data","Refresh Data"
"Manage Segments","Manage Segments"
"All Websites","Kõik veebisaidid"
"CSV","CSV"
"Excel XML","Exceli XML"
"Name","Nimi"
"Email","E-post"
"Group","Grupp"
"Phone","Telefon"
"ZIP","Postiindeks"
"Country","Riik"
"State/Province","Maakond"
"Customer Since","Klient alates"
"View Combined Report","View Combined Report"
"Set","Set"
"We're unable to delete the segement.","We're unable to delete the segement."
"Custom Condition","Custom Condition"
"The quote total specified is unknown. Verify the total and try again.","The quote total specified is unknown. Verify the total and try again."
