"Related Search Terms","Saistīti meklēšanas nosacījumi"
"Add New Search Term","Pievienot jaunu meklēšanas terminu"
"button_label","button_label"
"Missing search engine parameter.","Trūkst meklēšanas dzinēja parametrs."
"Successful! Test again?","Veiksmīgi! Testēt vēlreiz?"
"Connection failed! Test again?","Pieslēguma kļūda! Testēt vēlreiz?"
"Enable Search Recommendations","Ieslēgt meklēšanas ieteikumus"
"When you enable this option your site may slow down.","Ieslēdzot šo opciju var samazināties lapas ātrdarbība."
"Search Recommendations Count","Meklēšans ieteikumu skaits"
"Show Results Count for Each Recommendation","Rādīt rezultātu skaitu katram ieteikumam"
"Enable Search Suggestions","Ieslēgt meklēšanas ieteikumus"
"Search Suggestions Count","Meklēšans ieteikumu skaits"
"Show Results Count for Each Suggestion","Rādīt rezultātu skaitu katram ieteikumam"
"Related search terms","Saistītie atslēgvārdi"
"Did you mean","Vai Jūs domājāt"
"ID","ID"
"Search Query","Meklēšanas pieprasījums"
"Store","Veikals"
"Results","Rezultāti"
"Uses","Lieto"
"Redirect URL","Novirzīšanas URL"
"Suggested Term","Ieteiktais termins"
"Yes","Jā"
"No","Nē"
"Action","Darbība"
"Edit","Labot"
"Synonym","Synonym"
