"Related Search Terms","相關的搜索詞彙"
"Add New Search Term","添加新的搜索"
"button_label","button_label"
"Missing search engine parameter.","找不到搜尋引擎參數"
"Successful! Test again?","成功 ！再次測試嗎？"
"Connection failed! Test again?","連接失敗 ！再次測試嗎？"
"Enable Search Recommendations","啟用搜索建議"
"When you enable this option your site may slow down.","當您啟用此選項時您的網站可能會慢下來。"
"Search Recommendations Count","搜索建議數"
"Show Results Count for Each Recommendation","顯示每項建議的結果數"
"Enable Search Suggestions","啟用搜索的建議"
"Search Suggestions Count","搜索建議數"
"Show Results Count for Each Suggestion","顯示每個建議的結果數"
"Related search terms","Related search terms"
"Did you mean","Did you mean"
"ID","編號"
"Search Query","搜尋查詢"
"Store","商店"
"Results","結果"
"Uses","使用"
"Redirect URL","重定向超連結"
"Suggested Term","建議的條件"
"Yes","是"
"No","否"
"Action","操作"
"Edit","編輯"
"Synonym","Synonym"
