"Related Search Terms","Сродни термини за търсене"
"Add New Search Term","Добави нов термин за търсене"
"button_label","етикет_на_бутона"
"Missing search engine parameter.","Липсващ параметър на търсещата машина."
"Successful! Test again?","Успешно! Тествай отново?"
"Connection failed! Test again?","Неуспешна връзка! Пробвай отново?"
"Enable Search Recommendations","Разреши препоръките при търсене"
"When you enable this option your site may slow down.","Когато активирате тази опция, Вашият сайт може да се забави."
"Search Recommendations Count","Брой на препоръките при търсене"
"Show Results Count for Each Recommendation","Показване на броя на резултатите за всяка препоръка"
"Enable Search Suggestions","Разрешаване на предложения за търсене"
"Search Suggestions Count","Брой на предложенията при търсене"
"Show Results Count for Each Suggestion","Показване на броя на резултатите за всяка препоръка"
"Related search terms","Подобни търсения"
"Did you mean","Може би имахте предвид"
"ID","ИД"
"Search Query","Заявка за търсене"
"Store","Магазин"
"Results","Резултати"
"Uses","Ползвания"
"Redirect URL","URL адрес за пренасочване"
"Suggested Term","Предложен термин"
"Yes","Да"
"No","Не"
"Action","Действие"
"Edit","Редактирай"
"Synonym","Synonym"
