"Related Search Terms","Termes de recherches associés"
"Add New Search Term","Ajouter nouveau terme de recherche"
"button_label","button_label"
"Missing search engine parameter.","Paramètre de moteur de recherche manquant."
"Successful! Test again?","Succès ! Tester de nouveau ?"
"Connection failed! Test again?","La connexion a échoué ! Tester à nouveau ?"
"Enable Search Recommendations","Activer les recommandations de recherche"
"When you enable this option your site may slow down.","Lorsque vous activez cette option, votre site peut ralentir."
"Search Recommendations Count","Nombre de recommandations de recherche"
"Show Results Count for Each Recommendation","Afficher le nombre de résultats pour chaque recommandation"
"Enable Search Suggestions","Activer les suggestions de recherche"
"Search Suggestions Count","Nombre de suggestions de recherche"
"Show Results Count for Each Suggestion","Afficher le nombre de résultats pour chaque suggestion"
"Related search terms","Termes de recherche associés"
"Did you mean","Vouliez-vous dire"
"ID","ID"
"Search Query","Termes de recherche"
"Store","Magasin"
"Results","Résultats"
"Uses","Utilisations"
"Redirect URL","URL de redirection"
"Suggested Term","Terme suggéré"
"Yes","Oui"
"No","Non"
"Action","Action"
"Edit","Éditer"
"Synonym","Synonym"
