"Related Search Terms","അനുബന്ധ തിരയൽ നിബന്ധനകൾ"
"Add New Search Term","Add New Search Term"
"button_label","button_label"
"Missing search engine parameter.","Missing search engine parameter."
"Successful! Test again?","വിജയകരം! വീണ്ടും പരീക്ഷിക്കണോ?"
"Connection failed! Test again?","കണക്ഷൻ പരാജയപ്പെട്ടു! വീണ്ടും പരീക്ഷിക്കണോ?"
"Enable Search Recommendations","തിരയൽ ശുപാർശകൾ പ്രാപ്തമാക്കുക"
"When you enable this option your site may slow down.","നിങ്ങൾ ഈ ഓപ്ഷൻ പ്രാപ്തമാക്കുമ്പോൾ നിങ്ങളുടെ സൈറ്റ് മന്ദഗതിയിലായേക്കാം."
"Search Recommendations Count","Search Recommendations Count"
"Show Results Count for Each Recommendation","Show Results Count for Each Recommendation"
"Enable Search Suggestions","Enable Search Suggestions"
"Search Suggestions Count","Search Suggestions Count"
"Show Results Count for Each Suggestion","Show Results Count for Each Suggestion"
"Related search terms","Related search terms"
"Did you mean","Did you mean"
"ID","ഐഡി"
"Search Query","Search Query"
"Store","സ്റ്റോർ"
"Results","ഫലം"
"Uses","ഉപയോഗങ്ങൾ"
"Redirect URL","Redirect URL"
"Suggested Term","Suggested Term"
"Yes","Yes"
"No","No"
"Action","Action"
"Edit","Edit"
"Synonym","Synonym"
