"Related Search Terms","Relaterede søgninger"
"Add New Search Term","Tilføj nye søgninger"
"button_label","button_label"
"Missing search engine parameter.","Manglende søgemaskineparameter."
"Successful! Test again?","Succes! Test igen?"
"Connection failed! Test again?","Tilslutning mislykkedes! Test igen?"
"Enable Search Recommendations","Aktiver søgemaskine anbefalinger"
"When you enable this option your site may slow down.","Når du aktiverer denne funktion kan det sløve dit site."
"Search Recommendations Count","Søge anbefalinger antal"
"Show Results Count for Each Recommendation","Antal søge resultater for hver anbefaling"
"Enable Search Suggestions","Aktiver søgeforslag"
"Search Suggestions Count","Søg blandt forslag antal"
"Show Results Count for Each Suggestion","Vis resultater tæller for hvert forslag"
"Related search terms","Relaterede søgeord"
"Did you mean","Mente du"
"ID","ID"
"Search Query","Søgning"
"Store","Butik"
"Results","Resultater"
"Uses","Anvendelser"
"Redirect URL","Omdirigere URL"
"Suggested Term","Foreslået søgning"
"Yes","Ja"
"No","Nej"
"Action","Handling"
"Edit","Redigér"
"Synonym","Synonym"
