"Related Search Terms","Kapcsolódó keresési kifejezések"
"Add New Search Term","Új keresési kifejezés hozzáadása"
"button_label","button_label"
"Missing search engine parameter.","Hiányzó kereső motor paraméter."
"Successful! Test again?","Sikeres! Új teszt?"
"Connection failed! Test again?","A csatlakozás nem sikerült! Újra próbálja?"
"Enable Search Recommendations","Keresési javaslatok engedélyezése"
"When you enable this option your site may slow down.","Ha engedélyezi ezt a beállítást, az a weboldal lassulását okozhatja."
"Search Recommendations Count","Keresési javaslatok száma"
"Show Results Count for Each Recommendation","A találatok számának mutatása minden egyes javaslathoz"
"Enable Search Suggestions","Keresési javaslatok engedélyezése"
"Search Suggestions Count","Keresési javaslatok száma"
"Show Results Count for Each Suggestion","Találatok számának mutatása minden egyes javaslathoz"
"Related search terms","Kapcsolódó kifejezések"
"Did you mean","Erre gondolt"
"ID","Azonosító"
"Search Query","Keresési lekérdezés"
"Store","Bolt"
"Results","Eredmények"
"Uses","Felhasználók"
"Redirect URL","URL átirányítás"
"Suggested Term","Javasolt kifejezés"
"Yes","Igen"
"No","Nem "
"Action","Akció"
"Edit","Szerkesztés"
"Synonym","Synonym"
