"Related Search Terms","Termini di ricerca correlate"
"Add New Search Term","Aggiungi nuovo termine di ricerca"
"button_label","etichetta del bottone"
"Missing search engine parameter.","Parametro mancante del motore di ricerca."
"Successful! Test again?","Completato! Testare ancora?"
"Connection failed! Test again?","Connessione non riuscita! Testare ancora?"
"Enable Search Recommendations","Attiva i suggerimenti di ricerca"
"When you enable this option your site may slow down.","Quando attiverai questa opzione il sito potrebbe subire un rallentamento."
"Search Recommendations Count","Conto suggerimenti di ricerca"
"Show Results Count for Each Recommendation","Mostra conteggio risultati per ogni suggerimento"
"Enable Search Suggestions","Attiva i suggerimenti di ricerca"
"Search Suggestions Count","Conteggio suggerimenti di ricerca"
"Show Results Count for Each Suggestion","Mostra conteggio risultati per ogni suggerimento"
"Related search terms","Termini di ricerca correlati"
"Did you mean","Forse intendevi"
"ID","ID"
"Search Query","Query di ricerca"
"Store","Negozio"
"Results","Risultati"
"Uses","Utilizzi"
"Redirect URL","URL di Reindirizzamento"
"Suggested Term","Termini suggeriti"
"Yes","Sì"
"No","No"
"Action","Azione"
"Edit","Modifica"
"Synonym","Sinonimo"
