"Related Search Terms","相关搜索关键词"
"Add New Search Term","添加新的搜索词"
"button_label","按钮名称"
"Missing search engine parameter.","丢失搜索引擎参数"
"Successful! Test again?","成功! 再测试一遍？"
"Connection failed! Test again?","连接失败! 再测试一遍？"
"Enable Search Recommendations","启用搜索建议"
"When you enable this option your site may slow down.","当您启用此选项时您的站点响应可能变慢."
"Search Recommendations Count","搜索建议总数"
"Show Results Count for Each Recommendation","显示每项搜索建议的结果总数"
"Enable Search Suggestions","启用搜索建议"
"Search Suggestions Count","搜索建议计数"
"Show Results Count for Each Suggestion","显示每个建议的结果数"
"Related search terms","相关搜索"
"Did you mean","您的意思是？"
"ID","编号ID"
"Search Query","搜索查询"
"Store","商店"
"Results","结果"
"Uses","应用"
"Redirect URL","重定向 URL"
"Suggested Term","建议的词"
"Yes","是"
"No","否"
"Action","操作"
"Edit","编辑"
"Synonym","Synonym"
