"Related Search Terms","Споріднені пошукові вирази"
"Add New Search Term","Додати новий пошуковий вираз"
"button_label","мітка_кнопки"
"Missing search engine parameter.","Відсутній параметр пошукової системи."
"Successful! Test again?","Успішно! Протестувати знову?"
"Connection failed! Test again?","Підключення не вдалося! Протестувати знову?"
"Enable Search Recommendations","Увімкнути пошукові рекомендації"
"When you enable this option your site may slow down.","Коли Ви увімкнете цю опцію, Ваш сайт може сповільнитись."
"Search Recommendations Count","Кількість пошукових рекомендацій"
"Show Results Count for Each Recommendation","Показувати кількість результатів для кожної рекомендації"
"Enable Search Suggestions","Увімкнути пошукові підказки"
"Search Suggestions Count","Кількість пошукових підказок"
"Show Results Count for Each Suggestion","Показувати кількість результатів для кожної підказки"
"Related search terms","Споріднені пошукові запити"
"Did you mean","Можливо, ви мали на увазі"
"ID","Ідентифікатор"
"Search Query","Пошуковий запит"
"Store","Магазин"
"Results","Результати"
"Uses","Використовує"
"Redirect URL","URL перенаправлення"
"Suggested Term","Запропонований вираз"
"Yes","Так"
"No","Ні"
"Action","Дія"
"Edit","Редагувати"
"Synonym","Синонім"
