"Related Search Terms","Istilah Pencarian yang Terkait"
"Add New Search Term","Tambhakan Istilah Pencarian Baru"
"button_label","tombol_lebel"
"Missing search engine parameter.","Parameter mesin pencari hilang."
"Successful! Test again?","Sukses! Menguji lagi?"
"Connection failed! Test again?","Koneksi gagal! Menguji lagi?"
"Enable Search Recommendations","Aktifkan Rekomendasi Pencarian"
"When you enable this option your site may slow down.","Bila Anda mengaktifkan opsi ini situs Anda menjadi lambat."
"Search Recommendations Count","Jumlah Rekomendasi Pencarian"
"Show Results Count for Each Recommendation","Tampilkan Jumlah Hasil untuk Setiap Rekomendasi"
"Enable Search Suggestions","Aktifkan Saran Pencarian"
"Search Suggestions Count","Jumlah Saran Pencarian"
"Show Results Count for Each Suggestion","Tampilkan Jumlah Hasil untuk Setiap Saran"
"Related search terms","Istilah pencarian terkait"
"Did you mean","Apakah yang kamu maksud"
"ID","Nomor"
"Search Query","Parameter Pencarian"
"Store","Toko"
"Results","Hasil"
"Uses","Kegunaan"
"Redirect URL","Alihkan URL"
"Suggested Term","Istilah Disarankan"
"Yes","Ya"
"No","Tidak"
"Action","Tindakan"
"Edit","Ubah"
"Synonym","Synonym"
