"Add Tax","新增稅項"
"Delete Tax","刪除稅項"
"All Websites","所有網站"
"FPT","FPT"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","Including FPT only"
"Including FPT and FPT description","Including FPT and FPT description"
"Excluding FPT. Including FPT description and final price","Excluding FPT. Including FPT description and final price"
"Excluding FPT","Excluding FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","Fixed Product Tax"
"Country/State","Country/State"
"Tax","稅金"
"Website","網站"
"Action","操作"
"Excl. Tax","不含稅"
"Total","總計"
"Incl. Tax","含稅"
"Total Incl. Tax","Total Incl. Tax"
"Final Price","Final Price"
"Fixed Product Taxes","Fixed Product Taxes"
"Enable FPT","Enable FPT"
"Display Prices In Product Lists","Display Prices In Product Lists"
"Display Prices On Product View Page","Display Prices On Product View Page"
"Display Prices In Sales Modules","Display Prices In Sales Modules"
"Display Prices In Emails","Display Prices In Emails"
"Apply Tax To FPT","Apply Tax To FPT"
"Include FPT In Subtotal","Include FPT In Subtotal"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
