"Add Tax","Adicionar Imposto"
"Delete Tax","Remover Imposto"
"All Websites","Todos os Sites"
"FPT","IFP (FPT)"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","Incluindo apenas IFP"
"Including FPT and FPT description","Incluindo IFP e descrição dos IFP"
"Excluding FPT. Including FPT description and final price","Excluindo IFP. Incluindo a descrição IFP e o preço final"
"Excluding FPT","Excluindo IFP"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","Imposto Fixo do Produto"
"Country/State","País/Região"
"Tax","Taxa"
"Website","Site"
"Action","Ação"
"Excl. Tax","Excluindo impostos"
"Total","Total"
"Incl. Tax","Imposto incl."
"Total Incl. Tax","Total, Impostos Incl."
"Final Price","Preço Final"
"Fixed Product Taxes","Impostos Fixos do Produto"
"Enable FPT","Ativar Impostos Fixos de Produto"
"Display Prices In Product Lists","Mostrar Preços nas Listas de Produtos"
"Display Prices On Product View Page","Mostrar Preços na Página de Visualização do Produto"
"Display Prices In Sales Modules","Mostrar Preços em Módulos de Vendas"
"Display Prices In Emails","Mostrar Preços em Emails"
"Apply Tax To FPT","Aplicar Imposto sobre os IFP"
"Include FPT In Subtotal","Incluir IFP no Subtotal"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
