"Add Tax","Añadir impuestos"
"Delete Tax","Eliminar impuesto"
"All Websites","Todos sitios web"
"FPT","FPT"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","Incluyendo solo el FPT"
"Including FPT and FPT description","Incluyendo el FPT y su descripción"
"Excluding FPT. Including FPT description and final price","Excluyendo el FPT. Incluyendo la descripción del FPT y el precio final"
"Excluding FPT","Excluyendo el FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","Impuesto fijo sobre productos"
"Country/State","País/Estado"
"Tax","Impuestos"
"Website","Página web"
"Action","Acción"
"Excl. Tax","Impuestos NO Incl."
"Total","Total"
"Incl. Tax","Impuestos incl."
"Total Incl. Tax","Total con impuestos incluidos"
"Final Price","Precio final"
"Fixed Product Taxes","Impuestos fijos sobre productos"
"Enable FPT","Habilitar FPT"
"Display Prices In Product Lists","Mostrar precios en listas de artículos"
"Display Prices On Product View Page","Mostrar precios en la página de vista preliminar del artículo"
"Display Prices In Sales Modules","Mostrar precios en módulos de ventas"
"Display Prices In Emails","Mostrar precios en el correo electrónico"
"Apply Tax To FPT","Aplicar impuesto a FPT"
"Include FPT In Subtotal","Incluir FPT en el subtotal"
"We found a duplicate of website, country and state fields for a fixed product tax","Se encontró un duplicado de los campos de sitio web, país y estado para un impuesto fijo sobre productos"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
