"Add Tax","ತೆರಿಗೆಯನ್ನು ಸೇರಿಸಿ"
"Delete Tax","ತೆರಿಗೆಯನ್ನು ಅಳಿಸಿ"
"All Websites","ಎಲ್ಲಾ ಜಾಲತಾಣಗಳು"
"FPT","FPT"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
"Including FPT only","Including FPT only"
"Including FPT and FPT description","Including FPT and FPT description"
"Excluding FPT. Including FPT description and final price","Excluding FPT. Including FPT description and final price"
"Excluding FPT","Excluding FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","Fixed Product Tax"
"Country/State","Country/State"
"Tax","ತೆರಿಗೆ"
"Website","ಜಾಲ ತಾಣ"
"Action","ಕ್ರಿಯೆ"
"Excl. Tax","ತೆರಿಗೆ ರಹಿತ"
"Total","ಒಟ್ಟು"
"Incl. Tax","ತೆರಿಗೆ ಸಹಿತ"
"Total Incl. Tax","ತೆರಿಗೆ ಸಹಿತ ಒಟ್ಟು ಮೊತ್ತ"
"Final Price","ಕೊನೆಯ ದರ"
"Fixed Product Taxes","Fixed Product Taxes"
"Enable FPT","Enable FPT"
"Display Prices In Product Lists","Display Prices In Product Lists"
"Display Prices On Product View Page","Display Prices On Product View Page"
"Display Prices In Sales Modules","Display Prices In Sales Modules"
"Display Prices In Emails","Display Prices In Emails"
"Apply Tax To FPT","Apply Tax To FPT"
"Include FPT In Subtotal","Include FPT In Subtotal"
