"Add Tax","Добави данък"
"Delete Tax","Изтриване на данък"
"All Websites","Всички уеб сайтове"
"FPT","FPT"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Задайте уникални комбинации държава-област в рамките на един и същ фиксиран продуктов данък. Проверете комбинациите и опитайте отново."
"Including FPT only","Включително FPT само"
"Including FPT and FPT description","Включително FPT и FPT описание"
"Excluding FPT. Including FPT description and final price","С изключение на FPT. Включително FPT описание и крайната цена"
"Excluding FPT","Без на FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","Фиксирана такса за продукт"
"Country/State","Държава-членка"
"Tax","Данък"
"Website","Уебсайт"
"Action","Действие"
"Excl. Tax","Без вкл. ДДС"
"Total","Общо"
"Incl. Tax","Вкл. Ддс"
"Total Incl. Tax","Общ данък за вкл"
"Final Price","Крайна цена"
"Incl. tax","Вкл. Ддс"
"Excl. tax","Без Ддс"
"Total incl. tax","Общо, включително данъци"
"Fixed Product Taxes","Фиксирани такси за продукт"
"Enable FPT","Разреши FPT"
"Display Prices In Product Lists","Показване на цените в списъци с продукти"
"Display Prices On Product View Page","Показване на цените на продукта изглед на страница"
"Display Prices In Sales Modules","Показване на цените в продажба модули"
"Display Prices In Emails","Показване на цените в имейли"
"Apply Tax To FPT","Приложи данък за FPT"
"Include FPT In Subtotal","Включи FPT в междинна сума"
