"Add Tax","הוסף מס"
"Delete Tax","מחק מס"
"All Websites","כל האתרים"
"FPT","FPT"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","כולל FPT בלבד"
"Including FPT and FPT description","כולל תיאור FPT ו- FPT"
"Excluding FPT. Including FPT description and final price","למעט FPT. כולל תיאור FPT והמחיר הסופי"
"Excluding FPT","למעט FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","מס מוצר קבוע"
"Country/State","ארץ/מדינה"
"Tax","מס"
"Website","אתר"
"Action","פעולה"
"Excl. Tax","למעט מס"
"Total","סה""כ"
"Incl. Tax","כולל מס"
"Total Incl. Tax","סה״כ כולל מס"
"Final Price","המחיר הסופי"
"Fixed Product Taxes","מיסים של מוצר קבוע"
"Enable FPT","אפשר FPT"
"Display Prices In Product Lists","הצגת מחירים ברשימות המוצר"
"Display Prices On Product View Page","הצגת מחירים בעמוד תצוגת המוצר"
"Display Prices In Sales Modules","הצגת מחירים במודולים מכירות"
"Display Prices In Emails","הצגת מחירים באיימלים"
"Apply Tax To FPT","החל מס על FPT"
"Include FPT In Subtotal","כלול FPT בסך ביניים"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
