"Add Tax","Aggiungi tasse"
"Delete Tax","Elimina tasse"
"All Websites","Tutti i Website"
"FPT","FPT"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","Includendo solo FPT"
"Including FPT and FPT description","Includendo FPT e descrizione FPT"
"Excluding FPT. Including FPT description and final price","Escluse tasse fisse del prodotto (FPT). Inclusi descrizione e prezzo finale FPT"
"Excluding FPT","Escluso FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","Tassa fissa prodotto"
"Country/State","Paese"
"Tax","Tassa"
"Website","Sito Web"
"Action","Azione"
"Excl. Tax","Tasse escl."
"Total","Totale"
"Incl. Tax","Tasse incl."
"Total Incl. Tax","Totale tasse incl."
"Final Price","Prezzo finale"
"Fixed Product Taxes","Tasse Prodotto fisse"
"Enable FPT","Abilitare FPT"
"Display Prices In Product Lists","Visualizza prezzi In elenchi di prodotti"
"Display Prices On Product View Page","Visualizza i prezzi nella Pagina di Visualizzazione Prodotto"
"Display Prices In Sales Modules","Visualizza Prezzi nei Moduli di Vendita"
"Display Prices In Emails","Visualizza Prezzi nelle Email"
"Apply Tax To FPT","Applicare Tassa al FPT"
"Include FPT In Subtotal","Includi FPT nel subtotale"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
