"Add Tax","Gesamt inkl. Steuern"
"Delete Tax","Steuer löschen"
"All Websites","Alle Webseiten"
"FPT","FPT"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
"Including FPT only","Ausschließlich inklusive FPT"
"Including FPT and FPT description","Einschließlich FPT und FPT-Beschreibung"
"Excluding FPT. Including FPT description and final price","FPT ausschließen. FPT-Beschreibung und Endpreis einschließlen"
"Excluding FPT","Exklusive FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","Feste Produktsteuer"
"Country/State","Land/Bundesland"
"Tax","Steuer"
"Website","Webseite"
"Action","Aktion"
"Excl. Tax","Exkl. Steuern"
"Total","Gesamtsumme"
"Incl. Tax","Inkl. MwSt."
"Total Incl. Tax","Gesamt inkl. MwSt."
"Final Price","Endpreis"
"Incl. tax","Incl. tax"
"Excl. tax","Excl. tax"
"Total incl. tax","Total incl. tax"
"Fixed Product Taxes","Feste Produktsteuern"
"Enable FPT","FPT aktivieren"
"Display Prices In Product Lists","Preise in Produktlisten anzeigen"
"Display Prices On Product View Page","Preise auf der Produktseite anzeigen"
"Display Prices In Sales Modules","Preise in Verkaufsmodulen anzeigen"
"Display Prices In Emails","Preise in E-Mails anzeigen"
"Apply Tax To FPT","Steuer auf FPT anwenden"
"Include FPT In Subtotal","FPT in der Zwischensumme einschließen"
