"Add Tax","Lägg till Moms"
"Delete Tax","Ta bort Moms"
"All Websites","Alla webbplatser"
"FPT","FPT"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","Inklusive FPT endast"
"Including FPT and FPT description","Inklusive FPT och FPT Beskrivning"
"Excluding FPT. Including FPT description and final price","Exklusive FPT. Inklusive FPT beskrivning och slutpris"
"Excluding FPT","Exklusive FPT"
"label_value","label_value"
"frontend_label","Frontend_märkning"
"Fixed Product Tax","Fast produktskatt"
"Country/State","Land/delstat"
"Tax","Skatt"
"Website","Webbplats"
"Action","Åtgärd"
"Excl. Tax","-Exkl. Moms"
"Total","Summa"
"Incl. Tax","Inkl. Moms"
"Total Incl. Tax","Totalt inkl moms"
"Final Price","Slutliga priset"
"Fixed Product Taxes","Fast produktskatt"
"Enable FPT","Aktivera FPT"
"Display Prices In Product Lists","Visa priser i produktlistor"
"Display Prices On Product View Page","Visa priser i produktlistor"
"Display Prices In Sales Modules","Display Prices In Sales Modules"
"Display Prices In Emails","Visa priser i e-postmeddelanden"
"Apply Tax To FPT","Apply Tax To FPT"
"Include FPT In Subtotal","Include FPT In Subtotal"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
