"Add Tax","Adicionar Imposto"
"Delete Tax","Remover Imposto"
"All Websites","Todos os sites"
"FPT","IFP (FPT)"
"You must set unique country-state combinations within the same fixed product tax","Você deve definir combinações únicas de país-estado dentro do mesmo imposto de produto fixo"
"Including FPT only","Incluindo apenas FPT"
"Including FPT and FPT description","Incluindo descrição FPT e FPT"
"Excluding FPT. Including FPT description and final price","Excluindo IFP. Incluindo a descrição IFP e o preço final"
"Excluding FPT","Excluir FPT"
"label_value","label_value"
"frontend_label","rótulo_frete_de_loja"
"Fixed Product Tax","Imposto Fixo do Produto"
"Country/State","País/Estado"
"Tax","Taxa"
"Website","Site"
"Action","Ação"
"Excl. Tax","Excl. Impostos"
"Total","Total"
"Incl. Tax","Imposto Incl."
"Total Incl. Tax","Total de impostos incluídos"
"Final Price","Preço Final"
"Fixed Product Taxes","Impostos Fixos do Produto"
"Enable FPT","Ativar Impostos Fixos de Produto"
"Display Prices In Product Lists","Mostrar Preços nas Listas de Produtos"
"Display Prices On Product View Page","Mostrar preços na página de visualização do produto"
"Display Prices In Sales Modules","Mostrar Preços em Módulos de Vendas"
"Display Prices In Emails","Mostrar Preços em E-mails"
"Apply Tax To FPT","Aplicar Imposto sobre os IFP"
"Include FPT In Subtotal","Incluir IFP no Subtotal"
"We found a duplicate of website, country and state fields for a fixed product tax","Nós encontramos uma duplicata nos campos de website, país e estado para a taxa de produto fixada"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
