"Add Tax","Lisää vero"
"Delete Tax","Poista vero"
"All Websites","Kaikki sivustot"
"FPT","FPT"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","Including FPT only"
"Including FPT and FPT description","Including FPT and FPT description"
"Excluding FPT. Including FPT description and final price","Excluding FPT. Including FPT description and final price"
"Excluding FPT","Excluding FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","Kiinteä tuotevero"
"Country/State","Maa/osavaltio"
"Tax","Vero"
"Website","Sivusto"
"Action","Toiminto"
"Excl. Tax","Veroton"
"Total","Yhteensä"
"Incl. Tax","Verollinen"
"Total Incl. Tax","Verollinen yhteensä"
"Final Price","Lopullinen hinta"
"Fixed Product Taxes","Kiinteät tuoteverot"
"Enable FPT","Ota kiinteämääräinen vero käyttöön"
"Display Prices In Product Lists","Display Prices In Product Lists"
"Display Prices On Product View Page","Display Prices On Product View Page"
"Display Prices In Sales Modules","Display Prices In Sales Modules"
"Display Prices In Emails","Näytä hinnat sähköposteissa"
"Apply Tax To FPT","Apply Tax To FPT"
"Include FPT In Subtotal","Sisällytä kiinteämääräinen vero välisummaan"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
