"Add Tax","세금 추가"
"Delete Tax","세금 삭제"
"All Websites","모든 웹사이트 "
"FPT","FPT"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","FPT만 포함"
"Including FPT and FPT description","FPT와 설명 포함"
"Excluding FPT. Including FPT description and final price","FPT 제외. FPT 설명과 최종 가격 포함"
"Excluding FPT","FPT 제외"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","고정 제품 세금(FPT)"
"Country/State","국가"
"Tax","세금"
"Website","웹사이트"
"Action","동작"
"Excl. Tax","세금 제외"
"Total","총합계"
"Incl. Tax","세금 포함"
"Total Incl. Tax","Total Incl. Tax"
"Final Price","최종 가격"
"Fixed Product Taxes","고정 제품 세금(FPT)"
"Enable FPT","FPT 활성화"
"Display Prices In Product Lists","상품 리스트의 상품 가격 표시"
"Display Prices On Product View Page","상품 상세 페이지의 상품 가격 표시"
"Display Prices In Sales Modules","Display Prices In Sales Modules"
"Display Prices In Emails","이메일의 가격 표시"
"Apply Tax To FPT","Apply Tax To FPT"
"Include FPT In Subtotal","Include FPT In Subtotal"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
