"Add Tax","BTW toevoegen"
"Delete Tax","BTW Verwijderen"
"All Websites","Alle Websites"
"FPT","Verwijderingsbijdrage"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","Inclusief Verwijderingsbijdrage"
"Including FPT and FPT description","Inclusief Verwijderingsbijdrage en omschrijving"
"Excluding FPT. Including FPT description and final price","Exclusief verwijderingsbijdrage. Inclusief beschrijving verwijderingsbijdrage en definitieve prijs"
"Excluding FPT","Exclusief verwijderingsbijdrage"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","Product BTW-toeslagen"
"Country/State","Land/Provincie"
"Tax","BTW"
"Website","Website"
"Action","Actie"
"Excl. Tax","Excl. BTW"
"Total","Totaal"
"Incl. Tax","Incl. BTW"
"Total Incl. Tax","Totaal Incl. BTW"
"Final Price","Eindprijs"
"Fixed Product Taxes","Product BTW-toeslagen"
"Enable FPT","Verwijderingsbijdrage inschakelen"
"Display Prices In Product Lists","Prijzen tonen in productoverzicht"
"Display Prices On Product View Page","Prijzen tonen op product pagina"
"Display Prices In Sales Modules","Prijzen Tonen in verkoop modules"
"Display Prices In Emails","Toon prijzen in Email"
"Apply Tax To FPT","BTW toepassen op Verwijderingsbijdrage"
"Include FPT In Subtotal","Inclusief FPT in subtotaal"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
