"Add Tax","إضافة ضريبة"
"Delete Tax","حذف الضرائب"
"All Websites","جميع المواقع"
"FPT","FPT"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","بما في ذلك FPT فقط"
"Including FPT and FPT description","بما في ذلك FPT و FPT الوصف"
"Excluding FPT. Including FPT description and final price","باستثناء FPT. بما في ذلك وصف FPT والسعر النهائي"
"Excluding FPT","باستثناء FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","ضريبة ثابتة"
"Country/State","البلد/الدولة"
"Tax","الضريبة"
"Website","الموقع"
"Action","إجراء"
"Excl. Tax","غير شامل الضريبة"
"Total","إجمالي"
"Incl. Tax","شامل الضريبة"
"Total Incl. Tax","الإجمالي شامل الضريبة"
"Final Price","السعر النهائي"
"Fixed Product Taxes","ضرائب ثابتة"
"Enable FPT","تمكين FPT"
"Display Prices In Product Lists","عرض أسعار في قوائم المنتجات"
"Display Prices On Product View Page","عرض الأسعار في صفحة عرض المنتج"
"Display Prices In Sales Modules","عرض الأسعار في وحدات المبيعات"
"Display Prices In Emails","عرض أسعار في رسائل البريد الإلكتروني"
"Apply Tax To FPT","تطبيق الضريبة على FPT"
"Include FPT In Subtotal","وتشمل FPT في المجموع الفرعي"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
