"Add Tax","Thêm thuế"
"Delete Tax","Xóa bỏ thuế"
"All Websites","Tất cả trang Web"
"FPT","FPT"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","Chỉ bao gồm FPT"
"Including FPT and FPT description","Bao gồm cả FPT và mô tả FPT"
"Excluding FPT. Including FPT description and final price","Không bao gồm FPT. Bao gồm mô tả FPT và giá cuối cùng"
"Excluding FPT","Không bao gồm FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","Thuế cố định cho sản phẩm"
"Country/State","Quốc gia/Bang"
"Tax","Thuế"
"Website","Trang web"
"Action","Thao tác"
"Excl. Tax","Chưa bao gồm thuế"
"Total","Tổng"
"Incl. Tax","Đã bao gồm thuế"
"Total Incl. Tax","Tổng số bao gồm cả thuế"
"Final Price","Giá cuối cùng"
"Fixed Product Taxes","Thuế cố định cho sản phẩm"
"Enable FPT","Cho phép FPT"
"Display Prices In Product Lists","Hiển thị giá trong danh sách sản phẩm"
"Display Prices On Product View Page","Hiển thị giá trên trang xem sản phẩm"
"Display Prices In Sales Modules","Hiển thị giá trong mô-đun bán hàng"
"Display Prices In Emails","Hiển thị giá trong email"
"Apply Tax To FPT","Áp dụng thuế cho FPT"
"Include FPT In Subtotal","Bao gồm FPT trong tổng phụ"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
