"Add Tax","Legg til skatt"
"Delete Tax","Slett mva"
"All Websites","Alle nettsteder"
"FPT","FPT"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
"Including FPT only","Inkludere kun FPT"
"Including FPT and FPT description","Inkludert FPT- og FPT-beskrivelse"
"Excluding FPT. Including FPT description and final price","Excluding FPT. Including FPT description and final price"
"Excluding FPT","Excluding FPT"
"label_value","etikett_verdi"
"frontend_label","frontend_etikett"
"Fixed Product Tax","Fast Produkt Skatt"
"Country/State","Land/fylke"
"Tax","Avgift"
"Website","Nettsted"
"Action","Handling"
"Excl. Tax","ex. moms"
"Total","Totalt"
"Incl. Tax","Inkl. MVA"
"Total Incl. Tax","Totalt inkl. mva"
"Final Price","Endelig pris"
"Incl. tax","Incl. tax"
"Excl. tax","Excl. tax"
"Total incl. tax","Total incl. tax"
"Fixed Product Taxes","Fixed Product Taxes"
"Enable FPT","Aktiver FTP"
"Display Prices In Product Lists","Display Prices In Product Lists"
"Display Prices On Product View Page","Display Prices On Product View Page"
"Display Prices In Sales Modules","Vise pris i salgsmoduler"
"Display Prices In Emails","Display Prices In Emails"
"Apply Tax To FPT","Apply Tax To FPT"
"Include FPT In Subtotal","Inkluder FPT i delsum"
