"Add Tax","Lisa maks"
"Delete Tax","Kustutada see maks"
"All Websites","Kõik veebisaidid"
"FPT","FPT"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","Including FPT only"
"Including FPT and FPT description","Including FPT and FPT description"
"Excluding FPT. Including FPT description and final price","Excluding FPT. Including FPT description and final price"
"Excluding FPT","Excluding FPT"
"label_value","label_value"
"frontend_label","poevaate_silt"
"Fixed Product Tax","Fikseeritud toote maks"
"Country/State","Country/State"
"Tax","Maks"
"Website","Koduleht"
"Action","Toiming"
"Excl. Tax","Ilma maksuta"
"Total","Kokku"
"Incl. Tax","Koos maksuga"
"Total Incl. Tax","Kokku maksudega"
"Final Price","Lõplik hind"
"Fixed Product Taxes","Fixed Product Taxes"
"Enable FPT","Enable FPT"
"Display Prices In Product Lists","Näita hindu tootenimekirjades"
"Display Prices On Product View Page","Näita hindu tootevaates"
"Display Prices In Sales Modules","Näita hindu müügimoodulites"
"Display Prices In Emails","Näita hindu e-kirjades"
"Apply Tax To FPT","Apply Tax To FPT"
"Include FPT In Subtotal","Include FPT In Subtotal"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
