"Add Tax","Přidat DPH"
"Delete Tax","Odstranit DPH"
"All Websites","Všechny weby"
"FPT","Fixní poplatek"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","Pouze s fixním poplatkem"
"Including FPT and FPT description","S fixním poplatkem včetně popisu"
"Excluding FPT. Including FPT description and final price","Bez poplatku, s poplatkem, popisem a koncovou cenou"
"Excluding FPT","Bez fixního poplatku"
"label_value","label_value"
"frontend_label","oznaceni_obchodu"
"Fixed Product Tax","Fixní produktový poplatek"
"Country/State","Země / kraj"
"Tax","DPH"
"Website","Webová stránka"
"Action","Akce"
"Excl. Tax","bez DPH"
"Total","Celkem"
"Incl. Tax","s DPH"
"Total Incl. Tax","Celkem s DPH"
"Final Price","Konečná cena"
"Fixed Product Taxes","Fixní produktové poplatky"
"Enable FPT","Zapnout fixní poplatky"
"Display Prices In Product Lists","Zobrazit ceny v seznamech produktů"
"Display Prices On Product View Page","Zobrazit ceny na stránce produktu"
"Display Prices In Sales Modules","Zobrazit ceny prodejních modulech"
"Display Prices In Emails","Zobrazit ceny v e-mailech"
"Apply Tax To FPT","Na fixní poplatky aplikovat DPH"
"Include FPT In Subtotal","Zahrnout fixní poplatky v mezisoučtu"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
