"Add Tax","افزودن مالیات"
"Delete Tax","حذف مالیات"
"All Websites","همه‌ی وب‌سایت‌ها"
"FPT","FPT"
"You must set unique country-state combinations within the same fixed product tax","You must set unique country-state combinations within the same fixed product tax"
"Including FPT only","شامل FPT تنها"
"Including FPT and FPT description","شامل FPT و توصیف FPT"
"Excluding FPT. Including FPT description and final price","به جز FPT. از جمله شرح FPT و قیمت نهایی"
"Excluding FPT","بدون FPT"
"label_value","label_value"
"frontend_label","frontend_label"
"Fixed Product Tax","مالیات بر محصولات ثابت"
"Country/State","کشور/استان"
"Tax","مالیات"
"Website","وب سایت"
"Action","اقدام"
"Excl. Tax","بدون مالیات"
"Total","مجموع"
"Incl. Tax","با مالیات"
"Total Incl. Tax","مجموع با مالیات"
"Final Price","قیمت نهایی"
"Fixed Product Taxes","مالیات های محصول ثابت"
"Enable FPT","FPT ممکن"
"Display Prices In Product Lists","نمایش قیمت ها در لیست محصولات"
"Display Prices On Product View Page","فعال کردن FPT"
"Display Prices In Sales Modules","نمایش قیمت در ایمیل"
"Display Prices In Emails","نمایش قیمت ها در فروش ماژول"
"Apply Tax To FPT","اعمال مالیات بر FPT"
"Include FPT In Subtotal","اعمال مالیات برای FPT"
"We found a duplicate of website, country and state fields for a fixed product tax","We found a duplicate of website, country and state fields for a fixed product tax"
"label_value' 'label_value' 'frontend_label","label_value' 'label_value' 'frontend_label"
"Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again.","Set unique country-state combinations within the same fixed product tax. Verify the combinations and try again."
